,pos,year,player_name,twoPM,porpag,adjoe,adrtg,mp,oreb,dreb,ast,stl,blk,pts,season,dporpag,score,test_score
4692,Combo G,2020,brandon rush,22,-0.130129,83.1206,114.586,17.1786,0.25,0.9643,0.4286,0.6786,0.1429,4.7857,4,0.747491,24.44918265813789,26.45859103444556
4694,Combo G,2022,brandon rush,84,1.67172,103.002,118.053,27.64,0.56,2.4,1.8,0.76,0.08,14.16,2,0.887374,24.44918265813789,29.599463581251612
8230,Combo G,2019,coby white,106,3.69748,124.886,92.0853,28.5714,0.3429,3.2,4.0857,1.0857,0.3143,16.0571,4,3.69208,40.93816631130064,63.78729615354736
8322,Combo G,2020,cole anthony,82,3.44623,113.99,95.2872,34.8636,0.4545,5.2273,3.9545,1.3182,0.2727,18.5,4,3.85586,,70.32746337900153
23102,Combo G,2019,jordan poole,86,3.22261,115.578,88.1995,33.027,0.2162,2.7568,2.1622,1.0811,0.2162,12.7568,3,4.72841,58.0952380952381,41.26564274469212
28677,Combo G,2019,luguentz dort,120,2.4587,110.24,97.309,31.5588,1.2941,2.9706,2.3235,1.5294,0.2059,16.0882,4,3.46962,42.97085998578536,42.19044407479334
30601,Combo G,2019,matisse thybulle,66,1.62011,102.572,84.2423,31.0,0.75,2.3333,2.1389,3.4444,2.1944,9.0833,1,4.84706,63.11300639658849,77.92212165825526
43372,Combo G,2019,tyrese haliburton,37,4.28763,124.676,95.6735,33.2,0.7429,2.6857,3.5714,1.5429,0.8571,6.8286,4,3.89215,,41.87962921179005
43383,Combo G,2020,tyrese maxey,117,3.0618,111.159,94.2306,34.4516,0.3871,3.9032,3.129,0.871,0.3871,13.9677,4,3.92659,,52.182388519254125
