,pos,year,player_name,usg,DRB_per,twoPM,blk_per,adrtg,dgbpm,season,rimmade/(rimmade+rimmiss),dporpag,obpm,score,test_score,diff
14512,Wing F,2017,eric paschall,18.1,12.8,81,2.7,92.2096,1.79199,3,0.7021,2.76456,2.01628,23.89481165600569,35.2912589147071,11.39644725870141
14920,Wing F,2010,evan turner,34.5,23.5,217,2.9,83.7767,4.32057,2,0.7846,5.25693,5.75189,34.726368159203986,61.14039943411453,26.414031274910542
15876,Wing F,2016,georges niang,28.0,15.6,227,1.8,98.308,1.28833,1,0.7633,3.49352,6.38743,43.21250888415068,34.45411804070167,-8.758390843449007
15877,Wing F,2015,georges niang,26.7,15.2,141,1.5,95.7721,0.689815,2,0.5789,3.37344,3.13332,43.21250888415068,32.10182567917326,-11.11068320497742
15879,Wing F,2013,georges niang,21.9,14.2,119,0.9,97.4618,1.00749,4,0.8182,2.44093,5.20599,43.21250888415068,43.95748638093403,0.7449774967833491
16516,Wing F,2011,harrison barnes,24.7,12.8,143,1.4,89.8594,1.68096,4,0.7246,3.76606,4.443,43.26936744847193,45.20532257641011,1.935955127938179
16517,Wing F,2012,harrison barnes,26.0,11.0,180,1.1,90.076,1.6746,3,0.7333,3.66786,4.02998,43.26936744847193,38.67394493370571,-4.59542251476622
16703,Wing F,2011,hollis thompson,16.0,16.2,56,1.9,93.7613,1.84178,3,0.6154,2.66531,4.58794,20.810234541577827,33.536393474503285,12.726158932925458
16704,Wing F,2012,hollis thompson,21.2,15.2,95,1.6,88.4387,1.45558,2,0.6311,4.03952,3.46936,20.810234541577827,30.291970030586157,9.48173548900833
18076,Wing F,2011,jae crowder,19.5,18.7,116,3.3,90.7723,2.58238,2,0.6617,3.45028,6.51865,61.17981520966597,33.83732181260282,-27.342493397063144
18354,Wing F,2016,jake layman,17.2,14.4,81,3.4,93.9387,2.63421,1,0.7917,3.84351,3.75401,24.2359630419332,43.597639288793204,19.361676246860004
18355,Wing F,2014,jake layman,18.1,13.1,64,2.9,94.2576,2.51604,3,0.6364,3.85775,2.5392,24.2359630419332,51.69225367192445,27.456290629991248
18357,Wing F,2015,jake layman,22.4,16.2,98,2.8,90.8461,2.12811,2,0.6556,3.77494,3.20245,24.2359630419332,39.505917033483996,15.269953991550796
20398,Wing F,2016,jaylen brown,30.9,16.5,133,2.2,91.4564,1.94263,4,0.6125,3.55465,0.00518571,62.01847903340442,53.70020280490087,-8.31827622850355
20530,Wing F,2017,jayson tatum,25.4,19.7,125,3.2,89.1819,2.5717,4,0.627,4.59476,3.17569,95.11016346837243,54.35557532621186,-40.75458814216057
20830,Wing F,2013,jerami grant,16.0,13.6,48,3.7,86.2944,2.53914,4,0.6038,1.95325,1.10662,41.53518123667378,28.731554430137294,-12.803626806536485
23645,Wing F,2016,josh hart,23.5,17.1,175,0.9,88.0208,2.62252,2,0.7419,4.44295,6.01374,58.57853589196873,38.7062132409161,-19.872322651052627
23646,Wing F,2014,josh hart,16.8,13.7,61,1.4,92.9412,2.01626,4,0.7536,2.67695,4.84649,58.57853589196873,44.270682505933394,-14.307853386035333
23682,Wing F,2017,josh jackson,27.3,17.4,186,3.5,89.032,3.50141,4,0.6895,4.21538,4.44679,33.4044065387349,57.61251122981474,24.208104691079846
24596,Wing F,2010,justin holiday,15.1,13.7,69,2.6,89.9549,3.36702,2,0.6212,2.80601,2.91487,52.36673773987208,34.57246527435083,-17.794272465521246
24609,Wing F,2011,justin jackson,15.8,15.9,38,4.4,84.8035,5.08411,4,0.6667,1.88095,-2.14591,20.36958066808814,48.7805134239363,28.410932755848158
24612,Wing F,2015,justin jackson,19.2,8.8,129,2.0,95.6694,1.40315,4,0.72,2.96805,5.26117,20.36958066808814,41.73151496736108,21.36193429927294
24613,Wing F,2017,justin jackson,23.9,10.8,156,0.8,93.9603,1.50303,2,0.6385,3.89272,6.7892,20.36958066808814,37.19808179631687,16.82850112822873
24614,Wing F,2016,justin jackson,20.4,7.9,159,1.6,98.0059,1.10563,3,0.6711,3.04754,6.01219,20.36958066808814,35.92426948195168,15.554688813863542
25761,Wing F,2010,kelly olynyk,17.8,15.6,45,1.3,92.1057,2.09795,4,0.766,1.44132,2.12304,55.12437810945274,38.33389976830503,-16.79047834114771
26086,Wing F,2015,kenrich williams,17.4,16.1,91,3.6,91.3974,2.69111,3,0.6505,3.44566,3.32905,52.36673773987208,40.878862155033744,-11.487875584838335
26087,Wing F,2018,kenrich williams,19.5,21.5,110,1.4,96.121,2.67313,1,0.6281,4.08699,5.83742,52.36673773987208,41.48584850254076,-10.880889237331317
26713,Wing F,2010,khris middleton,18.9,12.7,45,1.4,88.9265,3.03332,4,0.6818,2.70989,3.78742,71.11584932480456,49.629908180556754,-21.485941144247803
26715,Wing F,2012,khris middleton,28.6,15.8,77,1.1,90.5318,1.53836,2,0.6154,3.58719,2.03078,71.11584932480456,43.44257779754736,-27.6732715272572
