,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
12412,2012,dion waiters,115.9,25.4,53.4,56.53,2.4,8.2,21.2,12.9,129,244,0.529,41,113,0.363,1.5,4.6,33.1,So,3.66298,129.685,96.0,87.8998,24.0811,5.86491,4.00081,0.4865,1.8108,2.2973,2.4865,1.8108,0.3243,12.6216,7.73238,0.625,92.5144,3.20202,172.467,8.0106,6.20125,1.80935,9.86572,38.71
12704,2016,domantas sabonis,120.0,26.0,61.2,65.09,11.6,28.2,11.4,18.5,224,364,0.615,5,14,0.357,2.7,1.1,51.3,So,4.82477,131.449,60.2,88.0512,32.0571,5.39611,2.27469,3.0286,8.8,11.8286,1.8,0.6,0.8857,17.4857,0.730373,0.7336,90.7655,4.53415,263.303,7.50443,3.90304,3.60139,7.6708,57.09
12916,2018,donovan mitchell,103.7,12.7,60.2,61.99,4.7,18.3,3.2,25.2,16,29,0.552,15,35,0.429,2.8,1.5,20.3,So,0.392831,97.8764,46.4,100.251,11.2333,-1.8673,1.98926,0.4667,1.7667,2.2333,0.2,0.3,0.2667,2.9,5.91496,0.6111,105.174,1.13807,65.3323,1.40721,-0.335025,1.74224,0.12196,53.49
12917,2017,donovan mitchell,114.4,23.3,49.8,53.4,3.7,12.9,16.0,12.7,101,218,0.463,80,226,0.354,1.7,3.7,24.3,So,4.18895,125.447,94.4,86.2419,32.2941,5.39252,4.7107,1.0882,3.7647,4.8529,2.7353,2.0588,0.5,15.5588,12.0052,0.5517,93.2413,4.74913,232.285,10.0466,6.17702,3.86963,10.1032,53.49
12991,2018,donte divincenzo,119.5,22.8,59.0,60.77,4.9,13.8,20.0,17.0,103,179,0.575,85,212,0.401,0.7,2.1,27.4,So,4.29565,130.482,75.4,93.9887,29.275,5.81862,2.2784,1.15,3.6,4.75,3.475,1.05,0.2,13.425,10.3691,0.6486,100.427,3.56864,215.984,8.81159,6.56506,2.24653,8.09702,38.98
12992,2017,donte divincenzo,112.0,19.1,55.6,58.15,5.5,12.7,12.0,18.1,67,119,0.563,42,115,0.365,1.3,2.2,35.5,So,2.48345,115.827,75.4,91.7019,25.5278,3.05664,2.45266,1.0278,2.7778,3.8056,1.6944,0.9167,0.2778,8.8333,7.64838,0.625,96.9108,3.29803,163.741,6.06282,3.50077,2.56204,5.5093,38.98
13062,2014,dorian finney smith,103.2,23.2,43.8,47.69,12.2,19.3,16.1,17.4,66,151,0.437,39,133,0.293,1.9,1.1,40.5,So,2.22998,113.292,95.4,87.6716,25.8108,2.23021,2.12957,2.5405,4.1351,6.6757,2.0541,0.4324,0.4324,8.7297,8.78715,0.4639,92.0517,3.75006,171.234,6.79352,3.14936,3.64416,4.35978,49.26
13107,2012,doug mcdermott,123.8,28.5,65.4,67.84,9.9,20.5,8.0,14.7,253,400,0.632,54,111,0.486,0.3,0.4,32.7,So,6.04273,140.656,69.2,101.876,31.9143,9.91173,-1.68903,2.4,5.8286,8.2286,1.0571,0.2,0.0857,22.8857,5.86586,0.7352,103.987,2.69096,188.725,4.75873,6.81598,-2.05725,8.2227,23.94
13157,2010,draymond green,114.3,21.8,52.8,56.17,10.4,24.6,23.3,18.1,137,249,0.55,2,16,0.125,4.1,2.9,48.3,So,3.20416,121.999,86.4,84.3544,25.5405,4.81372,5.30217,2.1892,5.5405,7.7297,3.027,1.2162,0.9189,9.8919,1.01491,0.6744,89.1542,3.72302,227.649,11.6835,5.11453,6.56898,10.1159,73.21
13464,2017,dwayne bacon,108.4,27.4,51.0,54.37,4.0,11.9,11.6,14.1,164,318,0.516,57,171,0.333,0.4,1.9,28.2,So,3.47475,122.561,96.8,95.5726,28.8,4.33702,0.416045,1.0,3.2,4.2,1.7429,1.0,0.1143,17.2286,9.30909,0.6267,102.343,3.33395,177.268,2.95488,3.11112,-0.156242,4.75307,12.8
