,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
158,2018,aaron holiday,112.9,27.2,55.7,60.87,1.6,8.7,29.9,20.6,0.828,124,255,0.486,88,205,0.429,0.7,1.9,41.7,5.07293,127.461,2.8,89.4,103.391,37.697,4.87478,0.140775,0.5152,3.1515,3.6667,5.8182,1.2727,0.2424,20.3333,9.1917,2,1.53599624,0.5695,0.3654,106.928,3.3327,209.167,4.36451,4.73004,-0.365525,5.01555,32.62,37.78601100181636,5.166011001816365
297,2015,abdel nader,92.4,21.1,45.0,48.84,5.0,14.5,7.8,19.1,0.767,54,101,0.535,15,69,0.217,3.0,1.3,25.3,0.688912,99.4979,3.8,51.6,94.5695,16.375,-1.33233,0.67825,0.6875,2.2188,2.9062,0.7188,0.375,0.5,5.8125,7.53709,2,0.62169173,0.6557,0.35,99.388,1.86562,99.5242,0.381111,-0.743157,1.12427,-0.654083,24.46,28.19020625242497,3.7302062524249706
1125,2015,alex caruso,101.1,21.0,52.0,55.19,2.8,14.1,34.8,28.4,0.685,80,158,0.506,26,71,0.366,0.3,4.1,40.2,2.01441,105.969,2.6,83.2,89.9005,31.4545,1.90847,4.13692,0.7273,3.8182,4.5455,5.5152,2.0909,0.0606,9.1212,4.22812,2,1.82001792,0.6355,0.2353,92.8772,4.06248,219.985,6.47715,2.70848,3.76867,6.04538,60.17,45.09692482320766,-15.073075176792344
1457,2013,allen crabbe,108.7,25.4,52.8,56.83,3.3,14.8,16.2,16.4,0.813,151,284,0.532,64,184,0.348,1.9,1.9,29.7,4.68127,122.641,2.3,87.0,92.3083,36.2121,5.72903,2.02144,1.0,5.0606,6.0606,2.6364,1.1212,0.697,18.3939,9.24179,2,1.04818706,0.6703,0.4663,96.3071,4.20554,221.672,6.67658,4.50198,2.17461,7.75047,28.9,31.446836111856967,2.546836111856969
1868,2013,andre roberson,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,0.551,113,217,0.521,19,58,0.328,4.4,3.9,35.6,2.25599,105.013,3.0,69.6,79.4846,33.4194,2.92706,4.63046,2.9677,8.2258,11.1935,1.4194,2.1613,1.3226,10.871,3.39385,2,0.5946127,0.6069,0.3175,83.7071,5.29756,283.374,8.97574,1.61601,7.35973,7.55752,55.03,42.36205776788934,-12.667942232110661
2055,2011,andrew nicholson,108.5,30.0,57.8,61.41,6.4,19.0,8.7,19.2,0.711,231,392,0.589,6,23,0.261,4.5,1.0,55.9,4.20821,123.546,3.5,10.6,99.7765,33.8387,4.09881,0.356402,1.6774,5.5806,7.2581,1.0323,0.5484,1.4516,20.8065,1.3406,2,0.32325035,0.773,0.4585,100.861,3.06446,199.395,1.33659,1.13703,0.199564,4.45521,25.72,31.48423945248301,5.764239452483011
5611,2015,buddy hield,110.2,26.7,50.5,54.49,5.6,12.1,13.2,13.3,0.823,112,239,0.469,93,259,0.359,0.7,2.5,26.1,4.2531,125.44,2.1,69.0,87.5904,32.4286,6.89175,2.57902,1.6,3.8286,5.4286,1.9143,1.3429,0.2286,17.4286,13.4991,2,0.98527975,0.5725,0.33,93.2655,4.44818,214.056,7.7637,6.00627,1.75743,9.47077,43.6,43.148741680918604,-0.451258319081397
6012,2018,cameron johnson,120.8,18.8,51.5,55.11,6.3,10.7,13.2,10.9,0.847,66,127,0.52,47,138,0.341,0.7,1.3,22.3,4.08265,128.136,2.4,55.4,97.9238,29.3077,4.82924,0.554492,1.6923,3.0,4.6923,2.3077,0.6923,0.1923,12.4231,10.1205,2,2.14291012,0.6364,0.3934,105.492,3.19059,129.483,6.52069,6.04682,0.473866,5.38373,62.62,38.31385932102508,-24.30614067897492
6191,2015,caris levert,101.1,26.0,47.8,52.42,1.0,15.9,22.9,16.3,0.817,58,136,0.426,28,73,0.384,1.2,3.4,28.7,3.11843,112.521,2.0,52.4,94.5529,35.8333,3.37103,3.32022,0.2778,4.6111,4.8889,3.7222,1.7778,0.3889,14.9444,7.91277,2,1.71791208,0.6667,0.3158,98.751,4.07363,116.928,6.88161,3.45651,3.4251,6.69125,41.56,49.36269203826028,7.802692038260275
6652,2010,chandler parsons,114.5,20.8,55.9,58.7,8.2,16.9,16.3,18.2,0.662,103,180,0.572,38,106,0.358,0.5,2.2,52.8,3.66913,120.208,2.7,94.4,93.3612,31.0,5.27824,1.85499,2.2647,4.5882,6.8529,2.5882,1.1471,0.1471,12.3529,5.99404,2,1.31340713,0.6899,0.2745,97.6814,3.52636,200.768,7.44858,5.56415,1.88443,7.13323,40.56,37.843206074402545,-2.7167939255974574
7341,2011,chris johnson,119.3,18.8,52.0,56.39,7.7,14.8,11.4,11.4,0.83,57,129,0.442,77,203,0.379,1.6,1.8,30.1,3.52988,120.844,2.7,71.2,96.0549,29.7222,5.91813,1.78322,2.1111,3.8611,5.9722,1.5556,0.8611,0.3889,11.8889,11.4403,2,1.47366425,0.6667,0.2949,97.5478,3.1512,199.479,7.51463,5.33637,2.17826,7.70136,29.57,30.311933572834235,0.7419335728342347
8031,2012,cj mccollum,114.5,32.7,49.9,55.93,5.0,17.4,25.4,12.4,0.813,192,393,0.489,60,172,0.349,1.8,4.6,42.7,5.1436,130.04,2.5,9.8,91.553,33.6765,8.27214,3.55188,1.4706,5.0882,6.5588,3.5294,2.6176,0.5588,22.3529,8.79588,2,1.51900161,0.6337,0.3756,89.3988,4.03645,274.887,10.254,6.74575,3.50824,11.824,55.76,43.40534000485145,-12.354659995148545
8290,2018,cody martin,116.5,21.5,53.7,56.88,5.9,13.6,24.0,15.0,0.701,179,324,0.552,15,51,0.294,4.5,2.7,39.2,4.28797,122.926,2.7,85.6,97.3842,35.6667,4.21742,2.64039,1.8056,4.4444,6.25,4.6944,1.6667,1.4722,14.0556,2.25624,2,2.31502103,0.758,0.3593,99.7017,3.91395,270.501,7.78471,4.16234,3.62237,6.85781,47.44,37.25662324259697,-10.183376757403025
8332,2010,cole aldrich,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,0.679,149,265,0.562,0,0,0.0,13.0,1.6,60.0,3.38383,122.431,3.8,94.8,77.6247,26.75,4.74326,5.24154,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,0.0,2,0.55354846,0.7302,0.4101,82.6828,4.50588,264.514,11.6948,3.18819,8.50663,9.9848,36.35,31.632435942789883,-4.717564057210119
9299,2016,damian jones,106.8,26.4,59.0,58.45,9.9,17.3,10.2,16.3,0.536,184,309,0.595,0,3,0.0,5.9,0.5,53.8,2.96524,120.73,5.0,82.8,90.1802,26.2424,2.73371,2.72329,2.2424,4.6364,6.8788,1.1515,0.2424,1.6364,13.8788,0.198424,2,0.58460679,0.731,0.4275,94.8238,3.50456,177.996,5.45568,1.70399,3.75169,5.45701,25.69,33.38043767239374,7.690437672393738
9303,2012,damian lillard,122.3,32.3,54.5,62.11,1.9,14.1,28.0,12.0,0.885,129,256,0.504,86,217,0.396,0.7,2.5,51.4,6.32296,137.966,2.3,57.4,103.535,35.3,9.05933,0.706884,0.5333,4.2667,4.8,4.1,1.5,0.2333,24.3667,12.2517,2,1.78260869,0.5799,0.3563,101.836,2.75997,200.205,8.16164,8.79872,-0.637082,9.76622,67.73,44.52481441353389,-23.205185586466115
9335,2015,damion lee,118.4,28.2,52.5,60.48,2.9,17.2,18.2,11.4,0.889,102,212,0.481,63,162,0.389,0.9,2.4,50.5,5.68791,130.673,2.4,50.8,102.207,38.1111,7.99261,0.976622,0.8889,5.2222,6.1111,2.3333,1.5185,0.3333,21.4074,10.6764,2,1.25994932,0.5772,0.3483,101.883,3.30972,175.557,6.11027,6.45416,-0.343896,8.96923,28.96,42.607809250731364,13.647809250731363
9393,2016,damyean dotson,129.9,18.9,60.2,62.61,7.1,17.2,7.7,10.5,0.833,102,155,0.658,62,169,0.367,0.7,1.3,20.4,4.54225,131.014,2.5,47.8,102.521,30.9688,7.04663,-0.337607,1.9375,4.8438,6.7812,1.25,0.6875,0.1875,13.9062,10.216,2,1.21217992,0.7536,0.5814,102.161,2.78648,175.917,5.74004,6.41573,-0.675688,6.70902,12.27,15.032790659076412,2.762790659076412
10007,2011,darius miller,118.1,17.2,57.1,60.12,5.1,11.2,10.6,17.0,0.853,91,181,0.503,58,131,0.443,3.6,1.6,21.8,3.53579,119.239,3.4,83.8,91.3889,31.0,4.58999,3.13995,1.3421,3.2105,4.5526,1.7368,0.8421,1.1316,10.8947,6.70475,2,1.15786664,0.7073,0.4429,96.9049,3.81031,207.217,7.99598,4.74628,3.2497,7.72994,34.23,33.103622578339994,-1.1263774216600027
10814,2016,deandre' bembry,110.7,24.5,51.3,53.91,4.3,18.0,24.1,12.6,0.657,204,369,0.553,34,128,0.266,2.5,2.2,35.8,4.22179,120.696,2.6,56.0,93.9216,37.25,4.77418,3.11724,1.4167,6.3333,7.75,4.4722,1.4167,0.8333,17.4167,5.42622,2,2.20544419,0.7202,0.3729,96.6461,4.51299,291.217,8.8377,4.88895,3.94875,7.89142,34.76,43.2384749961429,8.4784749961429
10855,2011,deandre liggins,106.5,15.9,49.2,52.25,2.2,11.8,14.2,17.3,0.648,76,172,0.442,36,92,0.391,2.3,2.3,39.8,2.09098,105.39,3.1,93.4,90.4115,31.6053,1.1657,3.74188,0.5789,3.4474,4.0263,2.5263,1.2105,0.7368,8.6316,4.61307,2,1.74540555,0.5753,0.3434,95.8686,3.99153,220.706,6.25092,2.90719,3.34373,4.90757,24.22,42.104901636042044,17.884901636042045
11347,2015,denzel valentine,114.2,24.0,55.7,58.35,4.4,17.6,26.9,18.7,0.826,95,200,0.475,102,245,0.416,0.8,1.7,19.3,4.31272,125.883,2.6,77.8,91.1393,33.2051,7.07675,2.36948,1.1795,5.1026,6.2821,4.2821,0.8974,0.2308,14.5385,11.9322,2,1.81521842,0.6667,0.3929,97.728,4.06118,228.648,9.41924,6.92205,2.4972,9.44623,29.46,41.023794772824616,11.563794772824615
11633,2013,derrick williams,111.5,24.2,57.8,63.8,9.2,17.6,12.7,21.5,0.733,68,114,0.596,14,40,0.35,1.7,1.7,94.8,3.04908,119.558,3.6,30.0,99.3854,26.12,3.60708,-0.332535,1.88,3.52,5.4,1.44,0.72,0.4,11.4,3.79136,2,0.65454547,0.7105,0.3684,101.053,2.3564,112.813,3.66929,3.21724,0.452049,3.27454,12.75,24.538572057231207,11.788572057231207
12210,2017,devonte' graham,120.1,17.8,55.6,58.56,1.6,7.9,19.2,15.8,0.793,63,125,0.504,94,242,0.388,0.6,2.4,25.1,4.36266,123.83,1.8,80.4,95.7707,35.25,4.87937,2.35447,0.4722,2.6389,3.1111,4.1389,1.5278,0.1944,13.3611,10.6154,2,2.32810209,0.7917,0.3289,102.712,4.01456,219.286,7.41011,6.03072,1.37939,7.23384,46.5,38.08199192067782,-8.418008079322178
12244,2013,dewayne dedmon,96.5,19.0,50.0,52.44,11.7,24.2,5.8,22.2,0.681,88,173,0.509,0,3,0.0,10.0,2.9,26.7,1.14207,100.248,5.4,48.6,84.1827,22.2903,-0.0909662,4.94535,2.2581,4.7097,6.9677,0.6129,1.0968,2.129,6.7097,0.25813,2,0.38776415,0.6667,0.3939,88.5165,3.1758,183.119,7.28103,-0.624662,7.90569,4.85438,38.85,34.102865053421695,-4.747134946578306
12349,2017,dillon brooks,113.3,30.1,55.4,58.2,4.7,9.9,23.0,15.8,0.744,141,268,0.526,57,141,0.404,2.0,2.5,29.6,3.93831,132.463,4.4,88.4,92.5238,25.3143,5.82998,2.01293,1.0,2.2286,3.2286,2.7143,1.0857,0.4571,16.1143,9.47441,2,1.3194788,0.6589,0.4058,97.4912,3.20991,158.623,6.51461,5.47655,1.03807,7.84291,51.26,36.21681978241482,-15.043180217585181
13057,2015,dorian finney smith,107.9,25.9,55.7,56.35,11.3,16.3,14.0,16.9,0.587,88,175,0.503,49,115,0.426,3.6,2.6,25.9,3.34376,122.031,3.8,95.4,86.8288,27.9286,6.11344,3.11668,2.6071,3.6071,6.2143,1.5714,1.1429,0.8571,13.1071,9.32713,2,0.81478797,0.6701,0.3077,92.6028,3.91462,152.022,10.015,5.16374,4.85124,9.23012,49.26,38.72733762129151,-10.532662378708487
13102,2013,doug mcdermott,121.3,31.7,62.3,67.19,7.1,20.9,12.4,15.9,0.875,207,361,0.573,77,157,0.49,0.2,0.4,41.7,6.48425,144.359,2.0,69.2,94.353,31.6111,10.3787,-0.0455893,1.6111,6.0556,7.6667,1.5833,0.2222,0.0556,23.1667,8.49014,2,0.6128982,0.6802,0.4458,97.5417,3.46083,202.421,6.33238,6.75132,-0.418947,10.3331,23.94,34.69755361080111,10.757553610801107
13152,2011,draymond green,107.7,25.8,47.8,51.92,9.6,23.4,31.1,18.0,0.696,107,238,0.45,36,99,0.364,4.1,3.5,40.9,3.7492,122.686,4.5,86.4,84.4545,30.0,5.85927,5.11413,2.4848,6.1212,8.6061,4.1515,1.7273,1.1515,12.6667,6.04172,2,1.80264884,0.5882,0.3456,91.5449,4.37171,236.783,12.4099,5.84921,6.5607,10.9734,73.21,50.52499191942566,-22.685008080574335
13528,2013,dwight powell,106.2,26.6,48.7,54.72,7.7,24.0,16.0,17.8,0.796,164,350,0.469,15,33,0.455,3.6,1.5,43.6,3.6922,120.429,4.0,93.4,89.062,30.3529,3.65068,2.53439,2.1176,6.2647,8.3824,2.1176,0.7647,1.1471,14.8824,1.88215,2,0.86744222,0.6,0.3579,93.1085,3.86614,224.985,6.43964,2.60703,3.8326,6.18507,46.86,39.58368714505282,-7.276312854947179
13926,2010,ekpe udoh,110.5,23.0,49.1,52.99,12.8,17.6,14.7,17.9,0.692,178,358,0.497,7,26,0.269,11.0,1.4,41.4,4.21518,120.227,2.8,47.4,88.0061,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,1.24524,2,1.11631598,0.7156,0.4016,93.4571,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,23.32,38.25982115012535,14.939821150125347
14523,2018,eric paschall,122.5,17.6,60.0,63.69,7.7,12.8,11.6,18.3,0.813,108,169,0.639,36,101,0.356,2.2,1.8,35.6,3.77859,124.648,3.3,58.2,94.0474,29.8421,3.85738,2.60933,1.8421,3.4211,5.2632,2.1842,0.9211,0.6316,10.5789,5.10186,2,1.29687685,0.7016,0.4565,100.513,3.62998,208.384,9.01533,5.50623,3.5091,6.46671,23.29,38.71572453129279,15.425724531292794
14784,2010,e'twaun moore,103.9,27.7,49.9,53.13,3.4,10.8,19.8,14.3,0.73,161,330,0.488,51,146,0.349,1.0,2.8,28.8,3.56931,118.479,2.9,95.0,86.9938,31.5143,4.75739,2.99876,0.9143,2.9143,3.8286,2.6571,1.4571,0.2857,16.4286,7.90072,2,1.27396074,0.6667,0.4457,92.4751,4.30533,204.762,6.81518,3.93199,2.88319,7.75615,36.02,37.8535323634505,1.8335323634504945
14932,2010,evan turner,108.9,34.5,54.0,58.15,7.4,23.5,37.5,21.7,0.758,217,402,0.54,20,55,0.364,2.9,3.0,39.8,6.02087,134.66,3.1,90.8,83.7767,35.7419,7.0185,4.32057,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,3.02877,2,1.36028349,0.7846,0.4109,87.8032,5.25693,257.401,11.457,5.75189,5.7051,11.3391,31.55,42.85075250968744,11.300752509687438
15255,2014,frank kaminsky,124.3,25.1,57.8,61.1,10.0,18.4,11.4,9.5,0.765,159,273,0.582,37,98,0.378,6.1,1.6,35.6,4.95992,141.114,3.7,51.8,90.9544,27.1579,7.61503,3.37535,2.1316,4.1842,6.3158,1.2895,0.6842,1.7368,13.9474,6.01681,2,1.25645528,0.7,0.4144,96.2635,3.63778,208.108,11.2538,6.80729,4.44649,10.9904,33.47,39.5780195252964,6.108019525296399
15670,2017,gary clark,124.0,19.7,55.4,58.49,12.3,19.5,14.0,12.4,0.697,132,227,0.581,14,49,0.286,4.7,2.1,43.1,3.8783,127.089,2.6,82.2,87.6525,28.6389,5.65921,3.58681,3.0,4.8611,7.8611,2.1111,1.0,1.1667,10.8056,2.90988,2,1.85363059,0.7545,0.4359,90.8919,4.07409,215.932,10.1494,4.89257,5.25684,9.24601,13.8,29.044949164636776,15.244949164636775
15674,2010,gary clark,112.9,14.7,52.3,53.7,2.9,4.0,4.3,11.9,0.667,15,35,0.429,13,31,0.419,0.4,3.8,18.2,0.813722,111.502,3.2,79.2,92.3596,9.3333,1.8236,3.69426,0.25,0.375,0.625,0.2083,0.625,0.0417,3.2083,7.78595,2,0.71408979,0.5455,0.375,98.4315,1.07778,39.8223,4.03686,2.59231,1.44455,5.51786,13.8,21.288688136520207,7.4886881365202065
15893,2015,georges niang,106.0,26.7,51.7,55.98,4.0,15.2,21.9,18.7,0.808,141,291,0.485,46,115,0.4,1.5,0.9,30.8,3.61191,121.24,3.7,86.0,95.7721,30.7353,3.54321,0.689815,1.0294,4.3824,5.4118,3.4412,0.5,0.4706,15.3235,6.29726,2,1.28570892,0.5789,0.4388,100.749,3.37344,187.349,4.15235,3.13332,1.01903,4.23303,36.79,34.81366525697463,-1.9763347430253688
16120,2013,gorgui dieng,112.6,18.2,53.4,56.23,12.9,22.1,12.3,18.9,0.652,125,234,0.534,0,0,0.0,9.4,2.6,47.9,3.38553,117.22,3.3,91.6,76.177,31.0909,4.59809,5.83893,3.4242,5.9697,9.3939,2.0,1.3333,2.5152,9.7879,0.0,2,1.11863081,0.6827,0.4154,81.001,5.26508,252.025,13.4759,3.72605,9.74983,10.437,36.98,34.81780777827312,-2.162192221726876
16211,2017,grayson allen,113.7,25.0,50.8,56.88,2.7,11.3,21.5,16.9,0.811,60,135,0.444,81,222,0.365,0.2,1.5,44.5,4.14882,128.16,3.1,95.0,96.1502,29.6176,4.91748,0.287565,0.6765,3.0588,3.7353,3.5,0.7647,0.0588,14.4706,12.6331,2,1.60808632,0.5294,0.3529,103.556,3.36924,161.603,5.67693,5.88764,-0.210711,5.20504,39.63,37.45299294680531,-2.177007053194693
16667,2011,henry sims,100.1,17.5,57.8,56.9,8.0,18.9,16.2,27.4,0.5,48,82,0.585,0,1,0.0,4.8,1.2,45.8,0.752559,101.779,6.0,94.2,92.6367,14.0312,-0.888444,3.23712,0.8438,2.3125,3.1562,1.1875,0.2812,0.6562,3.5938,0.137517,2,1.08566471,0.7442,0.4054,99.3397,1.66305,85.6712,3.50565,-0.234341,3.73999,2.34867,24.77,24.19701609797717,-0.5729839020228304
16718,2012,hollis thompson,111.0,21.2,55.2,56.79,5.5,15.2,10.6,15.8,0.671,95,195,0.487,57,132,0.432,1.6,1.4,24.2,3.44246,118.007,2.8,89.4,88.4387,31.1875,4.20985,1.45558,1.3125,4.2188,5.5312,1.4688,0.6875,0.4375,12.9375,8.36577,2,0.88684936,0.6311,0.3261,93.2735,4.03952,173.611,5.12636,3.46936,1.657,5.66543,21.15,28.02786356789234,6.877863567892341
16880,2012,ian clark,120.9,19.5,58.6,60.28,1.9,9.1,16.2,13.4,0.822,58,107,0.542,89,220,0.405,0.3,2.1,13.8,3.22854,119.511,3.0,36.8,99.8706,27.7273,5.2182,0.510148,0.4242,2.2424,2.6667,2.3636,1.0,0.0909,12.7273,13.934,2,1.90244681,0.6406,0.3953,100.477,2.5284,153.574,5.37565,5.51027,-0.13462,5.72835,19.62,32.63430781274742,13.014307812747422
17025,2011,iman shumpert,107.1,28.7,45.4,51.72,5.8,16.4,25.7,14.6,0.806,135,285,0.474,42,151,0.278,0.7,5.0,40.1,4.04547,122.988,3.5,95.6,88.6926,32.0,5.2283,3.9449,1.7419,4.1935,5.9355,3.4839,2.7419,0.1935,17.3226,8.79213,2,1.5000001,0.693,0.3275,91.788,4.21159,225.934,8.39649,5.09881,3.29768,9.1732,43.29,45.07664255043433,1.7866425504343297
17376,2011,isaiah thomas,114.3,27.2,51.7,56.25,2.5,9.5,32.7,19.0,0.719,128,250,0.512,60,172,0.349,0.2,2.3,49.8,4.84646,130.417,2.7,57.6,94.9239,31.8571,5.9993,1.19221,0.7429,2.7714,3.5143,6.0857,1.3429,0.0571,16.7714,8.55836,2,2.0480918,0.6746,0.3468,99.5797,3.51267,197.365,6.44643,6.24487,0.201557,7.19152,46.08,32.15645699828106,-13.92354300171894
18375,2015,jake layman,109.8,22.4,54.4,58.9,5.6,16.2,11.2,17.7,0.752,98,185,0.53,45,119,0.378,2.8,1.7,46.4,3.13767,117.759,2.9,86.4,90.8461,29.9714,3.76484,2.12811,1.2857,4.5143,5.8,1.4,0.8,0.7429,12.4857,7.03113,2,0.73133783,0.6556,0.4149,95.6522,3.77494,202.85,5.88744,3.20245,2.68499,5.89295,23.55,34.21646539933222,10.666465399332221
18544,2018,jalen brunson,128.5,26.1,60.4,63.53,1.2,9.7,26.6,12.3,0.802,184,307,0.599,86,211,0.408,0.1,1.7,31.3,6.37043,146.071,2.5,95.8,96.5942,31.8,7.833,1.63484,0.3,2.75,3.05,4.6,0.925,0.025,18.9,9.49512,2,2.59154928,0.7113,0.5092,103.211,3.5916,206.633,8.37985,8.13628,0.243567,9.46785,49.58,37.88600418835354,-11.69399581164646
19115,2011,james anderson,76.1,13.0,32.5,31.52,7.2,11.5,4.1,13.0,0.269,13,40,0.325,0,0,0.0,7.3,1.2,65.0,-0.412191,70.7093,9.3,6.2,91.3192,7.7333,-6.21937,2.16974,0.5,0.8333,1.3333,0.2,0.1667,0.5667,1.1,0.0,2,0.85726533,0.5714,0.2727,94.6968,0.943727,46.6915,-0.389612,-3.91701,3.5274,-4.04963,21.29,24.090863838523504,2.8008638385235045
19116,2010,james anderson,117.5,30.7,53.2,59.61,6.7,12.9,16.5,13.1,0.81,152,277,0.549,74,217,0.341,2.0,2.4,52.2,6.29412,139.179,3.1,96.0,93.2981,34.0606,9.4241,1.88125,1.9394,3.8788,5.8182,2.4242,1.3939,0.6061,22.2727,11.2083,2,1.02563887,0.6359,0.3763,98.1485,3.9099,217.438,10.434,8.45581,1.97822,11.3054,21.29,41.41724130571761,20.12724130571761
19495,2011,jamychal green,106.1,30.7,50.9,56.3,13.4,17.7,12.2,19.9,0.737,189,373,0.507,1,1,1.0,8.2,3.2,52.9,3.57069,123.439,4.7,97.4,82.2011,27.8824,4.46298,4.06628,3.1176,4.4118,7.5294,1.4412,1.4412,2.0588,15.5,0.0643104,2,0.51580115,0.6685,0.3492,84.7129,4.29572,220.679,7.91999,1.92483,5.99516,8.52926,31.78,28.37706444100418,-3.4029355589958215
20748,2012,jeff withey,117.9,17.8,53.6,61.38,10.2,18.4,5.6,16.7,0.795,113,211,0.536,0,0,0.0,15.3,1.5,73.9,3.00826,120.741,4.0,94.6,79.504,24.8205,3.42545,6.81454,2.0769,4.2051,6.2821,0.7436,0.641,3.5897,8.9744,0.0,2,0.59184974,0.6587,0.35,84.7272,4.02171,239.938,12.3539,1.99642,10.3575,10.24,41.04,37.95506663331703,-3.084933366682968
21116,2014,jerian grant,132.3,25.3,59.0,65.46,1.1,7.5,36.5,12.7,0.865,52,90,0.578,20,49,0.408,1.0,3.5,53.2,6.56518,141.48,2.2,78.0,105.672,35.5833,7.58097,2.06103,0.3333,2.1667,2.5,6.1667,2.0,0.3333,19.0,7.16751,2,3.36371565,0.7391,0.4091,107.628,2.96481,71.7189,8.77328,9.21823,-0.44495,9.642,33.12,40.753062318451114,7.633062318451117
21117,2013,jerian grant,103.3,24.3,47.4,51.77,1.2,8.1,30.8,20.8,0.737,104,233,0.446,52,151,0.344,0.6,2.2,35.7,3.59462,114.609,2.0,78.0,97.5152,36.2857,2.82817,0.872516,0.3429,2.5429,2.8857,5.5429,1.2571,0.2286,13.2857,7.64791,2,1.94004412,0.5763,0.313,101.676,3.47516,193.857,3.62056,3.15513,0.465435,3.70069,33.12,31.54268569079518,-1.5773143092048159
21406,2017,jevon carter,118.0,19.6,53.3,57.12,3.4,14.9,20.5,16.1,0.774,93,192,0.484,72,185,0.389,0.9,4.4,32.9,3.92707,123.755,3.2,40.4,84.1566,32.0,4.9317,5.4236,1.027,3.9459,4.973,3.7027,2.4865,0.2432,13.4595,8.69923,2,2.04478683,0.5152,0.4574,88.8976,4.88943,274.564,10.1418,5.41838,4.72344,10.3553,32.8,47.45356368252483,14.653563682524833
21465,2010,jimmer fredette,121.0,32.6,53.7,61.53,2.9,8.3,30.7,15.2,0.892,148,316,0.468,77,175,0.44,0.5,2.2,51.1,6.12419,142.803,1.4,54.4,94.8385,31.1471,9.48092,0.63428,0.7353,2.3529,3.0882,4.6765,1.2059,0.1471,22.0882,9.36719,2,1.7096844,0.65,0.3571,97.4055,3.39751,181.857,7.80668,8.15041,-0.343734,10.1152,29.01,35.628302937629044,6.618302937629043
21685,2013,joe harris,111.1,26.3,56.3,59.47,3.5,11.9,16.1,15.2,0.74,114,227,0.502,77,181,0.425,1.8,1.8,36.8,4.34684,123.876,2.9,73.8,90.68,32.5429,6.33575,2.1888,0.8571,3.1714,4.0286,2.1714,0.8857,0.4857,16.2857,10.3576,2,1.08570004,0.5481,0.4634,92.4279,3.96345,188.453,6.91462,5.42865,1.48596,8.52455,41.05,35.41106786767428,-5.638932132325721
22075,2012,john henson,107.4,21.9,50.0,50.51,9.1,25.1,8.0,11.0,0.511,205,410,0.5,0,0,0.0,9.6,1.1,32.9,2.86245,114.136,2.2,99.2,81.493,29.1143,3.96186,4.48594,2.5429,7.4,9.9429,1.2571,0.5714,2.8857,13.6857,0.0,2,0.97775533,0.7217,0.4136,85.5966,4.51549,270.434,9.29592,1.93911,7.35681,8.4478,31.87,31.658739557396032,-0.2112604426039688
22414,2010,jon leuer,119.2,26.9,55.5,58.35,6.4,20.0,14.9,8.6,0.72,124,226,0.549,18,46,0.391,5.2,1.3,34.2,4.78224,133.839,2.9,84.0,86.8312,28.7917,8.1198,3.33254,1.4583,4.3333,5.7917,1.625,0.5417,1.3333,15.375,4.43665,2,1.625,0.6271,0.521,92.0918,3.94313,126.449,8.90057,5.13257,3.768,11.4523,32.1,30.729136312985204,-1.370863687014797
22784,2014,jordan clarkson,109.7,27.3,48.1,54.58,2.9,9.3,23.3,16.8,0.831,177,354,0.5,32,114,0.281,0.6,1.9,41.7,4.42955,125.082,2.5,59.0,103.088,35.0857,3.71877,-0.0981812,0.8,3.0286,3.8286,3.3714,1.0857,0.1714,17.4857,5.62763,2,1.26882698,0.6344,0.3491,106.782,3.20357,194.678,3.34317,3.73257,-0.389393,3.62059,44.77,36.57542522067611,-8.194574779323894
22952,2017,jordan hill,100.8,9.8,43.5,45.47,2.3,10.8,7.8,16.3,0.667,10,19,0.526,9,35,0.257,0.3,1.1,16.7,0.066734,89.7533,3.0,29.6,95.1333,9.9429,-2.70117,1.9492,0.2,0.8857,1.0857,0.4571,0.1714,0.0286,1.5143,6.19953,2,1.77790754,0.75,0.3636,100.82,1.14974,51.1006,0.721785,-0.442273,1.16406,-0.751973,31.26,26.029131092910532,-5.230868907089469
23065,2017,jordan mclaughlin,115.2,20.8,52.5,56.9,2.7,8.9,29.6,17.9,0.798,115,236,0.487,47,117,0.402,0.3,2.5,33.7,3.68122,119.0,1.1,91.6,102.083,34.1111,3.42769,0.444924,0.8056,2.75,3.5556,5.4722,1.4722,0.1111,12.9444,5.45222,2,2.46251468,0.5244,0.4085,106.935,3.16718,203.084,3.55311,3.91878,-0.365669,3.87261,39.79,42.88070876502839,3.0907087650283884
