,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
32684,2016,monte morris,122.1,19.9,53.6,56.07,2.4,8.9,28.9,12.1,0.729,150,280,0.536,38,106,0.358,0.7,2.6,24.9,5.48408,129.925,1.7,83.6,99.5178,38.0286,4.74733,1.77352,0.7429,3.2,3.9429,6.8857,1.7714,0.2571,13.8286,4.46377,2,4.22798736,0.5857,0.4857,105.007,3.84367,239.295,7.36575,6.30426,1.0615,6.52085,38.18,42.43547262416628,4.255472624166281
32713,2015,montrezl harrell,113.7,22.6,57.8,58.81,10.0,19.1,9.2,15.1,0.597,204,339,0.602,9,37,0.243,3.7,1.6,50.8,4.44348,124.102,2.4,84.0,83.8085,35.1143,5.41646,3.16934,3.1714,6.0,9.1714,1.4,0.9429,1.2,15.6857,1.81952,2,0.7101552,0.7789,0.3784,89.4932,5.27412,244.458,7.45216,3.50642,3.94574,8.58579,55.19,33.489495756360114,-21.700504243639884
32743,2018,moritz wagner,114.8,24.6,60.3,61.76,6.5,25.0,6.7,13.1,0.698,150,245,0.612,62,158,0.392,2.0,2.2,26.3,3.78162,127.327,4.5,76.4,85.1106,27.641,5.04275,3.27625,1.4615,5.6667,7.1282,0.8462,0.9744,0.5128,14.6154,9.10871,2,0.58931681,0.7241,0.3333,91.4329,4.24166,227.579,6.97039,3.51536,3.45504,8.319,33.26,40.079885253239766,6.819885253239768
33968,2011,nikola vucevic,115.9,25.1,53.9,57.8,9.8,25.6,11.0,12.1,0.755,186,343,0.542,29,83,0.349,4.4,0.9,38.3,5.02313,127.878,3.2,44.0,88.3293,34.9118,6.33822,2.48314,2.8529,7.4412,10.2941,1.5882,0.5294,1.3824,17.1176,4.32851,2,0.93100417,0.7029,0.4341,93.3056,4.65874,244.636,8.27907,4.1751,4.10397,8.82136,47.37,35.71139252036751,-11.658607479632487
34167,2014,norman powell,119.5,19.2,56.8,61.08,3.0,9.6,11.8,11.8,0.78,133,219,0.607,20,68,0.294,1.8,3.1,42.9,3.08126,123.054,3.6,89.6,96.2664,25.7297,3.12089,2.46447,0.6486,2.1892,2.8378,1.7027,1.3784,0.3784,11.4054,4.06827,2,1.65793583,0.726,0.375,100.826,2.96353,176.831,5.97023,3.98319,1.98704,5.58536,33.45,38.38859910921833,4.93859910921833
34721,2014,pat connaughton,123.8,17.8,56.3,58.9,3.9,19.6,15.6,10.3,0.833,79,142,0.556,76,201,0.378,1.7,1.7,19.2,4.60474,124.691,1.9,80.8,101.654,37.1875,6.18144,1.27107,1.1875,5.9062,7.0938,2.9688,1.0312,0.5625,13.7812,10.542,2,2.71420754,0.6389,0.4789,106.57,3.54768,208.939,7.04849,5.40792,1.64056,7.4525,42.13,42.329712969215464,0.19971296921546156
34839,2010,patrick patterson,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,0.692,191,305,0.626,24,69,0.348,4.1,1.2,34.8,4.93367,129.198,1.9,98.2,89.5707,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,3.09222,2,0.87811659,0.8242,0.3937,94.0703,4.19133,233.26,9.11359,5.81768,3.29592,8.74506,35.0,28.322653821925044,-6.677346178074956
35594,2011,quincy acy,109.3,21.2,53.4,57.67,11.3,18.2,6.0,18.5,0.686,134,249,0.538,0,2,0.0,5.5,1.8,62.2,3.03994,114.488,3.3,60.8,91.7151,31.1667,2.41335,1.7928,2.8,4.8333,7.6333,0.8667,0.9333,1.5,12.5,0.12646,2,0.4193642,0.7414,0.3609,93.5673,3.79231,193.507,4.43228,1.5242,2.90808,4.20615,31.31,30.535229230613325,-0.7747707693866737
35639,2014,quinn cook,120.2,20.7,53.5,57.11,1.5,7.5,27.7,16.1,0.827,72,142,0.507,65,175,0.371,0.1,2.8,25.6,4.09676,128.107,2.5,93.6,99.414,29.7714,5.42529,1.37231,0.3714,1.8,2.1714,4.3714,1.3429,0.0286,11.6,10.1886,2,2.68414582,0.6463,0.3167,104.853,3.11592,157.19,7.05535,6.67272,0.382629,6.7976,14.57,39.59313314398692,25.023133143986918
36159,2013,ray mccallum,116.4,24.4,52.4,56.57,4.0,13.3,23.5,12.8,0.715,158,290,0.545,39,123,0.317,1.7,3.0,46.7,5.20097,125.439,2.2,95.0,101.013,37.2903,6.07031,0.999121,1.3226,3.8387,5.1613,4.4516,1.9677,0.5806,18.4194,6.09953,2,2.19042468,0.663,0.3365,101.748,3.22081,222.896,6.27909,5.70333,0.575761,7.06943,26.46,35.352865924150095,8.892865924150094
