,player_name,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe, midmade,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,year,test_score
18414,nerlens noel,24,57.5,109.0,18.2,59.0,58.26,10.4,22.3,9.5,19.1,55,104,0.529,98,166,0.59,0,0,0.0,13.2,3.9,62.7,2.61518,109.012,22,78.8597,31.875,3.95391,7.13561,2.7083,6.75,9.4583,1.5833,2.0833,4.4167,10.4583,0.0,0.84442666,76,99,22,67,0.7677,0.3284,81.3956,5.17641,227.307,12.8608,2.47414,10.3866,11.0895,41.87,2013,47.81011957650219
18815,noah vonleh,30,61.8,109.1,21.5,56.0,60.43,10.8,27.3,4.9,21.8,96,134,0.716,97,183,0.53,16,33,0.485,5.4,1.9,62.0,2.41123,114.674,24,86.69,26.4667,2.72525,3.33363,2.3667,6.6,8.9667,0.6,0.8667,1.3667,11.2667,2.41028,0.2812544,73,122,24,61,0.5984,0.3934,90.6372,3.93211,195.609,5.27582,0.682888,4.59293,6.05888,36.6,2014,32.22470225322206
21534,shabazz muhammad,32,69.5,107.1,28.2,48.7,52.82,9.9,8.5,5.8,10.5,128,180,0.711,162,350,0.463,40,106,0.377,0.4,1.3,39.5,4.18108,124.768,82,98.5396,30.8438,5.4274,-1.6276,2.7188,2.5,5.2188,0.8438,0.7188,0.125,17.875,6.16621,0.52942655,79,124,82,226,0.6371,0.3628,103.412,2.8948,147.485,1.84634,3.93685,-2.09052,3.7998,27.18,2013,18.93299555171427
21545,shai gilgeous alexander,37,84.0,114.1,22.8,51.6,57.87,3.2,10.0,28.8,19.8,143,174,0.822,160,320,0.5,23,57,0.404,1.7,2.8,46.2,4.34397,125.039,52,94.6415,33.7297,5.06269,3.04908,0.8919,3.2432,4.1351,5.1081,1.6486,0.4865,14.3784,2.59924,1.90907054,108,182,52,138,0.5934,0.3768,100.791,4.06009,235.269,7.76378,4.95128,2.8125,8.11177,46.31,2018,46.31259780072753
21857,skal labissiere,36,39.0,105.5,20.9,51.6,54.0,7.3,14.6,3.6,16.3,41,62,0.661,98,188,0.521,0,2,0.0,10.3,0.9,32.6,1.32904,112.492,61,91.4025,15.75,-1.36423,3.46701,0.9722,2.1667,3.1389,0.3056,0.25,1.6389,6.5833,0.206139,0.33336968,37,56,61,132,0.6607,0.4621,95.6059,2.03132,118.717,5.09141,0.0929794,4.99843,2.10278,33.27,2016,34.5651252115905
21971,stanley johnson,38,70.9,108.0,26.0,50.1,55.1,8.9,19.1,11.6,17.4,132,178,0.742,131,274,0.478,43,116,0.371,1.6,3.2,45.6,3.25537,120.461,67,82.5525,28.4474,4.5269,3.85374,1.9737,4.5263,6.5,1.6579,1.5,0.3947,13.7632,6.39449,0.7682932,64,119,67,155,0.5378,0.4323,86.6693,4.41275,234.531,8.8059,4.11077,4.69513,8.38064,28.74,2015,27.571866960946068
22149,steven adams,32,56.1,109.7,18.0,57.1,55.46,15.3,19.1,5.4,16.9,31,70,0.443,100,175,0.571,0,0,0.0,11.2,1.9,40.0,1.99486,109.998,15,83.1502,23.4062,3.36616,3.72734,2.8125,3.5312,6.3438,0.625,0.6562,2.0312,7.2188,0.0,0.57140248,85,129,15,46,0.6589,0.3261,86.5013,3.44551,158.07,9.76937,2.06394,7.70544,7.0935,48.08,2013,50.14125142826845
22996,tobias harris,34,72.5,109.5,25.9,48.9,53.96,7.5,20.6,10.4,14.3,128,170,0.753,162,326,0.497,23,76,0.303,3.4,1.4,42.3,3.69915,123.031,67,91.867,29.2059,5.33543,1.37966,1.9706,5.2941,7.2647,1.2941,0.7059,0.8529,15.3235,4.52936,0.7096792,95,143,67,183,0.6643,0.3661,97.8243,3.5272,197.759,4.80112,2.71068,2.09044,6.7151,46.5,2011,38.78926209521626
23117,tony bradley,37,34.3,123.3,21.4,56.4,58.21,18.2,19.0,7.4,11.5,61,99,0.616,97,172,0.564,0,0,0.0,4.6,1.0,57.6,2.2608,132.834,22,89.8191,14.6053,5.13508,1.73424,2.5789,2.5526,5.1316,0.6053,0.2632,0.5789,7.0789,0.0,0.92004869,75,100,22,71,0.75,0.3099,96.9021,1.96324,112.527,8.31686,5.25593,3.06093,6.86932,41.14,2017,43.955441822047874
23165,tony wroten,35,75.3,95.7,32.1,45.3,48.83,8.0,9.8,24.5,21.8,154,264,0.583,189,391,0.483,9,56,0.161,1.2,3.5,59.1,2.76456,112.145,55,93.6772,30.3429,2.30166,1.69946,2.2857,2.7429,5.0286,3.7143,1.8857,0.3714,15.9714,2.97052,0.98485972,134,232,55,159,0.5776,0.3459,97.047,3.41557,215.125,4.17926,1.85641,2.32285,4.00112,20.8,2012,22.95617333448638
23241,trae young,32,87.5,112.1,38.4,51.9,58.62,1.3,9.9,48.3,20.0,236,274,0.861,143,290,0.493,118,327,0.361,0.7,2.5,44.4,7.00052,145.446,38,100.301,35.4062,9.41387,0.738749,0.4375,3.4688,3.9062,8.6562,1.6875,0.25,27.375,15.0708,1.65865722,105,201,38,89,0.5224,0.427,106.864,3.53946,216.691,9.94112,9.5331,0.408018,10.1526,55.94,2018,47.94675294005458
23605,trey lyles,36,52.6,112.6,20.6,49.6,54.26,9.9,16.1,9.2,15.0,75,102,0.735,113,211,0.536,4,29,0.138,2.1,1.4,42.5,2.47689,118.732,44,80.7753,23.0,3.61558,3.10483,1.8056,3.4167,5.2222,1.0556,0.5278,0.4444,8.6944,2.18574,0.92685926,69,88,44,123,0.7841,0.3577,85.2659,3.68296,154.613,7.23508,3.72842,3.50666,6.72041,30.85,2015,34.16240962383483
23862,tyler ennis,34,88.7,114.5,22.7,45.3,51.07,2.6,9.0,32.5,13.8,114,149,0.765,118,275,0.429,30,85,0.353,0.7,3.9,41.4,4.27438,123.033,51,92.6229,35.7353,4.48187,3.5142,0.7941,2.5882,3.3824,5.5294,2.1176,0.1765,12.9412,4.5863,3.2413389,68,123,51,153,0.5528,0.3333,97.6955,4.56203,202.885,6.86227,4.85439,2.00787,7.99607,34.56,2014,27.747730150568827
24151,tyus jones,39,84.2,121.8,19.9,48.9,57.49,1.8,9.9,27.5,17.4,144,162,0.889,88,200,0.44,47,124,0.379,0.2,2.7,50.0,4.78888,128.348,37,91.4497,33.8974,5.61301,2.78366,0.4872,3.0256,3.5128,5.5641,1.5128,0.0769,11.8205,5.64527,2.8552881,51,87,37,113,0.5862,0.3274,98.3377,4.202,223.713,8.58766,6.36463,2.22302,8.39666,40.68,2015,45.92159283601825
24413,wendell carter jr,37,66.6,121.5,23.4,59.1,62.81,12.8,23.1,13.0,18.2,124,168,0.738,160,273,0.586,19,46,0.413,7.6,1.7,52.7,4.21939,133.412,40,87.1812,26.8378,5.9064,4.45957,2.9459,6.1081,9.0541,2.0,0.8108,2.0541,13.5405,2.61512,0.98667985,120,175,40,97,0.6857,0.4124,92.0353,3.90976,243.593,11.6474,5.02887,6.6185,10.366,36.72,2018,36.158948964189335
24882,zach collins,39,43.1,120.6,24.8,67.6,70.32,12.2,23.2,4.4,20.2,110,148,0.743,125,186,0.672,10,21,0.476,9.8,1.5,71.5,2.57928,130.93,30,77.1749,17.2308,4.31375,5.66437,1.6923,4.2051,5.8974,0.4103,0.4615,1.7692,10.0,1.74739,0.26668833,95,127,30,59,0.748,0.5085,79.0742,3.09468,185.367,9.54386,2.60042,6.94344,9.97812,22.92,2017,26.69639833339636
24941,zach lavine,37,60.7,107.3,19.0,52.4,54.48,2.4,9.5,12.6,13.9,47,68,0.691,79,160,0.494,48,128,0.375,0.8,2.1,23.6,1.84098,110.171,28,98.8807,24.4324,1.46349,0.535932,0.4865,2.0541,2.5405,1.7838,0.8919,0.1622,9.4324,8.06163,1.57149149,51,90,28,68,0.5667,0.4118,103.564,2.59395,148.504,2.74348,2.46177,0.281707,1.99942,38.83,2014,31.204916387080743
