,player_name,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe, midmade,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,year,test_score
2575,brandon ingram,36,85.9,112.1,24.6,52.5,55.25,6.1,15.4,11.3,13.7,116,170,0.682,134,289,0.464,80,195,0.41,3.6,1.9,35.1,4.30177,123.987,65,95.9335,34.6111,5.53645,1.26317,1.8611,4.9167,6.7778,1.9722,1.1111,1.3611,17.3333,9.11171,0.98610002,69,117,65,172,0.5897,0.3779,103.403,3.93885,237.974,6.30806,4.07465,2.23341,6.79962,42.11,2016,45.29936100657244
2588,brandon knight,38,89.4,107.8,26.7,50.8,55.28,2.2,10.2,23.4,19.8,136,171,0.795,130,282,0.461,87,231,0.377,0.6,1.1,33.3,4.52621,122.747,65,94.5951,35.8684,4.36431,0.220269,0.6579,3.3684,4.0263,4.1842,0.6579,0.2105,17.2895,10.2095,1.32499436,65,117,65,165,0.5556,0.3939,100.305,4.01095,204.602,4.48048,4.60756,-0.127072,4.58458,30.42,2011,32.87953721567203
3004,bruce brown,33,79.5,111.5,21.5,51.5,55.94,5.6,15.3,20.7,18.2,90,121,0.744,101,197,0.513,33,95,0.347,1.9,2.9,41.4,3.36313,118.28,11,90.4539,31.9091,3.79755,3.87151,1.4545,4.1818,5.6364,3.2121,1.4848,0.5455,11.8485,5.53894,1.58208156,90,144,11,53,0.625,0.2075,96.8412,4.24455,203.422,8.428,4.16616,4.26184,7.66906,48.85,2017,38.151739063888385
4759,collin sexton,33,68.6,109.6,32.5,49.8,56.66,4.0,9.7,27.8,16.2,196,252,0.778,152,307,0.495,44,131,0.336,0.3,1.6,57.5,4.74253,133.448,49,98.1274,29.9394,5.4363,0.599108,1.0303,2.7273,3.7576,3.6061,0.8485,0.0909,19.1515,7.50048,1.29348259,103,182,49,124,0.5659,0.3952,104.341,3.25388,159.716,4.68534,5.11524,-0.429909,6.03541,27.55,2018,33.6698839568827
5004,cory joseph,36,80.4,110.9,16.8,50.3,52.57,2.2,9.5,17.3,16.1,51,73,0.699,84,196,0.429,52,126,0.413,0.9,1.9,22.7,2.66713,110.158,49,89.5381,32.3889,2.52065,3.02652,0.6389,2.9167,3.5556,3.0278,1.0278,0.3056,10.4167,6.30356,2.01853339,35,73,49,123,0.4795,0.3984,94.0606,4.17314,198.743,6.62528,3.74323,2.88205,5.54717,39.65,2011,52.036800205923214
5362,d'angelo russell,35,84.3,113.6,29.9,54.1,57.29,3.6,15.4,30.1,17.3,118,156,0.756,136,284,0.479,95,231,0.411,1.1,2.8,30.3,5.28622,132.576,66,89.143,33.9429,8.22413,2.70618,1.0,4.6571,5.6571,5.0,1.5714,0.3143,19.2857,11.6594,1.71567788,70,110,66,174,0.6364,0.3793,93.834,4.47433,233.345,9.16316,6.8867,2.27646,10.9303,43.92,2015,46.500098066154465
6124,de'aaron fox,36,69.8,110.7,27.6,49.7,54.81,2.1,12.2,28.6,15.8,156,211,0.739,197,379,0.52,17,69,0.246,0.7,2.7,47.1,4.05821,127.361,66,90.564,29.5556,3.96048,3.21261,0.5833,3.3889,3.9722,4.5833,1.4722,0.1944,16.6944,3.46517,1.89651191,131,203,66,176,0.6453,0.375,96.0513,3.93508,219.063,7.14293,4.40484,2.73808,7.17309,41.13,2017,30.852081611502513
6138,deandre ayton,35,82.5,126.7,26.2,62.5,64.98,13.5,28.2,10.2,13.1,140,191,0.733,264,416,0.635,12,35,0.343,6.1,1.0,42.4,6.07019,140.786,79,93.9647,33.4857,8.02725,1.87637,3.3714,8.2,11.5714,1.6286,0.5714,1.8857,20.1143,1.74757,0.82611341,185,229,79,187,0.8079,0.4225,97.464,4.06491,265.783,8.89899,5.46564,3.43335,9.90362,46.85,2018,43.538469885225936
6192,de'anthony melton,36,67.3,108.0,19.1,48.3,53.05,6.0,13.6,22.5,19.7,77,109,0.706,80,157,0.51,21,74,0.284,3.9,4.1,47.2,1.9861,109.064,13,94.7375,27.0,2.28814,4.04456,1.3889,3.3333,4.7222,3.4722,1.9167,1.0278,8.3333,4.35535,1.95308808,67,107,13,51,0.6262,0.2549,99.2402,3.19273,219.037,7.1726,2.76649,4.40611,6.33269,54.3,2017,53.28211258699332
6260,dejounte murray,34,82.2,97.8,26.0,45.1,48.51,4.1,13.7,25.7,19.0,110,166,0.663,168,368,0.457,34,118,0.288,0.8,2.8,34.2,2.44351,109.327,68,96.4446,33.5,1.73456,1.16724,1.4118,4.5588,5.9706,4.4706,1.8235,0.2941,16.1176,5.29374,1.38181932,100,166,68,201,0.6024,0.3383,100.785,3.71125,243.083,3.43709,1.76825,1.66884,2.9018,60.76,2016,57.235178868501976
