,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
19677,Wing G,2016,jarelle reischel,104.3,54.4,60.97,120,2.65348,112.183,105.771,1.88541,3.0,17.9655,0.73728193,0.6387,1.34107,49.21963565122206
19681,Wing G,2020,jaren english,110.2,50.5,56.25,66,2.87902,111.875,103.445,1.63004,2.1667,11.9167,1.40539656,0.5484,1.51842,50.01998083329281
19682,Wing G,2021,jaren holmes,103.7,49.4,51.13,71,2.90174,110.596,92.8253,2.04312,1.9524,13.7619,1.13889047,0.5,3.05324,40.34761570007356
19688,Wing G,2019,jaren lewis,105.2,46.2,50.75,141,2.31901,107.797,98.9733,1.52581,2.7353,13.7941,1.55000849,0.6204,2.34211,48.82541578901376
19690,Wing G,2017,jaren lewis,98.3,51.8,55.7,114,1.29676,99.3986,104.166,0.0796269,2.1034,13.6897,0.81331683,0.6471,0.406628,43.130802820598916
19692,Scoring PG,2017,jaren sina,106.6,44.5,50.26,28,1.75398,103.501,107.774,0.0923558,3.2353,9.0,2.19998643,0.3235,-0.615053,53.61529703059095
19694,Scoring PG,2014,jaren sina,102.0,50.0,55.14,19,0.734689,96.6024,106.472,-0.457298,2.3824,6.0294,1.62001905,0.5,-1.32053,50.618420848369546
19698,Wing G,2022,jarius cook,111.0,53.2,55.58,49,1.25693,99.5544,106.174,0.662622,0.9062,8.5312,1.38098141,0.5741,0.0741897,40.412727085253856
19699,Wing G,2021,jarius cook,101.5,47.6,51.46,45,1.03513,96.0349,103.623,-1.4312,0.9231,9.1923,0.77421792,0.5303,-1.95659,41.0439208839431
19702,Wing G,2018,jarkel joiner,98.9,40.5,46.98,66,0.977208,97.7509,107.962,-1.08829,0.7333,10.4333,0.78570659,0.4605,-2.26135,43.4660078237644
19703,Wing G,2019,jarkel joiner,111.7,50.0,52.22,146,2.97924,113.92,109.764,3.01118,1.4412,15.6471,1.13955875,0.6263,2.28358,40.02863522846255
19704,Wing G,2021,jarkel joiner,101.2,42.9,49.11,92,2.20655,106.1,94.0172,0.28242,1.6786,11.9643,1.06821936,0.6279,1.67254,48.35515032712635
19707,Wing G,2015,jarmal reid,97.0,43.7,51.22,78,1.22536,103.295,92.9631,-2.1395,1.1667,8.2667,0.85366208,0.4815,0.245794,47.57848150842751
19710,Wing G,2012,jarmar gulley,108.1,53.0,55.55,107,2.44662,114.51,91.6042,2.35445,1.2258,10.3548,0.95001165,0.75,4.54784,42.41540506736652
19718,Wing G,2011,ja'rob mccallum,89.5,46.8,48.53,50,0.260356,89.4721,103.523,-2.06661,0.7879,7.9091,0.50980262,0.5455,-2.58553,36.558248580268646
19740,Wing G,2017,jaron hopkins,93.9,48.0,49.58,157,1.67798,104.265,93.9419,0.169074,3.6061,13.1515,1.17823304,0.5909,2.56028,45.227960060531984
19741,Wing G,2018,jaron hopkins,99.7,53.0,53.95,104,1.69281,104.944,95.9134,0.262736,3.08,11.36,1.30508477,0.6333,1.88345,44.05239204138033
19745,Wing G,2012,jaron jones,118.3,56.5,61.74,160,4.31583,122.317,109.388,4.91602,1.8333,17.4667,0.98210743,0.6437,3.62541,46.58603776031319
19746,Wing G,2011,jaron lane,102.7,51.8,56.24,80,1.11743,100.973,102.14,0.869148,0.7419,8.7419,0.48934767,0.686,0.599696,42.39501775596567
19747,Wing G,2012,jaron lane,121.7,61.7,66.57,80,2.8433,117.115,104.711,3.6938,1.125,11.7917,0.75,0.7763,2.63224,45.657223960059234
19749,Wing G,2014,jaron lane,120.6,55.7,61.22,125,3.71089,119.716,113.448,3.45939,1.3793,17.1724,0.8000116,0.6376,1.24077,44.68558229477414
19750,Scoring PG,2017,jaron martin,112.2,52.7,55.19,105,3.0982,117.083,102.806,3.92929,3.1389,14.1111,1.8226106,0.5667,4.01176,47.41647593921333
19756,Wing G,2021,jaron pierre jr,85.7,46.4,48.75,43,0.349011,89.3944,98.5762,-1.82581,1.5417,8.7917,0.71154294,0.56,-1.3719,39.855619490287
19757,Wing G,2022,jaron pierre jr,80.5,42.7,44.05,33,-0.202678,83.3119,114.168,-2.58649,1.4074,9.9259,0.66666669,0.3721,-5.56812,35.226284083373756
19760,Wing G,2022,jaron williams,91.3,47.2,49.24,56,-0.0937291,84.3709,115.657,-2.97694,1.1786,6.9643,0.75003177,0.5714,-5.35384,39.79392923634247
19761,Wing G,2021,jaron williams,94.8,54.4,56.42,62,0.734029,93.1756,116.313,-0.959397,1.4167,10.3333,0.6181874,0.6939,-3.34266,39.853043857719854
19776,Scoring PG,2010,jarred dubois,109.1,49.3,53.61,60,2.46571,107.834,110.047,0.971863,2.5517,12.5517,1.48001863,0.3864,-0.0952856,46.97051186098169
19777,Scoring PG,2013,jarred dubois,106.2,50.2,57.62,78,3.23476,115.942,101.669,2.64096,2.9355,12.6129,1.3382721,0.5313,2.37164,54.96357486850308
19811,Scoring PG,2017,jarren greenwood,89.8,37.3,44.22,54,0.0514072,88.3247,113.344,-3.39262,2.6071,9.3214,1.65909376,0.4561,-5.15846,51.5576390077094
19816,Wing G,2019,jarrett culver,106.9,50.5,54.17,205,4.70335,129.506,81.671,6.40963,3.7105,18.5263,1.36893562,0.6652,10.5206,49.99715240577763
19817,Wing G,2018,jarrett culver,109.6,53.9,55.92,89,2.65907,116.985,87.0805,3.93564,1.7027,11.1622,1.12500829,0.6,7.52624,41.54547717784864
19818,Wing G,2019,jarrett givens,119.1,53.5,56.28,22,1.42773,107.692,104.724,2.02549,0.8788,7.2424,1.38089251,0.7222,2.21438,43.45073745881927
19822,Scoring PG,2011,jarrett mann,77.8,30.7,36.66,44,-0.735345,78.8255,96.5279,-3.80202,4.1935,4.871,1.62500969,0.5082,-2.80977,58.00449142968917
19823,Scoring PG,2010,jarrett mann,81.1,40.7,45.75,46,-0.100217,84.6515,99.7365,-3.42111,4.25,5.8438,1.34655601,0.5143,-3.74458,56.02667857556621
19831,Wing G,2018,jarrid rhodes,119.7,54.9,57.85,55,3.0646,116.573,106.115,3.44939,1.4242,10.6667,1.42420006,0.6486,3.19329,45.02314530764209
19850,Scoring PG,2022,jarrod west,103.9,47.4,50.76,32,1.21034,97.8689,98.4053,-1.16764,2.875,6.125,2.42105263,0.6286,1.33452,52.313986259175266
19852,Scoring PG,2018,jarrod west,108.4,56.7,57.89,29,0.955563,96.3663,105.075,-0.935776,2.9722,7.7778,2.05774025,0.4878,-0.0323303,45.51561020674342
19853,Scoring PG,2020,jarrod west,103.3,50.1,51.8,90,2.25797,103.36,99.2381,1.23997,4.0938,14.2188,1.79458188,0.5113,2.32843,47.88086156487776
19855,Wing G,2020,jarron coleman,93.1,51.3,53.27,81,1.00179,96.6478,92.4017,-0.839593,2.9677,9.2903,1.09521345,0.5727,0.869459,44.89858088413317
19857,Wing G,2022,jarron coleman,85.2,44.8,46.41,48,0.649474,91.9239,102.229,-1.41121,2.7742,8.6129,1.01178015,0.7619,-1.96671,46.26233148603636
19861,Scoring PG,2020,jarron cumberland,99.8,45.7,53.26,72,3.42938,116.861,93.4579,3.75471,4.9259,15.5185,1.31683909,0.4943,4.87331,60.088284739036695
19869,Wing G,2015,jarvis davis,109.5,53.9,57.46,35,1.21028,101.735,108.312,0.686424,0.8857,8.8,0.79484876,0.6111,0.717481,41.54206481552505
19877,Scoring PG,2018,jarvis garrett,107.5,49.7,52.0,35,1.02494,102.376,98.3083,0.370604,2.2941,5.2647,2.29410005,0.4167,1.96828,46.3274871427102
19878,Scoring PG,2015,jarvis garrett,95.0,40.4,46.08,36,0.475542,92.6588,93.1795,-1.1826,2.8182,6.3939,2.06673517,0.4762,0.627575,52.770396372583754
19880,Scoring PG,2016,jarvis garrett,105.1,48.6,52.23,91,2.87256,112.257,99.6202,2.72731,4.7097,12.5806,1.94663973,0.5,3.03903,55.28315434012632
19881,Wing G,2013,jarvis haywood,95.2,45.6,51.66,110,1.21241,98.8898,106.814,-0.919407,1.4,11.3333,0.57535033,0.4948,-2.23387,44.36431976136698
