,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
1,Scoring PG,2014,aakim saintil,90.7,38.8,45.78,32,0.154813,90.2838,108.117,-4.29753,1.8214,6.25,1.186039,0.4,-3.76,49.708342163149936
3,Scoring PG,2020,aamahne santos,91.3,43.4,45.46,41,-0.0564136,84.7826,105.123,-2.79163,2.6,7.8667,1.50002882,0.3333,-3.09113,42.715083432975604
10,Wing G,2019,aanen moody,102.1,55.1,56.02,16,0.794582,97.0455,108.283,0.413738,0.8667,9.7333,0.81250587,0.7273,-0.592206,36.9314825554635
14,Scoring PG,2018,aaren edmead,96.7,45.0,51.09,51,0.54258,94.0304,115.708,-2.22751,2.9355,9.6452,1.42189381,0.4868,-5.00036,51.52261677569559
17,Wing G,2017,aaric armstead,91.0,37.1,42.02,61,-0.0117966,87.6788,99.0758,-0.759953,1.5938,8.6875,1.0,0.3974,0.593292,43.410487619776916
18,Wing G,2014,aaric armstead,89.5,42.6,46.83,62,0.093042,89.3799,99.1775,-1.4332,0.4483,7.6897,0.25491869,0.519,-0.197299,38.828334699754464
20,Wing G,2015,aaric armstead,100.2,45.1,50.43,74,1.36887,101.236,100.652,0.846597,0.6429,11.1071,0.38299774,0.5169,0.943516,40.88001314271445
32,Scoring PG,2012,aaron anderson,112.2,55.2,60.52,62,2.24933,107.049,106.119,1.82569,2.9643,10.9286,1.59619832,0.5,1.96397,51.554679941657156
33,Scoring PG,2013,aaron anderson,116.7,52.4,60.07,71,3.1285,113.363,106.874,3.19275,3.129,13.3226,1.76361178,0.52,2.84788,56.260002585212135
35,Scoring PG,2014,aaron anderson,118.2,50.9,58.29,66,2.36172,111.187,115.911,1.77064,2.875,10.75,2.24398992,0.5357,-0.309572,56.64228912579625
43,Scoring PG,2018,aaron augustin,99.1,47.3,52.5,19,-0.104416,86.5144,98.7171,-2.57786,3.2941,4.0588,2.07410912,0.5556,-0.0922562,55.19891575834402
49,Scoring PG,2014,aaron bacote,103.1,46.9,53.73,107,2.87825,116.614,103.537,2.86178,2.9143,15.4857,1.02002028,0.5538,2.19469,51.32800486527459
51,Wing G,2017,aaron bodager,97.9,52.6,53.09,16,-0.0543182,87.2679,110.604,-1.50134,1.3824,7.1471,0.77052561,0.8571,-2.51917,40.30583840194995
52,Wing G,2016,aaron bodager,134.2,72.5,73.84,9,2.14668,116.846,116.024,2.32377,1.0968,6.3548,1.54544172,0.6923,0.471443,42.58333281724606
63,Scoring PG,2015,aaron bright,100.9,43.2,49.64,57,2.04516,106.211,102.391,-0.415443,3.7667,10.9333,1.66175497,0.4268,-1.4687,55.67572605967816
66,Scoring PG,2013,aaron bright,101.0,43.4,48.12,45,1.91057,103.553,99.5536,0.389563,3.4333,9.3,2.10206339,0.4154,-0.442204,53.09819731109848
68,Wing G,2010,aaron broussard,103.6,49.0,49.8,101,1.32224,101.992,100.632,1.88561,1.1935,10.3226,0.77079567,0.5735,1.78829,36.88077884894953
69,Wing G,2012,aaron broussard,111.0,51.5,54.48,142,3.30456,117.434,101.532,5.09552,1.08,18.96,0.57446811,0.5904,4.47733,36.578399048362144
70,Wing G,2015,aaron brown,98.1,49.0,52.44,98,2.61436,109.921,103.019,1.93361,2.0,14.8125,0.91428571,0.5577,0.464976,42.559850219981854
71,Wing G,2016,aaron brown,104.8,50.2,53.34,102,1.79666,107.588,101.317,0.4418,1.3056,10.3611,1.11905378,0.5738,0.219689,41.763771916010526
72,Wing G,2015,aaron brown,96.2,44.2,50.38,88,1.24503,102.284,100.741,-0.937877,1.1935,9.2903,0.7399715,0.5391,-1.26421,45.669656318664785
73,Wing G,2014,aaron brown,114.0,50.7,57.09,54,2.34639,113.121,101.412,2.90833,1.2941,9.9706,0.91663127,0.5811,3.15867,48.14222076351006
77,Scoring PG,2018,aaron calixte,100.0,53.7,59.01,121,2.18894,106.492,111.896,0.941957,3.1562,16.9375,0.83470856,0.6083,-0.644752,47.94596944920988
78,Scoring PG,2015,aaron calixte,84.1,44.7,48.25,65,-0.589447,81.9986,119.36,-3.6929,3.3667,7.3333,1.18826097,0.5467,-7.30622,49.35508357231933
79,Scoring PG,2016,aaron calixte,96.1,50.2,54.75,82,0.692921,95.3811,119.37,-1.84712,2.6667,10.8333,0.94119923,0.5152,-5.69425,46.884299351963634
81,Wing G,2011,aaron carter,105.2,50.0,55.49,38,1.60753,106.709,98.6493,2.138,0.7576,8.697,0.56821421,0.5333,2.66798,43.501007898642605
88,Scoring PG,2020,aaron clarke,105.2,45.3,51.39,47,1.74544,103.37,110.055,-0.0935321,2.6667,11.2667,1.42856367,0.4505,-1.8599,50.829955065337074
90,Scoring PG,2021,aaron clarke,97.9,41.6,49.18,38,1.50256,99.0507,117.096,-1.20444,2.9375,13.25,1.34285714,0.4746,-4.78151,53.031730669119256
91,Scoring PG,2022,aaron clarke,110.4,48.8,55.48,87,3.08847,112.573,122.803,1.89287,4.08,15.96,1.7288136,0.5893,-2.50475,57.55898580035061
100,Scoring PG,2019,aaron cook,95.8,46.7,49.95,73,1.1948,97.972,104.536,-0.79711,3.6875,10.4688,1.45681894,0.5185,-1.09453,49.84366627640587
104,Scoring PG,2013,aaron cosby,102.2,54.0,57.69,57,2.80903,111.406,102.332,2.95881,2.9677,12.6129,1.05743811,0.5068,1.40396,47.7097184365983
105,Wing G,2016,aaron cosby,104.5,45.6,51.98,55,1.93452,105.77,111.431,1.1434,1.9062,13.7188,0.96820403,0.4603,-1.36757,46.65716229988646
107,Scoring PG,2014,aaron craft,103.9,50.6,56.41,97,2.20531,106.901,84.6654,0.198217,4.6857,9.7714,1.82223694,0.5942,5.91443,59.55230549890615
109,Scoring PG,2013,aaron craft,106.5,46.1,51.21,102,3.124,111.708,86.39,1.93582,4.6486,10.027,2.42253378,0.5606,6.25336,60.48363332190573
114,Wing G,2011,aaron dotson,94.7,46.4,53.1,40,0.588104,93.5107,102.137,-1.81047,1.4688,6.75,0.82461257,0.4524,-1.52676,47.67954907010819
117,Scoring PG,2022,aaron duhart,99.4,47.4,51.56,47,0.615858,92.3289,109.299,-2.15693,3.3226,7.0,1.83924714,0.56,-3.11604,52.767658138471596
142,Wing G,2015,aaron harrison,112.8,47.4,51.44,87,2.89256,120.033,82.6541,3.52324,1.4103,11.0256,1.57153998,0.7013,7.31616,45.98559745261636
143,Wing G,2014,aaron harrison,116.2,49.9,55.5,112,3.91848,123.3,96.9389,3.40554,1.85,13.725,1.13846155,0.6667,5.65233,49.477085553962716
150,Wing G,2014,aaron hawley,105.9,56.4,57.79,51,1.66333,105.963,106.793,1.71704,0.6333,10.4,0.48715387,0.5,0.524165,34.834140081060454
152,Wing G,2021,aaron henry,100.0,48.2,52.07,139,3.29858,114.636,92.1819,4.1511,3.6071,15.3571,1.26250394,0.5481,7.26312,49.636928761712326
153,Wing G,2019,aaron henry,105.6,53.2,55.5,77,1.46676,106.705,90.2522,1.0501,1.5641,6.0256,1.2199517,0.6301,4.59613,43.92864946840412
154,Wing G,2020,aaron henry,102.2,50.2,52.74,81,2.28381,107.984,89.2044,1.9293,2.8667,10.0,1.40987559,0.6349,4.65168,47.96792118369644
155,Scoring PG,2017,aaron hines,83.4,38.7,42.2,38,-0.636822,81.2998,105.969,-4.07132,2.5455,6.3939,1.5555488,0.3768,-4.26695,45.60933365583108
158,Scoring PG,2016,aaron holiday,94.5,46.2,50.03,75,1.23495,99.2945,100.412,-0.725836,3.9688,10.3438,1.3804522,0.4789,0.679715,51.218831688217655
159,Scoring PG,2017,aaron holiday,113.1,57.1,60.96,97,3.0058,120.686,99.9203,2.95371,4.3889,12.25,1.81607151,0.6413,3.73144,55.25227762731327
160,Scoring PG,2018,aaron holiday,112.9,55.7,60.87,124,5.07293,127.461,103.391,4.87478,5.8182,20.3333,1.53599624,0.5695,5.01555,59.40321019657851
175,Wing G,2019,aaron jordan,114.3,50.0,53.41,22,2.38076,113.015,99.8201,2.82492,1.4545,8.0,1.99986248,0.3659,3.99303,44.55217725384911
187,Wing G,2011,aaron mitchell,100.5,49.8,54.06,110,1.95779,103.52,120.115,0.725322,3.5385,12.5385,1.16455488,0.559,-2.91686,51.17303808005707
203,Wing G,2017,aaron parks,95.6,41.1,47.98,100,1.05897,98.2632,111.04,-1.7987,2.4483,11.3793,1.26789223,0.57,-2.8083,51.20212678686758
209,Wing G,2019,aaron ray,89.2,41.0,49.07,29,-0.202194,85.027,113.224,-3.40729,1.6667,6.6333,0.83335,0.5278,-4.83034,51.150610079330704
234,Wing G,2014,aaron thomas,107.6,50.5,56.65,133,3.35344,119.175,94.2389,2.93735,1.8056,14.5,0.73866797,0.5706,5.1877,46.95687925266652
237,Scoring PG,2020,aaron thompson,102.9,48.1,50.89,73,2.03263,103.416,93.3046,-0.359871,4.6667,7.2222,2.47059123,0.56,2.0876,57.334538087366724
238,Scoring PG,2022,aaron thompson,95.1,49.5,51.48,86,1.48726,98.7917,97.2378,-1.7048,3.8,8.1333,1.67644589,0.5691,-0.0113337,50.48733219255585
241,Wing G,2010,aaron thompson,104.2,58.1,60.56,67,1.67392,100.689,102.728,1.81858,2.2759,11.3103,0.84615384,0.7447,2.26932,44.50517866337077
243,Scoring PG,2013,aaron urbanus,91.7,45.9,48.6,44,0.641189,91.1085,108.909,-0.960313,3.7857,10.3929,1.43240384,0.6,-2.77089,49.68258813967677
246,Scoring PG,2011,aaron urbanus,103.1,53.5,55.98,46,1.3987,99.5365,115.438,0.634242,2.4286,11.6429,1.17244383,0.4655,-2.09106,42.90642648048734
247,Wing G,2016,aaron valdes,111.4,52.3,55.5,88,2.86989,115.005,93.5898,3.7323,2.25,13.5357,1.5,0.7625,5.84516,46.64755164230359
248,Wing G,2015,aaron valdes,105.9,51.1,54.12,111,2.21468,110.168,96.7554,2.64613,1.2121,13.6667,0.71426047,0.6786,3.62605,39.932713360559255
260,Wing G,2016,aaron wheeler,101.7,52.3,52.85,107,1.58895,104.967,108.443,0.854061,1.8148,11.4444,1.04256909,0.5984,0.810467,38.681309969481546
261,Wing G,2015,aaron wheeler,99.9,46.4,47.4,90,0.569443,92.5761,109.021,-1.21594,2.3871,7.9032,1.45094819,0.5639,-2.1804,43.36627457574325
270,Wing G,2021,aaron wiggins,103.8,51.7,54.23,106,3.86597,118.679,93.2843,4.09823,2.5484,14.4516,1.29511608,0.6465,5.79877,46.04611975633957
271,Wing G,2020,aaron wiggins,97.9,46.5,49.01,60,1.89139,104.412,90.6837,2.02615,1.4194,10.3871,0.88002974,0.7119,3.96781,42.38094003564696
272,Wing G,2019,aaron wiggins,112.0,50.8,52.96,35,2.1535,113.867,94.8416,2.58587,0.7941,8.2941,1.0,0.4255,4.82841,38.65568184503896
281,Scoring PG,2015,aaron young,113.2,59.8,63.02,28,1.2212,102.271,112.323,0.0835069,1.9355,6.0645,1.71434908,0.5385,-1.27549,46.75006667819254
296,Wing G,2016,abdel nader,103.5,55.5,58.35,109,2.4854,111.208,97.815,1.531,1.5429,12.9143,0.68357622,0.6909,2.72384,41.43803635036022
313,Wing G,2017,abdoulaye harouna,88.8,42.5,47.92,28,-0.483788,82.2362,106.704,-4.66504,1.0333,6.7,0.70450676,0.55,-4.42755,43.858199344066904
322,Scoring PG,2013,abdul gaddy,98.2,47.1,49.7,118,2.40187,107.401,98.9452,1.19249,4.6176,10.9118,1.52426216,0.6413,1.39841,54.65042931002764
325,Scoring PG,2012,abdul gaddy,104.6,45.8,49.4,71,1.70818,100.344,100.437,-0.337146,5.2,8.1429,2.42661806,0.5781,-0.398115,60.172436101294906
346,Scoring PG,2020,abel porter,97.9,43.3,49.76,34,0.52343,91.2107,95.4829,-2.19018,3.2059,5.6471,1.98188676,0.5254,-0.726358,56.40026060486392
348,Scoring PG,2019,abel porter,106.0,53.1,57.28,23,0.846456,98.6149,98.9618,-0.898111,2.7941,5.5,1.93873162,0.4783,0.494165,50.682639694117064
362,Wing G,2022,abu kigab,110.2,54.3,57.82,145,3.98828,122.185,88.869,3.83085,2.4286,14.8286,1.16440525,0.7329,7.34106,47.37948254210171
367,Wing G,2016,ac reid,90.9,49.3,50.45,21,0.133198,89.5744,111.565,-1.32052,1.3793,7.4828,0.95235793,0.4839,-3.20284,37.939139929960696
381,Scoring PG,2022,adam flagler,114.6,54.4,55.94,81,4.0353,123.531,93.7283,5.50478,3.0323,13.7742,1.77358602,0.5645,7.2882,46.68214166636861
382,Wing G,2019,adam flagler,112.0,55.2,57.98,83,2.75598,112.325,112.426,3.84651,1.25,15.8611,1.07139795,0.6456,1.91991,39.63316027663912
403,Wing G,2013,adam link,105.8,51.3,57.17,100,1.92395,101.656,97.4112,-0.590421,1.4138,10.2414,0.83671657,0.6174,0.422373,46.9930015237708
405,Scoring PG,2010,adam lonon,92.4,52.9,56.18,32,-0.334033,81.0174,124.144,-3.94179,2.72,3.72,1.36000001,0.6667,-7.96523,50.854947492097594
412,Wing G,2016,adam mcdermott,117.2,57.6,60.32,8,1.07397,101.621,106.204,0.483778,0.5667,6.6667,1.2142704,0.7143,0.178614,41.6639282879144
413,Wing G,2021,adam miller,101.5,50.4,52.01,38,1.36802,100.893,91.6282,0.172813,0.8065,8.3226,0.75763273,0.5854,1.79152,37.852372673536124
415,Scoring PG,2011,adam nigon,106.7,57.1,58.79,6,1.19884,101.814,97.6951,1.80258,1.7586,6.3448,1.34213539,0.3636,3.85222,40.86297101495091
422,Wing G,2019,adam pickett,101.8,60.9,62.39,89,1.59094,104.811,104.873,-0.634871,2.7241,12.5172,0.8144284,0.6667,-0.243978,42.140049070739586
438,Wing G,2015,adam smith,112.8,55.0,56.73,77,3.201,118.482,107.526,5.28152,0.9091,13.4242,1.15382667,0.5574,3.68836,38.08589941904799
439,Scoring PG,2011,adam sollazzo,102.7,50.7,56.69,102,1.63954,103.034,98.0021,-0.048198,3.8571,9.2857,1.53406509,0.62,1.20919,56.84213558679431
448,Wing G,2020,adam thistlewood,115.7,57.5,61.46,33,2.34028,110.526,102.818,2.61722,0.6207,10.2414,0.66670248,0.7097,2.0543,42.32223894185685
449,Wing G,2019,adam thistlewood,114.1,57.9,60.43,37,1.67287,103.911,112.32,0.389691,0.9688,8.5938,1.06907969,0.6829,-1.26553,42.02858355399217
463,Scoring PG,2015,adam weary,101.8,49.0,54.34,72,1.35617,104.616,107.739,-0.519016,2.7419,9.2581,1.41663649,0.5694,-1.73896,51.126567584159176
469,Wing G,2015,adam wing,99.9,55.4,60.36,69,0.741919,95.1329,100.25,-0.92585,1.8667,7.5333,0.98247372,0.6719,-0.230459,47.59909820185588
470,Wing G,2014,adam wing,87.1,41.1,46.02,64,-0.691417,81.9556,108.652,-3.28164,1.8387,6.5806,1.05557155,0.6042,-3.68911,46.775756285903924
481,Scoring PG,2013,adama adams,83.9,45.5,50.03,46,0.0967983,86.2359,116.252,-3.78747,2.4348,9.0435,0.73685799,0.5094,-7.38391,46.285989948225186
486,Wing G,2015,addison spruill,99.8,46.1,51.3,145,1.94597,105.779,100.783,1.401,1.625,14.2188,0.7123444,0.6168,0.904496,43.94988251212612
487,Wing G,2014,addison spruill,89.2,39.0,43.06,88,0.578542,96.0025,107.258,-1.51061,0.8667,9.4667,0.68421882,0.5663,-3.12733,40.84065980844676
492,Wing G,2020,ade murkey,107.1,52.5,56.68,175,3.4712,116.314,103.598,4.51823,2.0968,18.7097,1.0,0.5707,4.44052,42.75398753420882
494,Wing G,2019,ade murkey,106.8,50.0,54.95,104,2.07497,111.919,112.393,0.489352,2.0667,11.3333,1.14816669,0.5982,-0.922056,47.77043780975393
497,Wing G,2022,adham eleeda,105.5,49.5,52.24,5,0.97688,94.2574,108.555,-0.510789,0.875,10.2812,0.7179193,0.8,-1.9059,41.16260763786255
518,Scoring PG,2017,admon gilder,106.9,51.5,54.77,88,3.03147,113.031,96.7689,2.46173,3.871,13.7097,1.44580559,0.5806,4.87913,51.05129086274159
525,Wing G,2022,adonis arms,106.0,51.4,54.83,80,2.34318,111.66,85.632,2.94259,2.8108,8.5676,1.50721223,0.6392,6.59874,50.16347622875431
528,Wing G,2013,adonis burbage,104.5,50.2,53.21,33,1.20166,96.1959,114.407,-0.0228837,0.9615,10.3077,0.83333332,0.6429,-2.95928,40.91250859680637
529,Wing G,2016,adonis burbage,103.2,50.6,51.53,34,0.780779,96.7267,110.335,0.863137,0.8214,9.5714,0.71869804,0.4815,-0.704652,34.922789999884124
530,Wing G,2015,adonis burbage,100.9,54.0,54.61,35,0.519989,92.8497,113.751,-0.617567,1.0857,8.2,0.77550004,0.6667,-2.64333,37.66912960404995
536,Wing G,2016,adonis filer,94.8,44.7,50.52,75,0.763439,95.7454,106.929,-1.53772,2.1333,10.3,1.06665003,0.5647,-2.23695,48.014359399994774
544,Wing G,2016,adonys henriquez,109.7,50.5,52.93,37,1.89987,105.362,108.643,1.30153,1.9615,10.0769,1.82143192,0.6316,0.689043,45.404910202172786
545,Wing G,2015,adonys henriquez,110.2,54.0,56.85,39,2.09249,105.083,114.472,2.23259,2.1333,10.7667,1.39131286,0.5952,0.20389,45.75264819679096
553,Scoring PG,2021,adrian baldwin jr,93.4,41.2,46.37,48,0.839229,93.398,89.955,-1.46057,4.3846,6.7308,1.8095003,0.5763,1.5941,58.421260769640085
554,Scoring PG,2011,adrian bowie,111.6,52.9,57.85,70,2.2446,112.294,91.4563,2.37663,3.5455,8.7879,1.9830528,0.5701,5.58544,54.957927073032565
560,Wing G,2022,adrian delph,104.4,51.9,54.58,98,3.46869,112.197,99.5085,4.05493,1.7941,17.7059,0.91043339,0.5294,4.47742,39.59140571611274
561,Wing G,2021,adrian delph,96.9,47.7,50.42,57,1.37019,97.0351,103.583,-0.448381,1.2069,13.0345,0.68628455,0.5211,-1.15887,37.73577311183832
563,Wing G,2020,adrian delph,90.0,46.0,48.22,58,0.318337,88.6991,102.268,-1.92963,1.0625,8.8438,0.64152878,0.5833,-3.1137,38.34550428007755
577,Scoring PG,2018,adrian hicks,98.2,47.5,52.46,66,1.4537,101.359,108.64,0.122584,4.2069,11.0345,1.45235797,0.5823,0.0117841,55.15672550784689
586,Wing G,2011,adrian oliver,104.9,47.9,53.73,171,4.44143,123.659,105.727,6.28387,2.4667,23.3667,0.78725306,0.5514,5.10273,44.80927071005321
587,Wing G,2010,adrian oliver,111.2,49.0,56.23,175,5.16253,126.728,110.738,5.09431,2.8333,22.9333,0.92389217,0.5643,2.84088,50.34991759645655
588,Wing G,2013,adrian powell,94.9,47.6,49.33,97,1.30826,97.2448,95.7456,1.02356,1.8611,12.3889,0.87012012,0.5504,2.52183,38.97995280028471
589,Wing G,2012,adrian powell,95.5,51.6,54.62,80,0.75628,93.8114,101.323,0.0163688,1.2759,10.3793,0.53625013,0.6237,0.773137,39.78135693265443
590,Wing G,2011,adrian powell,98.5,48.0,52.18,59,0.515886,92.3116,110.212,-1.43526,1.4138,7.5862,0.93184815,0.6462,-2.38875,45.174261107209155
593,Wing G,2015,adrian rodgers,96.3,44.7,48.45,98,1.1206,98.5125,103.527,0.858221,1.1429,13.1429,0.62501365,0.625,-0.392302,39.73436881578482
594,Wing G,2016,adrian rodgers,103.0,47.8,51.55,115,2.15656,106.933,106.901,2.74325,1.25,16.625,0.71428571,0.6622,1.18799,39.652346661937514
604,Wing G,2010,adrian thomas,123.7,61.7,62.53,12,2.56884,119.136,97.7232,4.94913,1.3438,7.4062,1.5925574,0.4545,6.32366,40.217121308689954
606,Wing G,2011,adrian williams,102.5,57.5,59.95,21,0.834296,97.5448,112.423,0.48324,1.0,7.5556,0.79409196,0.6207,-2.2246,40.356805594111364
607,Wing G,2010,adrian williams,82.8,42.4,44.12,17,-0.765214,76.5213,114.643,-3.4124,1.5172,5.1379,1.25710497,0.65,-6.22734,42.46878241557158
610,Wing G,2013,adrien coleman,101.2,53.8,53.82,208,3.01437,109.564,107.446,3.55799,2.5938,17.6562,0.87368634,0.688,1.91616,39.060698867233036
611,Wing G,2012,adrien coleman,93.8,46.9,49.43,131,1.16607,97.3323,107.71,-0.184291,1.5455,11.2424,0.64559927,0.6,-2.05688,40.365865313208644
636,Wing G,2021,aher uguak,119.2,65.6,68.13,69,2.20266,111.26,88.1924,1.53642,1.2258,7.2581,1.08573968,0.8052,4.80135,44.13699592982745
637,Wing G,2022,aher uguak,111.3,56.0,59.05,76,2.25817,108.164,94.3699,1.40334,1.6875,8.9062,1.17391304,0.6699,2.97977,45.33730154483651
638,Wing G,2019,aher uguak,99.0,51.9,56.28,63,0.535804,93.5754,98.2112,-2.04472,1.0,5.7941,0.72337961,0.6333,-0.690948,44.017357984587065
639,Wing G,2020,aher uguak,96.1,53.5,57.01,57,0.589736,92.4793,97.7132,-2.10085,1.9062,5.6562,1.03384321,0.6364,-1.90887,46.26731317324887
646,Scoring PG,2015,ahmad abdullah,98.1,46.6,49.94,52,0.348398,90.8108,115.121,-2.10605,2.5625,7.0312,1.4137931,0.4468,-4.06365,47.02164675702437
647,Scoring PG,2016,ahmad abdullah,102.8,45.9,51.12,61,0.893231,95.3684,118.719,-1.07255,3.4839,9.8387,1.86205236,0.4054,-3.80349,52.52081098328236
650,Scoring PG,2019,ahmad caver,105.6,44.9,48.77,126,3.48525,114.171,95.4838,2.52509,5.5143,16.6,2.53951354,0.5333,4.48944,57.75872348732736
651,Scoring PG,2017,ahmad caver,101.9,45.3,48.15,63,2.02414,104.363,97.4841,1.56838,4.8387,13.0,2.27275713,0.4699,2.87573,53.22913799583528
653,Scoring PG,2020,ahmad clark,94.1,44.5,51.26,119,2.24981,105.441,100.931,0.523184,4.1875,16.7188,1.0894167,0.5034,0.53221,53.66956611464649
658,Wing G,2019,ahmad frost,81.9,42.9,43.4,29,-0.69027,77.9448,118.98,-4.54109,1.0968,5.3871,0.89476255,0.4706,-7.57669,36.80054773051204
661,Wing G,2010,ahmad grant,100.0,49.8,51.75,47,1.01934,99.1741,104.534,0.846413,1.0323,8.0968,0.82052299,0.6452,0.339785,40.06420244878034
662,Wing G,2011,ahmad grant,103.9,50.5,53.43,42,0.98891,96.0374,108.207,-0.895258,1.3103,7.7241,0.97434563,0.6383,-1.83179,43.259707843938486
666,Scoring PG,2015,ahmad starks,97.1,43.4,45.66,43,1.15043,101.257,97.1113,0.069816,2.2121,7.7273,1.97297547,0.3636,0.749819,43.768413113883504
667,Scoring PG,2012,ahmad starks,107.5,49.3,51.43,74,2.3453,107.713,101.593,1.50904,2.7059,12.2059,1.91663118,0.4167,1.41767,44.45586051128524
668,Scoring PG,2013,ahmad starks,107.0,50.0,52.46,52,2.1797,106.781,104.077,1.71093,2.3125,10.375,1.68181818,0.4651,1.38005,44.916212106797026
669,Scoring PG,2011,ahmad starks,96.4,44.5,46.93,42,0.918405,98.2921,107.681,-0.518235,1.5333,7.8,1.24324988,0.3548,-2.58503,40.737708401271654
670,Wing G,2017,ahmad thomas,108.7,57.8,58.18,193,3.00437,114.044,95.313,3.31272,2.3333,17.9697,1.11593102,0.7101,5.72115,38.029442803847076
671,Wing G,2016,ahmad thomas,101.0,50.3,52.35,139,1.22407,100.313,93.4269,-0.713427,1.9375,11.1562,0.95386967,0.6159,1.98109,40.78339924941617
672,Wing G,2018,ahmad thomas,104.3,52.9,54.76,199,2.75642,112.795,103.783,1.56722,2.8438,16.5,1.18186358,0.6482,1.86204,42.919986062137056
677,Wing G,2016,ahmad walker,95.1,44.5,50.04,89,0.859167,96.2698,96.7907,-2.20499,4.129,9.9677,1.2799926,0.562,-0.829087,54.90171258158429
678,Wing G,2014,ahmad walker,94.3,43.3,47.75,81,0.433332,93.4549,102.357,-2.29225,2.0909,7.1818,1.11289116,0.5137,-1.57072,46.88456111396164
683,Scoring PG,2021,ahmed ali,106.0,53.0,59.94,43,3.91997,122.451,114.92,4.26423,3.1176,18.1765,1.15214901,0.551,1.40836,52.15784474897237
684,Scoring PG,2019,ahmed ali,107.5,48.3,52.03,31,1.54572,108.483,111.112,0.0592131,2.875,7.3438,2.35887768,0.4634,-1.50872,50.9850410731707
688,Wing G,2019,ahmed hill,111.1,54.5,56.98,89,3.13223,113.181,96.0468,2.30555,1.3143,13.1143,0.97870274,0.6735,3.35451,41.43085539251261
689,Wing G,2018,ahmed hill,117.6,61.3,62.47,64,2.52037,116.97,102.308,3.37026,0.9091,10.6364,1.11109754,0.6731,3.04946,38.426465308956644
690,Wing G,2017,ahmed hill,110.1,55.3,58.39,64,2.31785,110.478,103.472,1.90788,1.2121,11.3636,1.08107391,0.7042,1.57938,42.57910112082189
691,Wing G,2015,ahmed hill,97.3,46.4,50.02,67,1.22981,99.423,106.016,0.301228,1.5455,8.7273,1.0,0.5444,-0.83675,43.90829820215845
694,Wing G,2021,ahmil flowers,92.5,43.4,47.93,60,0.138826,86.5797,108.713,-2.85926,1.9167,8.3333,1.0,0.5571,-3.97856,45.91914969071192
706,Wing G,2018,ahsante shivers,90.9,42.7,47.87,65,0.277702,91.1289,110.497,-2.43654,1.3125,8.25,0.65625,0.4646,-3.91073,43.63322879219439
714,Scoring PG,2020,aidas kavaliauskas,83.6,44.8,53.27,15,-0.778694,76.0192,102.033,-5.07738,2.2593,4.3704,1.05176672,0.3714,-4.40803,52.628134080622885
739,Wing G,2022,aj caldwell,108.8,50.3,52.46,15,0.749793,92.8897,100.368,-0.587891,2.1714,4.8571,2.23533047,0.5789,0.564939,47.58968358820458
740,Wing G,2020,aj caldwell,115.9,58.1,57.75,26,1.2044,101.685,102.103,0.783257,1.6061,4.5455,2.20830467,0.5641,2.21271,41.61792122092367
746,Wing G,2013,aj davis,106.3,59.2,60.55,82,2.08392,110.936,96.7779,4.01212,0.7143,12.2,0.41667151,0.7647,5.01256,36.17564143211617
747,Wing G,2012,aj davis,101.4,50.5,54.96,116,2.75327,110.353,103.919,2.87021,1.9062,15.9375,0.71764178,0.5987,2.33089,43.49505644388966
754,Scoring PG,2016,aj english,114.3,54.0,59.76,96,5.00845,128.133,103.661,6.54215,6.2143,22.5714,1.72279674,0.5827,7.09118,60.645855401213225
756,Scoring PG,2015,aj english,108.7,54.0,58.59,106,4.13672,119.356,106.405,4.62379,5.0588,20.1471,1.34374593,0.5769,3.72903,54.647794537989455
763,Wing G,2022,aj griffin,127.2,61.3,63.05,75,3.45136,126.404,95.9829,6.59311,0.9744,10.3846,1.52012484,0.7241,7.45218,42.052740351780415
772,Scoring PG,2019,aj harris,111.6,51.3,53.0,69,2.1551,111.76,100.125,1.75941,3.3939,9.5455,2.11313118,0.5326,2.72091,48.84710905565264
775,Wing G,2013,aj hess,104.2,48.6,52.94,20,0.41717,91.0766,107.293,-1.61533,0.7931,5.8276,1.0,0.6,-2.36132,44.01204675948529
782,Wing G,2017,aj jacobson,111.3,53.1,57.83,42,1.69617,103.202,104.355,0.692151,2.2414,10.5862,1.62502719,0.5,1.09464,47.54426586108576
783,Wing G,2016,aj jacobson,108.7,50.3,55.14,80,2.05826,104.999,102.717,0.188443,1.5484,12.5806,1.20003102,0.5934,0.571509,44.83833757997422
784,Wing G,2018,aj jacobson,122.4,59.9,64.14,34,2.37474,113.718,105.456,2.58436,1.5938,9.4688,1.88883614,0.6053,3.03695,47.09267834060097
785,Wing G,2015,aj jacobson,107.3,50.5,55.88,38,1.94217,104.4,104.159,0.471264,1.75,11.6071,1.16666667,0.4762,-0.382789,45.81418300137376
793,Scoring PG,2021,aj lawson,91.4,47.8,49.64,58,0.779062,92.4844,117.099,-2.09675,5.4783,11.7826,1.6363881,0.5476,-5.37162,53.406202840773304
794,Scoring PG,2020,aj lawson,93.0,47.7,50.91,131,1.69427,101.436,113.171,-2.32207,4.2188,14.9375,1.06299133,0.5667,-5.62918,49.30496906396864
