,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score
16205,2019,grant williams,124.5,27.0,58.3,64.73,8.8,17.4,18.3,15.2,0.818,215,361,0.596,14,44,0.318,5.3,2.0,63.7,6.13572,143.723,3.8,62.0,91.5344,31.8919,8.10155,3.69374,2.2162,5.2973,7.5135,3.1622,1.1351,1.4865,18.8108,2.20111,2,1.40968254,0.7219,0.5024,96.9792,4.13561,248.894,11.7652,7.35703,4.40819,11.7953,36.95,40.08093915870354
37611,2019,rui hachimura,121.7,26.4,60.8,63.9,5.8,17.0,9.3,12.9,0.739,260,429,0.606,15,36,0.417,2.4,1.8,47.7,4.97771,134.933,2.6,70.6,88.1291,30.2162,5.90307,2.48868,1.3784,5.0811,6.4595,1.5405,0.9459,0.7297,19.7027,1.79906,2,0.83823051,0.7198,0.4386,91.0383,4.33338,232.965,6.43262,4.02255,2.41007,8.39175,20.03,35.93225520583742
