,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
13527,2014,dwight powell,101.3,26.8,47.5,52.69,7.3,17.3,20.4,19.6,0.687,165,340,0.485,10,39,0.256,2.8,2.4,55.7,2.93092,114.456,3.9,93.4,93.3368,32.4167,2.29425,2.45625,1.9444,4.9167,6.8611,3.1111,1.3056,0.8333,14.0278,1.97224,1,1.07691506,0.6187,0.393,98.4977,4.07434,236.615,5.40631,1.62738,3.77893,4.7505,46.86,44.602318930787504,-2.257681069212495
14783,2011,e'twaun moore,112.1,26.8,51.8,54.55,5.1,12.5,20.9,11.9,0.709,151,319,0.473,70,175,0.4,1.6,2.2,28.5,4.85912,127.743,2.5,95.0,88.3413,33.8824,6.94046,2.42252,1.5,3.6471,5.1471,3.1765,1.2059,0.5294,18.0,9.19112,1,1.77052561,0.5714,0.4421,93.8872,4.51998,210.854,9.05063,6.40941,2.64122,9.36297,36.02,36.19389797527262,0.17389797527261663
15254,2015,frank kaminsky,126.2,28.1,59.0,62.78,6.0,25.7,18.4,11.5,0.78,225,387,0.581,42,101,0.416,4.5,1.7,41.0,7.03978,148.113,2.0,51.8,85.5147,33.6154,10.9093,4.47203,1.4872,6.7179,8.2051,2.641,0.8462,1.4615,18.7692,5.1789,1,1.63488926,0.7611,0.4251,91.4999,4.85492,266.979,13.7607,8.70054,5.06011,15.3813,33.47,37.93963260033203,4.469632600332034
15669,2018,gary clark,130.8,20.8,57.1,61.21,12.1,22.2,14.8,10.2,0.741,133,242,0.55,27,62,0.435,5.0,3.0,52.0,4.58764,134.233,2.9,82.2,79.1513,28.4722,7.49799,5.99388,2.9722,5.7222,8.6944,2.1111,1.4167,1.2222,12.8889,3.64678,1,2.11109996,0.6447,0.3889,80.8941,4.96924,253.199,13.7126,6.17928,7.53335,13.4919,13.8,35.00350302607555,21.20350302607555
15673,2011,gary clark,113.5,18.2,62.6,65.52,1.8,7.3,13.5,20.0,0.833,69,141,0.489,52,94,0.553,0.5,2.0,28.1,2.60462,114.388,3.5,79.2,108.25,26.6875,2.54552,-0.611168,0.4062,1.7812,2.1875,1.5625,0.9375,0.1562,10.9062,6.22417,1,0.90906449,0.5686,0.4444,111.744,1.72957,132.609,0.990526,2.85573,-1.8652,1.93435,13.8,22.87386980614835,9.073869806148348
15892,2016,georges niang,116.9,28.0,60.0,62.49,4.8,15.6,19.2,15.8,0.807,227,375,0.605,56,143,0.392,1.8,1.5,23.0,5.57995,136.875,3.8,86.0,98.308,33.2,6.77499,1.28833,1.3143,4.9143,6.2286,3.3429,0.8857,0.6286,20.5143,6.90206,1,1.27174168,0.7633,0.4757,103.73,3.49352,220.909,7.56725,6.38743,1.17983,8.06332,36.79,37.527090996487885,0.7370909964878862
16210,2018,grayson allen,121.1,20.3,53.6,57.97,1.8,8.0,21.2,16.7,0.85,79,157,0.503,102,276,0.37,0.2,2.8,29.3,4.93857,128.083,2.4,95.0,95.7998,35.5676,4.64711,2.65336,0.5405,2.7838,3.3243,4.6486,1.7297,0.0541,15.4595,11.8347,1,2.17722839,0.5938,0.4409,101.134,4.12495,228.386,7.90584,6.21776,1.68808,7.30047,39.63,38.98570251600037,-0.6442974839996296
16398,2010,greivis vasquez,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,5.58704,133.197,2.4,91.6,92.9583,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,9.6179,1,1.87964446,0.578,0.4171,97.2737,3.94793,211.734,9.25869,7.75068,1.50801,9.97327,35.3,42.51534707228572,7.215347072285724
16666,2012,henry sims,100.4,28.7,45.7,52.24,8.3,17.3,26.4,23.0,0.722,129,281,0.459,0,1,0.0,5.5,1.3,57.4,2.90914,116.247,3.9,94.2,85.6473,27.875,2.29764,3.54327,1.7812,4.2812,6.0625,3.3438,0.5938,1.3438,11.7188,0.0709527,1,1.15057468,0.597,0.3333,90.3295,3.87632,174.463,5.67824,0.829829,4.84841,5.84092,24.77,33.892544824745045,9.122544824745045
16879,2013,ian clark,118.1,23.0,66.4,68.36,1.4,10.0,14.5,20.2,0.861,111,171,0.649,95,211,0.45,0.8,2.9,18.8,4.11126,120.704,2.3,36.8,95.6922,33.5484,6.17172,1.06657,0.3548,2.871,3.2258,2.3548,1.6452,0.2258,18.3548,11.8371,1,0.87950993,0.7473,0.5375,97.089,3.50289,186.714,5.1944,4.58805,0.606346,7.23828,19.62,26.459443593352688,6.839443593352687
18374,2016,jake layman,116.5,17.2,60.1,64.02,4.3,14.4,6.8,18.1,0.846,81,134,0.604,57,143,0.399,3.4,2.1,32.9,3.19055,116.99,2.5,86.4,93.9387,31.7429,4.24349,2.63421,1.0286,4.2571,5.2857,1.1429,1.1429,1.0286,11.7143,7.63941,1,0.68969888,0.7917,0.3871,98.339,3.84351,213.062,6.94977,3.75401,3.19576,6.8777,23.55,24.950598636917192,1.4005986369171914
19260,2015,james johnson,76.3,21.0,49.2,50.19,7.2,11.7,3.0,33.3,0.537,59,120,0.492,0,0,0.0,2.1,0.9,34.2,-0.779243,74.3512,6.8,85.8,110.11,17.7812,-7.83816,-1.70875,1.0938,1.9375,3.0312,0.2812,0.2188,0.3125,5.8125,0.0,1,0.13844033,0.5109,0.4286,108.207,1.03477,77.9117,-9.52673,-7.4036,-2.12313,-9.54691,35.42,35.69753533300397,0.2775353330039678
19494,2012,jamychal green,105.5,27.5,55.0,58.5,10.5,19.1,14.9,21.2,0.69,134,239,0.561,2,10,0.2,6.0,1.6,51.8,3.44988,120.04,4.3,97.4,82.8538,29.2308,3.91347,3.66617,2.4231,4.9615,7.3846,1.7692,0.7308,1.5,13.9615,0.832916,1,0.65713327,0.7172,0.45,88.3598,4.36969,155.633,7.14856,1.84528,5.30328,7.57965,31.78,28.95240224401502,-2.827597755984982
20747,2013,jeff withey,113.7,21.0,58.3,62.07,8.8,20.9,6.2,17.8,0.714,184,317,0.58,1,1,1.0,13.7,1.4,60.4,3.58138,119.19,2.7,94.6,78.5563,30.9189,4.19522,6.25337,2.1351,6.3784,8.5135,0.9459,0.7568,3.9459,13.7297,0.0512785,1,0.4794222,0.6881,0.3913,83.0455,4.99547,289.791,11.1432,1.73544,9.40775,10.4486,41.04,41.90133179393749,0.861331793937488
21035,2010,jeremy lin,113.3,26.5,57.5,62.7,3.2,13.4,30.8,21.3,0.747,113,189,0.598,30,86,0.349,3.4,4.4,69.1,3.95084,121.499,3.6,15.0,94.8671,32.3929,5.42258,3.37929,0.75,3.6429,4.3929,4.4643,2.4286,1.0,16.3571,5.57163,1,1.43680607,0.6713,0.3696,92.2094,3.49379,202.448,8.17765,5.11167,3.06598,8.80188,48.02,40.18827733803343,-7.831722661966573
21115,2015,jerian grant,122.2,25.6,53.6,59.18,1.3,8.3,33.5,14.2,0.78,154,269,0.572,50,158,0.316,1.4,2.8,51.1,6.28747,137.08,2.1,78.0,98.4415,37.0526,7.07799,1.35511,0.3421,2.6842,3.0263,6.6316,1.6579,0.5,16.5263,7.00735,1,3.07317281,0.7535,0.3701,102.946,3.66335,226.112,8.37993,8.00355,0.37638,8.4331,33.12,39.76085726889002,6.640857268890024
21405,2018,jevon carter,117.3,25.1,49.8,54.92,2.3,12.9,35.2,16.8,0.858,138,313,0.441,77,196,0.393,1.2,4.8,30.5,5.39718,131.844,3.4,40.4,89.7224,35.4324,6.54098,4.59429,0.7838,3.8649,4.6486,6.6486,3.027,0.3514,17.2973,8.43226,1,2.51023176,0.469,0.4192,94.3123,4.86782,299.61,11.3317,7.78875,3.54295,11.1353,32.8,30.177035704821236,-2.622964295178761
21464,2011,jimmer fredette,114.7,36.6,53.1,59.2,2.0,8.5,28.6,15.3,0.893,221,450,0.491,121,308,0.393,0.1,2.1,36.9,7.18971,144.192,1.5,54.4,95.5029,36.1389,10.0698,0.123288,0.6389,2.8611,3.5,4.3056,1.3333,0.0278,29.3056,13.2585,1,1.19232373,0.7219,0.3746,99.0445,3.90002,215.402,7.05925,8.24222,-1.18298,10.1931,29.01,31.200450765564227,2.1904507655642256
21684,2014,joe harris,113.4,22.1,54.7,56.48,2.7,9.8,18.1,13.4,0.64,77,158,0.487,72,180,0.4,0.9,2.2,33.7,3.37648,122.197,3.3,73.8,89.0955,28.8108,4.54486,3.41925,0.5946,2.3514,2.9459,2.2703,0.9459,0.2162,11.973,11.1052,1,1.75001923,0.679,0.2857,93.7017,4.04406,172.192,8.39072,5.6791,2.71162,7.96411,41.05,30.832799520444013,-10.217200479555984
22413,2011,jon leuer,116.8,29.4,52.6,56.8,6.5,22.6,12.8,11.3,0.843,173,337,0.513,54,146,0.37,3.1,1.0,27.7,5.80128,136.534,2.6,84.0,91.8777,33.5,7.50485,1.26043,1.6765,5.5588,7.2353,1.6471,0.5,0.8824,18.2647,8.99234,1,1.03708601,0.76,0.4427,98.659,4.04456,196.596,6.9244,5.3846,1.5398,8.76528,32.1,31.974278087682677,-0.12572191231732432
22951,2018,jordan hill,98.1,23.7,48.5,52.0,1.9,9.6,20.5,21.5,0.76,70,167,0.419,71,197,0.36,1.1,2.0,26.4,1.62682,101.874,3.9,29.6,107.455,33.697,0.0481475,-0.127318,0.5758,3.2424,3.8182,3.4545,1.2424,0.4242,13.697,10.787,1,1.15149999,0.5238,0.3365,104.933,2.54182,181.104,-0.208666,0.1781,-0.386766,-0.0791703,31.26,32.253825182901636,0.9938251829016345
23064,2018,jordan mclaughlin,116.7,22.4,52.5,56.09,2.5,9.9,38.5,18.9,0.746,105,218,0.482,54,136,0.397,0.7,3.3,33.3,4.2819,123.263,1.2,91.6,98.2643,35.2778,4.996,2.14169,0.7222,2.9444,3.6667,7.8056,2.0,0.2222,12.7778,6.26318,1,3.05431225,0.528,0.4194,101.885,3.76501,240.321,6.64065,5.13808,1.50257,7.13769,39.79,40.38160484416446,0.5916048441644577
23666,2017,josh hart,122.3,27.1,59.0,61.89,5.9,17.5,18.8,13.4,0.747,162,280,0.579,74,183,0.404,1.0,2.9,36.7,5.95049,139.495,2.7,84.4,88.5641,33.1667,7.6631,3.2157,1.4167,4.9722,6.3889,2.9444,1.5556,0.2778,18.6944,9.36674,1,1.49295204,0.7125,0.4,93.5948,4.64604,241.733,10.4919,7.31438,3.17755,10.8788,47.53,45.29165753618733,-2.238342463812671
