,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
35593,2012,quincy acy,116.7,19.2,57.1,62.87,10.7,18.6,6.5,19.9,0.776,145,257,0.564,3,5,0.6,6.5,1.8,64.9,3.57352,120.207,4.2,60.8,89.5366,29.9459,3.12705,2.83409,2.5946,4.8649,7.4595,1.0,0.9189,1.8108,11.6486,0.269092,1,0.52113189,0.7315,0.3333,94.3303,3.81235,233.362,8.23581,3.55773,4.67808,5.96114,31.31,35.69709663033288,4.387096630332881
35638,2015,quinn cook,127.3,18.5,56.9,60.87,1.4,9.2,13.2,11.0,0.891,97,181,0.536,102,258,0.395,0.1,1.7,25.1,5.44046,131.456,2.2,93.6,93.7598,35.7949,6.04948,1.94612,0.3846,2.9744,3.359,2.641,1.0,0.0256,15.3333,11.1248,1,2.19151929,0.64,0.4074,100.822,4.1521,209.733,8.69718,7.35434,1.34284,7.9956,14.57,27.08272500913742,12.51272500913742
36953,2012,robbie hummel,117.5,24.8,49.5,54.05,5.5,21.7,12.6,7.1,0.825,122,277,0.44,72,188,0.383,4.2,1.3,29.5,4.8929,129.452,2.6,88.4,94.0057,32.2286,7.74869,1.07387,1.5714,5.6,7.1714,1.8857,0.6571,1.2,16.3714,10.2834,1,2.06245208,0.6296,0.42,99.9434,3.61701,212.965,7.60093,5.92469,1.67624,8.82257,34.09,33.23465680838714,-0.8553431916128602
37072,2012,robert sacre,111.7,22.9,51.1,59.52,9.9,18.1,5.7,18.1,0.761,117,227,0.515,0,2,0.0,5.8,0.8,86.0,2.81627,116.709,3.3,65.2,91.1277,26.2727,2.24699,1.77144,2.0303,4.2727,6.303,0.7273,0.3636,1.4242,11.6364,0.138079,1,0.400011,0.6625,0.4354,93.459,3.19885,171.815,4.18106,1.17504,3.00602,4.01842,21.93,17.125403562719356,-4.804596437280644
37238,2013,rodney mcgruder,110.9,23.9,49.7,52.68,7.2,11.9,13.6,13.2,0.748,150,306,0.49,51,150,0.34,0.9,2.4,24.3,4.15129,120.584,1.9,79.0,94.0363,33.8529,6.02826,0.835964,2.1176,3.2353,5.3529,2.0294,1.2647,0.2647,15.7647,8.16761,1,1.18963607,0.5983,0.4233,98.0547,3.74346,189.848,6.80545,5.37437,1.43108,6.86423,23.78,21.060383994087232,-2.719616005912769
37668,2016,ryan anderson,117.2,24.5,54.9,60.44,12.7,26.2,5.4,15.2,0.745,172,312,0.551,2,7,0.286,2.0,1.4,65.2,4.12335,129.566,2.9,73.4,89.6133,29.1818,5.22429,1.3549,3.0,7.1212,10.1212,0.7879,0.697,0.6061,15.303,0.414225,1,0.41270753,0.7118,0.3592,93.0436,3.8955,214.357,4.73498,3.14584,1.58914,6.57919,46.01,36.55746519457759,-9.45253480542241
37672,2010,ryan anderson,108.7,21.7,55.8,58.91,5.1,18.5,17.8,19.0,0.75,63,132,0.477,54,126,0.429,0.9,3.8,32.6,2.87701,115.676,3.7,54.0,92.0187,27.9032,4.75286,2.99311,1.1613,4.129,5.2903,2.1935,1.7097,0.1935,11.3226,8.96054,1,1.17236771,0.7647,0.3776,95.526,3.31237,185.14,7.75963,4.67859,3.08104,7.74597,46.01,49.635827212432986,3.625827212432988
37806,2013,ryan kelly,121.1,20.8,53.5,58.64,6.9,14.3,11.0,9.7,0.812,61,129,0.473,35,83,0.422,5.4,1.4,40.1,4.36943,128.862,3.3,97.0,88.6349,28.8696,6.64774,3.30494,1.6087,3.6957,5.3043,1.6522,0.6957,1.6087,12.8696,7.30788,1,1.65219998,0.55,0.4432,94.8199,3.7335,129.644,10.0914,6.13751,3.95393,9.95268,24.76,28.85047077249189,4.090470772491887
38604,2014,sean kilpatrick,119.7,28.8,51.5,57.73,3.6,11.5,18.5,13.3,0.845,121,239,0.506,93,267,0.348,0.1,2.6,42.1,5.725,137.13,1.6,32.0,91.7812,33.7941,8.59315,2.36083,1.0588,3.2353,4.2941,2.5294,1.4118,0.0294,20.6176,14.6078,1,1.22857982,0.7328,0.288,94.4619,4.44463,188.916,6.85129,6.52197,0.329326,10.954,8.65,22.64864714485745,13.998647144857449
38761,2013,seth curry,121.7,22.6,57.7,61.67,2.2,6.8,9.7,9.6,0.809,102,207,0.493,95,217,0.438,0.5,1.6,35.8,5.26531,132.243,2.1,41.8,93.7792,32.2857,7.68263,1.01513,0.5714,1.9714,2.5429,1.5429,0.8571,0.1714,17.4857,11.2203,1,1.28574992,0.5556,0.4768,100.47,3.59896,169.66,7.17772,7.17979,-0.00207077,8.69777,39.62,31.170588518244102,-8.449411481755895
38811,2014,shabazz napier,115.9,28.1,51.7,59.11,3.4,15.0,30.8,17.7,0.87,126,281,0.448,87,215,0.405,1.0,3.2,48.0,5.5385,134.067,2.4,83.8,89.1857,35.1,7.27733,3.85813,0.95,4.9,5.85,4.875,1.825,0.325,18.0,9.39147,1,1.71052637,0.5726,0.3576,93.6766,4.90187,280.829,10.6422,6.8767,3.7655,11.1355,43.45,42.078663792474316,-1.3713362075256867
39470,2013,solomon hill,113.7,21.4,54.1,57.94,6.6,12.8,16.8,18.7,0.766,101,199,0.508,57,146,0.39,1.8,2.1,35.9,4.10206,121.227,2.6,91.8,91.6638,32.9714,5.44116,2.12707,1.7429,3.6,5.3429,2.7143,1.1429,0.5714,13.3714,7.60079,1,1.23377266,0.6463,0.4103,95.9089,3.90349,209.657,8.28038,5.49305,2.78733,7.56824,34.07,35.65992989229423,1.5899298922942293
39815,2017,sterling brown,117.6,21.6,54.6,58.28,6.0,16.9,17.9,17.3,0.791,100,215,0.465,61,136,0.449,2.2,2.7,31.3,4.13724,124.301,3.2,78.4,89.5314,32.6571,4.48903,3.53042,1.5714,4.9143,6.4857,3.0,1.4286,0.5429,13.4286,7.45108,1,1.54408363,0.5269,0.4215,91.236,4.46505,237.84,8.55248,4.83031,3.72216,8.01945,28.37,34.11866222625983,5.748662226259828
40342,2014,tarik black,122.5,17.2,69.2,67.98,11.6,21.3,3.9,17.3,0.6,74,106,0.698,0,1,0.0,4.0,1.3,51.4,1.67492,124.294,8.3,87.8,91.1439,13.5152,2.0693,2.96575,1.2424,2.6364,3.8788,0.2727,0.303,0.5152,5.4848,0.129036,1,0.39124821,0.7949,0.4444,98.3238,1.79382,92.3762,5.8871,3.51465,2.37245,5.03505,27.38,28.699715514607732,1.3197155146077328
40417,2016,taurean prince,107.2,27.2,49.3,53.66,8.9,14.7,15.4,18.9,0.769,130,278,0.468,53,147,0.361,2.7,2.3,33.6,3.83659,124.204,3.3,62.6,97.5834,30.8182,5.0929,0.820334,2.303,3.6364,5.9394,2.303,1.2121,0.7273,16.0303,8.5828,1,0.86361423,0.6341,0.3333,102.839,3.31742,182.37,6.32222,4.52221,1.80001,5.91323,33.63,33.061627744491915,-0.5683722555080877
41161,2014,tim frazier,107.9,25.9,46.3,53.59,3.0,11.4,33.1,17.9,0.785,138,293,0.471,25,86,0.291,0.6,2.7,52.8,4.08197,122.12,2.9,66.2,100.725,35.1765,3.36109,1.44007,0.9118,3.5294,4.4412,5.3529,1.5588,0.1765,14.9412,4.34136,1,1.97823279,0.6228,0.3799,104.204,3.49624,211.783,5.39043,4.15348,1.23694,4.80115,31.81,40.15411470662954,8.344114706629544
41370,2015,tj mcconnell,118.3,20.7,53.8,57.04,2.8,12.5,39.0,19.3,0.829,131,235,0.557,25,78,0.321,0.3,4.3,22.4,3.86742,124.067,2.3,30.6,83.1671,30.4737,5.50399,5.73561,0.6579,3.1842,3.8421,6.2632,2.1842,0.0789,10.3947,4.01649,1,3.05134955,0.7059,0.4733,87.3145,4.66229,245.528,11.5487,6.60546,4.94328,11.2396,44.05,44.87341913174757,0.8234191317475705
41681,2016,tony parker,104.3,25.5,53.9,53.56,14.0,20.3,5.2,14.7,0.493,164,304,0.539,0,0,0.0,4.0,1.4,49.3,2.43321,116.227,5.1,95.4,95.8445,25.0625,1.86129,0.360192,3.25,4.9375,8.1875,0.6562,0.625,0.9688,12.5625,0.0,1,0.38885925,0.6195,0.3737,102.009,2.84638,175.033,2.11664,0.899229,1.21741,2.22148,30.6,36.26937588683947,5.669375886839468
42290,2015,treveon graham,115.2,26.6,50.7,54.61,8.0,20.6,12.7,8.8,0.691,108,234,0.462,64,168,0.381,1.1,1.2,45.0,4.20105,129.385,2.8,21.2,93.9481,29.3636,7.90445,0.163113,2.2121,4.9091,7.1212,1.6061,0.6061,0.2727,16.1515,10.3168,1,1.39478939,0.4854,0.4427,98.2678,3.34539,167.987,5.32468,5.39074,-0.066057,8.06757,21.31,31.37062207412825,10.06062207412825
42372,2010,trevor booker,112.0,24.7,53.3,54.95,10.1,20.4,17.4,14.4,0.591,179,327,0.547,9,34,0.265,4.6,2.5,47.4,4.19352,125.024,2.6,49.8,84.658,30.75,6.40153,3.65793,2.7812,5.5938,8.375,2.5312,1.3438,1.4062,15.1875,1.94973,1,1.30642577,0.724,0.2963,88.4183,4.46515,225.348,9.79521,4.77296,5.02225,10.0595,34.73,31.66626243527432,-3.0637375647256775
42667,2011,tristan thompson,118.2,24.2,56.2,64.06,1.9,9.4,11.3,16.7,0.837,85,175,0.486,64,147,0.435,0.4,1.0,68.6,3.97023,121.838,2.4,45.6,111.065,32.2903,5.31581,-1.74947,0.4839,2.7742,3.2581,1.7419,0.5806,0.129,17.6452,8.49818,1,0.77140071,0.5895,0.3625,107.239,1.77021,154.625,1.16855,4.00529,-2.83674,3.56634,36.83,30.459781875803372,-6.370218124196626
42707,2013,troy daniels,121.9,18.0,59.1,59.62,2.6,11.8,4.5,10.9,0.704,25,49,0.51,124,308,0.403,0.4,2.0,7.6,3.28074,121.474,3.2,60.4,93.5939,26.2778,5.76383,0.227075,0.6389,2.4722,3.1111,0.6389,0.8889,0.0833,12.25,18.9122,1,0.71875351,0.5,0.5143,97.478,2.92583,153.738,5.60033,5.59302,0.00730413,5.99091,27.51,23.822130415951023,-3.687869584048979
43063,2014,tyler johnson,119.7,23.3,53.8,57.94,5.1,18.8,20.0,10.2,0.803,125,261,0.479,57,130,0.438,1.0,1.8,32.5,4.77504,128.854,3.3,29.4,103.199,34.4545,6.09866,0.384705,1.5758,5.7879,7.3636,2.9091,1.0303,0.3333,15.8485,7.01527,1,2.1818796,0.5981,0.3961,104.797,3.11919,204.901,6.06066,5.479,0.58166,6.48336,34.92,29.220462911295243,-5.6995370887047585
43286,2012,tyler zeller,121.2,24.4,55.3,61.56,14.1,20.2,6.3,15.3,0.808,220,398,0.553,0,0,0.0,5.3,1.7,56.3,4.62374,133.178,3.8,97.0,84.3171,28.1579,6.60917,3.30406,3.8421,5.7632,9.6053,0.9474,0.8947,1.5263,16.3421,0.0,1,0.49315494,0.6794,0.4906,88.5932,4.09334,257.763,10.0044,5.44846,4.55591,9.91323,32.11,24.677517486196365,-7.432482513803635
44698,2016,yogi ferrell,124.9,24.7,55.0,59.99,3.5,9.3,28.4,16.9,0.829,117,240,0.487,79,188,0.42,0.1,1.8,38.3,5.78955,136.155,1.9,96.0,100.148,34.7143,6.4724,0.107999,0.9714,2.8286,3.8,5.5714,1.0857,0.0286,17.3429,8.9377,1,2.21588511,0.6098,0.359,104.504,3.45797,190.272,6.40013,6.79787,-0.397745,6.58039,38.74,29.85721391852573,-8.882786081474272
