,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,score
21441,Scoring PG,2010,jimmer fredette,121.0,53.7,61.53,30.7,6.12419,142.803,9.48092,4.6765,2,3.39751,32.09665955934613
21442,Scoring PG,2011,jimmer fredette,114.7,53.1,59.2,28.6,7.18971,144.192,10.0698,4.3056,1,3.90002,32.09665955934613
22928,Scoring PG,2018,jordan hill,98.1,48.5,52.0,20.5,1.62682,101.874,0.0481475,3.4545,1,2.54182,35.280739161336186
23042,Scoring PG,2016,jordan mclaughlin,112.6,55.1,57.88,25.6,3.4455,119.063,3.96535,4.6765,3,3.39439,47.51954513148543
23043,Scoring PG,2015,jordan mclaughlin,94.5,40.7,44.83,30.1,1.65888,102.828,1.24169,4.5455,4,2.92898,47.51954513148543
23044,Scoring PG,2017,jordan mclaughlin,115.2,52.5,56.9,29.6,3.68122,119.0,3.42769,5.4722,2,3.16718,47.51954513148543
25809,Scoring PG,2011,kemba walker,117.8,47.8,54.3,28.0,7.24909,142.787,9.21951,4.4878,2,4.59401,83.18407960199006
25810,Scoring PG,2010,kemba walker,106.2,45.4,52.54,29.2,3.80355,116.858,3.36942,5.0588,3,4.30595,83.18407960199006
27580,Scoring PG,2011,kyrie irving,130.5,61.5,69.7,29.8,5.95161,148.528,9.48637,4.2727,4,3.80115,77.27078891257997
27826,Scoring PG,2017,landry shamet,130.3,60.3,63.38,22.2,3.92745,129.934,6.02053,3.25,4,3.26444,40.31272210376689
27827,Scoring PG,2018,landry shamet,127.5,62.2,65.54,28.8,5.01824,133.749,7.29565,5.1875,3,2.99378,40.31272210376689
28508,Scoring PG,2017,lonzo ball,129.4,66.8,67.26,31.4,5.50817,133.073,7.65462,7.6111,4,4.0114,70.98791755508174
29083,Scoring PG,2020,malachi flynn,121.5,53.2,58.25,30.2,5.6145,133.065,7.29472,5.0312,2,4.69072,
29085,Scoring PG,2018,malachi flynn,111.4,51.1,55.39,26.3,3.92404,121.942,3.7289,4.2581,3,2.42342,
29122,Scoring PG,2011,malcolm delaney,112.3,51.5,58.53,22.7,5.12819,125.34,5.76072,4.0294,1,4.45017,
29123,Scoring PG,2010,malcolm delaney,110.2,45.2,54.43,27.2,4.92081,125.88,5.51805,4.4545,2,4.04715,
29798,Scoring PG,2013,marcus smart,102.2,45.5,53.24,26.8,3.43154,115.31,4.31411,4.2121,4,5.1168,72.49466950959489
29799,Scoring PG,2014,marcus smart,110.4,48.6,55.18,30.1,4.50623,128.811,5.92469,4.7742,3,4.69701,72.49466950959489
31046,Scoring PG,2010,matthew dellavedova,118.5,51.1,56.86,20.6,3.96235,116.855,3.32367,4.4545,4,3.45928,39.70149253731344
31048,Scoring PG,2011,matthew dellavedova,116.9,52.0,57.36,26.0,4.24956,120.383,4.63999,5.3125,3,3.21861,39.70149253731344
32225,Scoring PG,2011,mike scott,99.8,46.7,53.5,27.5,2.05984,102.506,1.047,4.3793,1,2.37497,26.325515280739165
32655,Scoring PG,2017,monte morris,124.2,52.3,55.53,32.0,6.00174,137.603,7.19907,6.2,1,4.13237,42.62970859985786
33782,Scoring PG,2019,nickeil alexander walker,109.8,54.6,58.59,24.6,4.35834,124.321,4.23851,3.9706,3,4.73346,28.18763326226013
34142,Scoring PG,2011,norris cole,112.9,47.0,54.83,38.0,5.82297,132.761,6.90038,5.4412,1,4.44932,25.444207533759773
34143,Scoring PG,2010,norris cole,103.6,46.4,52.24,30.0,3.68109,115.977,3.35441,4.4194,2,2.87249,25.444207533759773
34997,Scoring PG,2019,payton pritchard,112.7,49.9,54.34,25.8,3.69404,117.599,2.85218,4.6053,2,4.48912,
34998,Scoring PG,2017,payton pritchard,111.7,50.2,53.19,20.5,2.12259,109.285,0.972638,3.5897,4,3.47925,
34999,Scoring PG,2020,payton pritchard,120.6,56.3,60.08,31.6,6.88025,141.172,8.7003,5.5484,1,3.75208,
35000,Scoring PG,2018,payton pritchard,116.8,55.4,58.32,25.3,3.84298,119.754,3.13217,4.75,3,3.36107,
35610,Scoring PG,2013,quinn cook,109.1,49.2,52.93,29.0,3.59508,116.12,3.41933,5.2778,3,4.14818,11.385927505330493
35612,Scoring PG,2014,quinn cook,120.2,53.5,57.11,27.7,4.09676,128.107,5.42529,4.3714,2,3.11592,11.385927505330493
35613,Scoring PG,2012,quinn cook,117.9,46.6,52.41,31.5,1.60556,125.454,4.00236,1.9091,4,1.19843,11.385927505330493
36132,Scoring PG,2011,ray mccallum,109.1,48.0,53.75,29.4,3.25766,114.857,3.5975,4.9375,4,2.79266,28.443496801705763
36314,Scoring PG,2010,reggie jackson,106.7,47.8,51.57,30.5,3.66328,120.762,5.21254,4.4839,3,3.00102,53.26226012793177
36315,Scoring PG,2011,reggie jackson,120.5,58.5,61.79,29.7,6.04835,137.307,8.68046,4.4706,2,2.74324,53.26226012793177
37650,Scoring PG,2016,ryan arcidiacono,119.9,54.7,58.83,24.1,4.2845,126.566,5.06061,4.225,1,4.15446,
37651,Scoring PG,2014,ryan arcidiacono,112.0,50.4,53.62,21.1,2.41634,111.077,1.37414,3.4706,3,3.65898,
37652,Scoring PG,2015,ryan arcidiacono,116.5,49.3,55.12,22.1,3.31133,118.965,3.05118,3.5833,2,3.54188,
37653,Scoring PG,2013,ryan arcidiacono,99.6,45.5,53.19,23.6,2.52731,106.956,1.19657,3.4848,4,3.49021,
38012,Scoring PG,2018,saben lee,104.8,50.8,55.49,24.8,2.57534,115.76,1.75354,3.0938,4,2.39472,
38013,Scoring PG,2019,saben lee,102.5,50.6,55.75,25.9,2.59552,110.519,0.712515,3.8125,3,3.13247,
38014,Scoring PG,2020,saben lee,108.4,53.0,58.02,32.0,4.48945,125.079,4.61274,4.1875,2,2.80298,
38733,Scoring PG,2011,seth curry,122.9,55.6,59.6,13.5,3.08462,121.858,4.1863,2.0,3,3.23089,47.24946695095949
38783,Scoring PG,2014,shabazz napier,115.9,51.7,59.11,30.8,5.5385,134.067,7.27733,4.875,1,4.90187,58.9765458422175
38784,Scoring PG,2011,shabazz napier,103.0,45.6,50.7,24.1,1.93403,110.104,2.0609,3.0244,4,2.94459,58.9765458422175
38785,Scoring PG,2013,shabazz napier,115.3,54.4,59.84,27.9,5.27609,127.703,6.16223,4.6071,2,4.13694,58.9765458422175
38796,Scoring PG,2018,shai gilgeous alexander,114.1,51.6,57.87,28.8,4.34397,125.039,5.06269,5.1081,4,4.06009,56.8727789623312
38799,Scoring PG,2017,shake milton,121.0,55.5,58.15,24.2,4.46704,124.186,4.58212,4.5429,3,4.31919,41.80525941719972
38800,Scoring PG,2018,shake milton,119.8,55.1,60.6,25.9,5.11587,128.342,5.87966,4.3636,2,3.8038,41.80525941719972
38871,Scoring PG,2013,shane larkin,117.2,56.9,59.97,26.1,4.92257,124.335,5.09768,4.5556,3,4.64512,37.34186211798153
38872,Scoring PG,2012,shane larkin,98.5,43.8,50.37,19.2,1.41794,102.021,0.211972,2.5312,4,2.72926,37.34186211798153
39206,Scoring PG,2010,shelvin mack,109.0,53.9,56.45,25.1,3.57458,119.205,4.76097,3.0263,3,4.08919,36.75906183368871
39486,Scoring PG,2013,spencer dinwiddie,114.7,49.0,59.13,20.2,4.59338,126.573,5.36376,3.0,3,3.79077,60.41222459132908
39487,Scoring PG,2014,spencer dinwiddie,129.4,56.5,66.66,26.3,4.90165,134.038,5.52197,3.7647,2,3.50461,60.41222459132908
41135,Scoring PG,2014,tim frazier,107.9,46.3,53.59,33.1,4.08197,122.12,3.36109,5.3529,1,3.49624,36.0767590618337
41136,Scoring PG,2010,tim frazier,89.4,42.0,47.41,26.6,0.597381,95.1235,-3.58086,2.3548,4,1.85245,36.0767590618337
41344,Scoring PG,2011,tj mcconnell,114.5,56.0,57.57,26.6,2.64628,111.342,2.51592,4.3226,4,3.98676,48.10234541577826
41667,Scoring PG,2013,tony snell,105.0,51.6,56.23,22.4,2.92387,112.42,3.9188,2.8857,2,3.48131,28.258706467661693
41691,Scoring PG,2012,tony wroten,95.7,45.3,48.83,24.5,2.76456,112.145,2.30166,3.7143,4,3.41557,19.01918976545842
42415,Scoring PG,2012,trey burke,106.6,50.9,54.41,29.1,4.45924,121.176,5.00522,4.7273,4,3.77885,39.45984363894812
42853,Scoring PG,2018,ty jerome,109.4,51.3,53.88,25.6,3.15018,117.444,2.51789,3.8824,3,4.76451,
42855,Scoring PG,2019,ty jerome,119.1,53.2,55.5,32.6,5.33905,133.244,6.33148,5.4595,2,4.91109,
43373,Scoring PG,2020,tyrese haliburton,120.1,61.1,63.12,35.3,5.61471,129.703,7.40487,6.4545,3,4.02987,
43527,Scoring PG,2015,tyus jones,121.8,48.9,57.49,27.5,4.78888,128.348,5.61301,5.5641,4,4.202,48.78464818763327
44670,Scoring PG,2016,yogi ferrell,124.9,55.0,59.99,28.4,5.78955,136.155,6.4724,5.5714,1,3.45797,46.0270078180526
