,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,test_score
0,Pure PG,2016,aakim saintil,99.7,42.4,51.19,30.7,1.32697,101.163,-0.927424,4.7097,2,1.56664,40.48730518482077
1,Scoring PG,2014,aakim saintil,90.7,38.8,45.78,16.8,0.154813,90.2838,-4.29753,1.8214,4,1.69099,38.545584963835154
3,Scoring PG,2020,aamahne santos,91.3,43.4,45.46,17.7,-0.0564136,84.7826,-2.79163,2.6,2,2.24427,30.09692177629379
4,Combo G,2019,aamahne santos,94.8,44.5,48.35,13.6,-0.305204,84.461,-2.66956,2.4375,2,1.70602,34.62130457692818
5,Pure PG,2010,aamir mccleary,83.4,39.2,43.97,36.7,0.353716,88.973,-1.86966,4.6818,1,1.84381,30.09367235266123
14,Scoring PG,2018,aaren edmead,96.7,45.0,51.09,22.0,0.54258,94.0304,-2.22751,2.9355,1,1.19627,33.80617269493462
32,Scoring PG,2012,aaron anderson,112.2,55.2,60.52,20.6,2.24933,107.049,1.82569,2.9643,3,2.13145,48.66074764188916
33,Scoring PG,2013,aaron anderson,116.7,52.4,60.07,21.3,3.1285,113.363,3.19275,3.129,2,2.11735,48.99192726898876
34,Combo G,2011,aaron anderson,98.3,41.1,52.29,17.0,0.540346,93.5133,-2.09152,1.7667,4,1.42714,51.359229511668794
35,Scoring PG,2014,aaron anderson,118.2,50.9,58.29,18.1,2.36172,111.187,1.77064,2.875,1,1.42173,41.52185568674465
36,Combo G,2017,aaron anderson,111.9,53.9,60.97,21.3,1.84538,105.955,0.683596,3.5769,1,1.92459,42.97311838103992
37,Combo G,2016,aaron anderson,92.1,48.2,54.36,17.2,-0.31307,83.9801,-3.09447,2.3571,2,1.42908,41.38386144499801
43,Scoring PG,2018,aaron augustin,99.1,47.3,52.5,21.3,-0.104416,86.5144,-2.57786,3.2941,3,2.49883,40.78745597166161
47,Combo G,2015,aaron bacote,111.3,44.9,52.78,20.4,2.39516,112.851,1.85443,2.7143,2,2.92983,41.89195474890355
48,Combo G,2016,aaron bacote,112.0,49.3,55.7,17.0,2.62857,117.099,2.91368,2.1579,1,2.67692,40.04436033680081
49,Scoring PG,2014,aaron bacote,103.1,46.9,53.73,24.0,2.87825,116.614,2.86178,2.9143,3,2.65874,46.54676566287982
50,Combo G,2013,aaron bacote,90.1,46.6,50.36,19.2,0.267248,88.0771,-2.14288,2.5862,4,1.56181,42.705279769266475
63,Scoring PG,2015,aaron bright,100.9,43.2,49.64,24.5,2.04516,106.211,-0.415443,3.7667,1,2.71555,33.31973999462292
64,Pure PG,2012,aaron bright,111.9,54.4,58.71,26.3,3.05154,117.243,3.93527,3.6757,3,2.93404,47.24098860331042
66,Scoring PG,2013,aaron bright,101.0,43.4,48.12,22.3,1.91057,103.553,0.389563,3.4333,2,2.74988,35.56588022707855
77,Scoring PG,2018,aaron calixte,100.0,53.7,59.01,23.0,2.18894,106.492,0.941957,3.1562,2,2.05525,44.65727566358638
78,Scoring PG,2015,aaron calixte,84.1,44.7,48.25,23.6,-0.589447,81.9986,-3.6929,3.3667,4,0.881974,39.76329929789711
79,Scoring PG,2016,aaron calixte,96.1,50.2,54.75,18.3,0.692921,95.3811,-1.84712,2.6667,3,0.890463,41.52188868637272
80,Combo G,2019,aaron calixte,90.9,48.0,50.92,18.2,0.79057,98.3168,-1.28428,2.0588,1,2.31839,31.418854884483434
88,Scoring PG,2020,aaron clarke,105.2,45.3,51.39,18.9,1.74544,103.37,-0.0935321,2.6667,3,1.67352,41.32428063148955
89,Combo G,2019,aaron clarke,103.7,45.8,51.13,15.9,0.82298,98.5589,-1.80017,1.8438,4,0.927292,41.0219458349615
90,Scoring PG,2021,aaron clarke,97.9,41.6,49.18,19.6,1.50256,99.0507,-1.20444,2.9375,2,1.10666,38.78648543875052
91,Scoring PG,2022,aaron clarke,110.4,48.8,55.48,24.8,3.08847,112.573,1.89287,4.08,1,0.52218,39.690405721223705
96,Pure PG,2022,aaron cook,90.1,43.1,46.41,34.9,1.5612,99.3872,-0.478733,5.3548,1,2.03014,29.48886994854338
99,Combo G,2018,aaron cook,96.4,50.2,53.81,17.3,1.0064,97.6686,-0.885032,2.7273,3,2.62063,41.12448668712736
100,Scoring PG,2019,aaron cook,95.8,46.7,49.95,21.7,1.1948,97.972,-0.79711,3.6875,2,2.83223,34.7688567649947
103,Combo G,2012,aaron cosby,100.6,50.6,51.35,9.1,1.03135,95.7666,0.0975966,1.4118,4,2.84143,41.134902549909015
104,Scoring PG,2013,aaron cosby,102.2,54.0,57.69,22.0,2.80903,111.406,2.95881,2.9677,3,2.53099,47.340027108795844
106,Pure PG,2012,aaron craft,111.6,55.0,59.22,24.6,2.82002,110.955,2.40193,4.641,3,5.03797,46.613785505989995
107,Scoring PG,2014,aaron craft,103.9,50.6,56.41,27.0,2.20531,106.901,0.198217,4.6857,1,5.34004,37.91270520549469
108,Pure PG,2011,aaron craft,111.1,53.3,57.71,26.5,2.45449,110.222,2.15909,4.7838,4,4.25591,48.28283550257608
109,Scoring PG,2013,aaron craft,106.5,46.1,51.21,26.1,3.124,111.708,1.93582,4.6486,2,4.6646,38.64145574395685
117,Scoring PG,2022,aaron duhart,99.4,47.4,51.56,24.6,0.615858,92.3289,-2.15693,3.3226,1,1.60814,31.57643477128258
124,Combo G,2022,aaron estrada,110.8,54.1,57.36,27.3,4.35423,120.906,4.949,5.0,2,2.90839,43.91579634579023
138,Combo G,2012,aaron graham,101.3,51.6,55.33,18.0,1.86984,104.531,1.14856,2.5357,3,2.18409,44.01351979647845
140,Combo G,2013,aaron graham,98.2,47.9,52.61,15.1,1.26871,98.6664,-0.096996,2.0345,2,1.71792,39.8930597600954
141,Combo G,2014,aaron graham,91.5,45.6,49.53,9.3,-0.0891213,87.3037,-3.10077,1.069,1,0.965975,31.59078067229554
155,Scoring PG,2017,aaron hines,83.4,38.7,42.2,19.8,-0.636822,81.2998,-4.07132,2.5455,2,2.25283,28.88345545510347
157,Combo G,2018,aaron hines,85.3,39.3,42.0,16.0,-0.268044,84.371,-4.15634,1.6061,1,2.15211,23.543313280403577
158,Scoring PG,2016,aaron holiday,94.5,46.2,50.03,21.1,1.23495,99.2945,-0.725836,3.9688,4,3.09933,41.956825975648655
159,Scoring PG,2017,aaron holiday,113.1,57.1,60.96,24.4,3.0058,120.686,2.95371,4.3889,3,2.65112,45.31806875858015
160,Scoring PG,2018,aaron holiday,112.9,55.7,60.87,29.9,5.07293,127.461,4.87478,5.8182,2,3.3327,46.82845273722708
168,Pure PG,2010,aaron johnson,105.2,52.4,58.33,28.5,2.17193,103.484,0.0679922,4.8235,2,4.15984,42.974320863997804
169,Pure PG,2011,aaron johnson,105.5,46.0,53.39,43.0,3.28389,112.946,1.71566,7.7097,1,3.72003,38.38311540404446
186,Combo G,2010,aaron mitchell,88.5,42.1,47.43,19.3,0.204336,87.8066,-2.11035,2.963,2,1.29992,36.95800371545757
191,Combo G,2013,aaron morgan,68.2,36.3,40.84,18.6,-1.56346,66.5505,-6.34486,2.3103,4,1.19164,37.56941329959296
197,Combo G,2021,aaron nettles,101.8,48.6,51.06,11.3,0.801382,92.3092,-1.94019,2.0714,1,2.29518,30.32391036939012
204,Combo G,2015,aaron parks,89.1,36.9,47.69,13.7,0.658807,93.9599,-2.65378,1.8125,3,1.76015,45.16873187145713
229,Combo G,2016,aaron simpson,101.0,49.1,51.08,13.1,0.81753,97.8054,-0.264511,1.6333,1,1.95145,31.270193849731886
236,Pure PG,2018,aaron thompson,89.6,40.3,43.8,21.5,-0.00161994,87.7788,-2.83786,3.3714,4,2.751,36.111422435478474
237,Scoring PG,2020,aaron thompson,102.9,48.1,50.89,26.7,2.03263,103.416,-0.359871,4.6667,2,3.82753,32.98424011220654
238,Scoring PG,2022,aaron thompson,95.1,49.5,51.48,25.9,1.48726,98.7917,-1.7048,3.8,1,3.34898,28.77047820296314
239,Pure PG,2019,aaron thompson,104.7,56.5,57.92,28.5,1.48551,103.363,-1.20525,4.303,3,2.6806,36.63214179516492
243,Scoring PG,2013,aaron urbanus,91.7,45.9,48.6,27.5,0.641189,91.1085,-0.960313,3.7857,1,1.85838,31.44405775062597
244,Combo G,2010,aaron urbanus,96.4,50.9,54.43,15.6,0.527986,92.2662,-0.635155,1.5152,4,1.25572,46.36978317759266
245,Combo G,2012,aaron urbanus,88.2,46.2,49.57,17.9,0.265554,88.8267,-2.1995,1.7778,2,1.35592,35.32762511300254
246,Scoring PG,2011,aaron urbanus,103.1,53.5,55.98,19.3,1.3987,99.5365,0.634242,2.4286,3,1.21057,42.49171920057066
280,Combo G,2017,aaron young,105.1,48.9,54.58,7.6,0.591207,94.7577,-2.25069,1.0714,1,1.29663,35.297599027485916
281,Scoring PG,2015,aaron young,113.2,59.8,63.02,17.1,1.2212,102.271,0.0835069,1.9355,3,1.23614,44.851519172521925
289,Combo G,2015,aaseem dixon,106.0,46.4,49.78,14.7,1.71972,101.699,0.708453,2.2973,1,2.5097,32.69598256714272
290,Combo G,2014,aaseem dixon,102.1,48.1,51.04,13.7,1.1352,98.5429,-0.434007,2.0968,2,2.0014,35.12301768508934
322,Scoring PG,2013,abdul gaddy,98.2,47.1,49.7,30.6,2.40187,107.401,1.19249,4.6176,1,2.92246,31.309795951609644
325,Scoring PG,2012,abdul gaddy,104.6,45.8,49.4,25.6,1.70818,100.344,-0.337146,5.2,2,3.02257,33.75333056371668
346,Scoring PG,2020,abel porter,97.9,43.3,49.76,21.4,0.52343,91.2107,-2.19018,3.2059,2,2.84095,37.321386688010094
348,Scoring PG,2019,abel porter,106.0,53.1,57.28,20.9,0.846456,98.6149,-0.898111,2.7941,3,2.31378,41.89567962898132
366,Combo G,2017,ac reid,88.6,47.3,48.56,16.9,-0.499014,81.0924,-3.03048,1.6286,2,1.73037,31.95803110760128
377,Combo G,2011,adam brown,103.3,52.5,55.04,19.7,2.33883,107.096,2.5349,2.88,1,2.35292,37.87034546904299
380,Combo G,2021,adam flagler,130.2,57.8,61.5,9.9,3.58752,130.477,5.74268,1.4286,3,2.66979,46.56830493178321
381,Scoring PG,2022,adam flagler,114.6,54.4,55.94,18.3,4.0353,123.531,5.50478,3.0323,2,3.56295,40.60808904052176
387,Combo G,2017,adam grant,100.5,47.4,50.74,14.3,1.41064,99.4129,0.00373591,2.5625,4,1.76008,42.7966194446782
388,Combo G,2020,adam grant,100.8,50.6,52.52,14.3,1.99936,102.652,1.9727,2.1562,1,2.35067,36.11126007387932
389,Combo G,2019,adam grant,104.9,51.4,54.23,9.8,2.05752,104.145,1.24419,1.5333,2,1.38602,39.419018068157825
390,Combo G,2018,adam grant,93.6,45.9,48.51,14.5,0.964371,95.3597,-0.691886,2.5185,3,0.645181,37.800451360223825
398,Combo G,2020,adam kunkel,108.0,52.5,55.98,16.2,2.7855,112.127,2.12552,2.6364,3,2.67766,43.45005675678789
400,Combo G,2022,adam kunkel,101.8,47.3,49.97,14.9,1.6909,106.869,0.456144,1.7941,1,2.31799,30.32012847162085
401,Combo G,2011,adam leonard,107.7,51.3,52.99,11.4,1.99509,103.344,1.97174,1.9429,1,2.55602,35.00216588780002
402,Combo G,2010,adam leonard,111.3,53.5,56.28,13.6,2.9969,112.391,3.84774,2.1667,2,2.62349,42.8269544870281
405,Scoring PG,2010,adam lonon,92.4,52.9,56.18,19.9,-0.334033,81.0174,-3.94179,2.72,1,0.16756,34.577152496907026
415,Scoring PG,2011,adam nigon,106.7,57.1,58.79,15.1,1.19884,101.814,1.80258,1.7586,1,2.25334,38.50435816532442
416,Combo G,2010,adam nigon,99.5,53.3,55.14,14.4,1.19723,98.1732,0.730102,1.7419,1,2.79816,36.32769446208435
417,Combo G,2010,adam parzych,88.0,39.7,47.49,19.0,-0.199307,83.3526,-3.14364,1.8333,1,0.967297,36.06385216222837
424,Combo G,2018,adam pickett,104.3,60.7,63.38,17.8,1.34284,105.247,-0.307058,1.8387,2,1.81148,41.07062528926581
428,Combo G,2022,adam seiko,107.6,57.0,58.2,7.7,1.02766,98.1351,0.0423046,0.931,1,2.85974,35.33163693975882
435,Combo G,2016,adam smith,117.1,52.6,54.98,12.6,3.99338,125.783,5.26691,1.9167,1,2.67471,36.68518701177699
436,Combo G,2012,adam smith,102.4,45.8,49.64,12.2,2.30853,107.657,1.26032,1.5667,4,1.82162,42.9587845545891
439,Scoring PG,2011,adam sollazzo,102.7,50.7,56.69,27.8,1.63954,103.034,-0.048198,3.8571,2,2.82743,41.71769244772311
441,Combo G,2012,adam sollazzo,99.9,44.4,49.86,26.6,2.48637,106.134,1.85307,4.4333,1,3.34944,37.22360486795977
461,Combo G,2013,adam weary,99.8,47.3,52.64,16.2,1.09667,97.0211,-1.05773,2.2414,4,2.18571,45.049755734477884
462,Combo G,2016,adam weary,115.2,55.4,59.22,20.8,2.78499,116.177,3.04265,2.963,1,1.94791,38.94246202195252
463,Scoring PG,2015,adam weary,101.8,49.0,54.34,24.2,1.35617,104.616,-0.519016,2.7419,2,1.54663,37.81066863575251
464,Combo G,2014,adam weary,101.8,54.3,57.25,14.7,1.48673,104.552,-1.20202,1.8261,3,1.25439,39.37963252179306
467,Combo G,2016,adam wing,113.9,58.1,62.57,16.7,1.83789,106.001,0.880562,2.6667,1,3.05976,40.97254355847423
480,Combo G,2014,adama adams,85.9,40.7,47.39,25.4,0.0609735,89.0459,-4.78422,2.7143,1,1.14307,29.355045177561745
481,Scoring PG,2013,adama adams,83.9,45.5,50.03,19.4,0.0967983,86.2359,-3.78747,2.4348,2,0.942767,35.3848305951732
515,Combo G,2020,admon gilder,117.4,51.1,55.24,12.1,2.87828,118.051,2.99587,2.0,1,2.94418,36.28322484268627
516,Combo G,2016,admon gilder,114.2,51.7,55.6,12.1,1.72271,112.579,1.78704,1.3514,4,2.61621,44.421558269955185
517,Combo G,2018,admon gilder,113.9,54.3,58.38,14.2,3.11969,115.923,1.86803,2.5667,2,3.84617,40.57438326630989
518,Scoring PG,2017,admon gilder,106.9,51.5,54.77,21.8,3.03147,113.031,2.46173,3.871,3,3.86318,42.69559315543539
537,Combo G,2017,adonis filer,97.5,43.3,50.45,18.7,1.31656,104.934,0.425699,2.1,1,1.66453,37.3982014057348
552,Pure PG,2022,adrian baldwin jr,97.6,48.5,52.25,32.8,2.11106,103.558,0.788989,5.5,3,4.71486,41.15956774246434
553,Scoring PG,2021,adrian baldwin jr,93.4,41.2,46.37,26.6,0.839229,93.398,-1.46057,4.3846,4,3.84461,40.8383831025737
554,Scoring PG,2011,adrian bowie,111.6,52.9,57.85,24.2,2.2446,112.294,2.37663,3.5455,1,3.05844,39.337847689112365
577,Scoring PG,2018,adrian hicks,98.2,47.5,52.46,27.5,1.4537,101.359,0.122584,4.2069,2,2.23064,38.92860980310507
592,Combo G,2017,adrian rich,91.4,47.9,50.44,12.8,-0.371803,83.8177,-4.53439,1.9667,3,1.2046,34.361752913232486
596,Combo G,2013,adrian rodgers,101.0,48.4,52.47,21.6,1.23624,100.625,-0.492881,2.4516,3,1.4304,39.44532245213759
634,Combo G,2022,ahamadou fofana,92.1,44.0,47.72,20.3,0.518283,90.126,-2.67507,3.1667,1,2.40603,29.502841054839102
635,Combo G,2021,ahamadou fofana,94.4,41.3,47.31,19.1,0.710849,92.8647,-2.61322,2.6923,2,1.66421,34.43696982053743
641,Combo G,2018,ahmaad rorie,111.4,48.4,53.0,20.0,3.43743,115.794,3.18585,3.6765,2,3.48308,40.375926671648266
642,Combo G,2019,ahmaad rorie,116.3,52.8,55.85,21.7,3.32562,114.756,2.2627,4.0571,1,2.90911,34.61453283556555
643,Combo G,2017,ahmaad rorie,115.7,52.2,56.39,20.8,3.67813,120.685,4.66856,3.129,3,2.2029,46.09519542899099
646,Scoring PG,2015,ahmad abdullah,98.1,46.6,49.94,21.8,0.348398,90.8108,-2.10605,2.5625,2,1.24491,33.186335604383515
647,Scoring PG,2016,ahmad abdullah,102.8,45.9,51.12,21.0,0.893231,95.3684,-1.07255,3.4839,1,1.22787,34.02278978710157
649,Pure PG,2018,ahmad caver,111.4,49.3,52.0,31.6,3.3104,113.675,3.01315,6.1562,2,4.49469,36.54526596458106
650,Scoring PG,2019,ahmad caver,105.6,44.9,48.77,33.4,3.48525,114.171,2.52509,5.5143,1,4.43273,32.28708771998298
651,Scoring PG,2017,ahmad caver,101.9,45.3,48.15,29.4,2.02414,104.363,1.56838,4.8387,3,3.84135,37.770538817072904
652,Pure PG,2019,ahmad clark,94.1,42.7,49.1,35.1,1.92641,105.618,-0.116634,4.2812,2,2.80487,36.784258184424175
653,Scoring PG,2020,ahmad clark,94.1,44.5,51.26,32.6,2.24981,105.441,0.523184,4.1875,1,2.95613,37.56994340931128
655,Combo G,2020,ahmad frost,77.9,36.4,38.37,19.1,-0.570311,77.8649,-4.13224,1.7188,1,1.26674,22.770538332456294
656,Combo G,2018,ahmad frost,90.0,46.1,47.64,15.9,-0.0599575,87.2796,-3.19369,2.375,3,0.831849,32.85601876047534
666,Scoring PG,2015,ahmad starks,97.1,43.4,45.66,19.3,1.15043,101.257,0.069816,2.2121,1,2.51001,27.661704399929132
667,Scoring PG,2012,ahmad starks,107.5,49.3,51.43,16.2,2.3453,107.713,1.50904,2.7059,3,2.63758,38.26285538350466
668,Scoring PG,2013,ahmad starks,107.0,50.0,52.46,15.1,2.1797,106.781,1.71093,2.3125,2,2.20908,37.062891290102165
669,Scoring PG,2011,ahmad starks,96.4,44.5,46.93,14.9,0.918405,98.2921,-0.518235,1.5333,4,1.46924,38.1739623353984
683,Scoring PG,2021,ahmed ali,106.0,53.0,59.94,26.6,3.91997,122.451,4.26423,3.1176,1,1.30011,45.9428056332258
684,Scoring PG,2019,ahmed ali,107.5,48.3,52.03,25.2,1.54572,108.483,0.0592131,2.875,2,1.34882,32.998536220931435
714,Scoring PG,2020,aidas kavaliauskas,83.6,44.8,53.27,20.5,-0.778694,76.0192,-5.07738,2.2593,1,2.11411,39.7734041665724
727,Combo G,2020,aj banks,90.5,53.7,56.73,16.3,-0.179494,83.1111,-3.51928,1.7273,1,2.19584,35.47122488887612
728,Combo G,2019,aj banks,96.7,55.9,59.87,14.2,0.0149956,87.6431,-2.20638,1.5312,2,1.85583,42.655653502033395
738,Combo G,2021,aj caldwell,103.1,52.7,51.94,13.7,0.368195,88.5631,-0.787758,2.5,2,2.84178,32.57340190904506
754,Scoring PG,2016,aj english,114.3,54.0,59.76,34.3,5.00845,128.133,6.54215,6.2143,1,3.15063,46.23484086013849
756,Scoring PG,2015,aj english,108.7,54.0,58.59,26.5,4.13672,119.356,4.62379,5.0588,2,2.71585,46.74665830460866
757,Combo G,2014,aj english,107.8,50.6,55.87,20.5,3.3367,114.699,2.23077,4.303,3,2.34775,45.49146425556761
760,Combo G,2019,aj green,92.8,48.0,51.12,19.8,1.9482,105.999,0.754141,2.2647,4,2.54895,43.252347189404176
761,Combo G,2022,aj green,110.4,52.0,58.54,14.2,4.59735,121.868,4.60776,2.4839,2,2.85976,49.35244367029836
762,Combo G,2020,aj green,106.7,50.7,55.76,17.0,4.36082,120.803,3.63013,2.9677,3,3.16673,47.05584919678557
771,Combo G,2018,aj harris,98.8,45.9,47.06,18.4,1.07564,99.136,-1.40799,2.9394,3,3.11253,30.954845600826115
772,Scoring PG,2019,aj harris,111.6,51.3,53.0,24.5,2.1551,111.76,1.75941,3.3939,2,2.60128,33.32116607947502
778,Pure PG,2019,aj hicks,93.1,39.7,46.49,33.7,1.23329,98.1191,-0.629345,5.7576,1,2.44526,33.83283716874058
780,Pure PG,2022,aj hoggard,101.0,45.5,48.56,46.1,1.948,113.197,1.92455,4.8333,3,2.16428,34.49995697964641
793,Scoring PG,2021,aj lawson,91.4,47.8,49.64,33.9,0.779062,92.4844,-2.09675,5.4783,1,1.09461,28.062276208405137
794,Scoring PG,2020,aj lawson,93.0,47.7,50.91,27.7,1.69427,101.436,-2.32207,4.2188,2,1.49158,31.427938686085866
804,Combo G,2017,aj merriweather,107.0,58.1,61.94,11.9,1.26456,103.305,0.105561,1.5143,1,2.78629,40.02952763190694
808,Combo G,2017,aj mosby,105.5,49.2,52.67,16.3,0.994042,96.8701,-0.424555,2.7188,2,2.34156,36.71536201885484
809,Scoring PG,2018,aj mosby,115.1,57.2,60.79,25.7,2.95199,113.609,2.89243,3.875,1,1.65171,40.024345277853435
818,Scoring PG,2021,aj plitzuweit,114.8,54.6,60.61,23.4,4.46931,122.512,4.70189,3.9091,3,2.48345,51.650921078827835
827,Pure PG,2012,aj rompza,108.0,47.7,49.24,27.5,1.99291,103.62,1.03871,4.4,1,3.579,28.73802600580268
828,Pure PG,2010,aj rompza,102.3,47.2,51.08,29.7,1.66372,101.053,0.376652,4.5667,3,3.06557,39.449903323212126
829,Scoring PG,2011,aj rompza,97.4,47.2,51.47,25.3,0.883189,96.5108,-0.613335,3.0333,2,2.47131,37.02190396408003
830,Scoring PG,2010,aj slaughter,112.4,50.6,56.45,24.9,4.1853,119.281,4.52084,4.3235,1,3.10833,43.00120233210444
831,Combo G,2010,aj smith,88.7,46.2,51.35,14.8,1.20037,96.4302,0.134026,1.8077,1,1.25278,39.23445208543863
843,Combo G,2017,aj turner,112.0,52.8,54.22,17.3,1.94779,105.954,1.52601,3.0,3,2.63446,38.79950605632108
844,Combo G,2019,aj turner,94.4,47.1,51.23,20.2,1.0241,97.5302,-1.34286,2.8125,2,3.32412,35.99661928907469
848,Scoring PG,2019,aj walker,98.9,49.1,52.13,19.1,1.05338,98.924,-1.79358,2.5,4,2.00031,39.30636804631464
849,Combo G,2020,aj walker,102.3,53.3,56.26,20.1,1.98692,104.205,0.345867,3.0312,3,1.91404,41.86619184800916
850,Combo G,2021,aj walker,104.2,55.1,57.75,19.2,3.12677,109.984,2.25715,2.6,2,2.00594,41.95814829948
851,Combo G,2022,aj walker,103.4,54.3,56.85,12.9,2.71518,108.872,1.17311,1.6296,1,2.34331,36.5537276856629
852,Scoring PG,2013,aj walton,94.8,43.3,46.58,22.6,1.03673,96.0,-1.31086,3.5833,1,3.23022,28.76331480512574
853,Scoring PG,2012,aj walton,84.8,33.8,41.17,22.8,-0.00493751,85.631,-3.3279,2.7568,2,2.49723,33.41674819271037
855,Pure PG,2011,aj walton,91.5,47.6,50.67,27.1,0.77419,93.0517,-1.07495,4.7241,3,3.94088,39.20991881054766
873,Combo G,2022,ajare sanni,102.1,42.7,48.41,20.4,1.70765,104.056,0.397174,2.9091,2,2.32622,36.74639228832515
874,Combo G,2021,ajare sanni,104.7,50.0,53.94,13.7,1.91205,108.092,1.89646,1.72,3,2.34948,43.46835002964928
875,Scoring PG,2022,ajay mitchell,112.5,55.7,59.9,21.3,2.66848,109.459,0.341225,3.7407,4,2.45075,46.32396807510007
888,Combo G,2011,akeem bennett,92.4,45.3,50.23,19.9,1.2695,97.4297,0.558282,2.7586,1,3.69142,37.721757383399996
889,Scoring PG,2010,akeem bennett,90.4,42.9,48.75,28.6,1.29824,96.2946,-0.297159,4.0345,2,3.2957,39.254292948170374
897,Combo G,2014,akeem richmond,114.7,56.8,59.95,9.7,3.64605,117.362,5.37442,1.5,1,2.04068,44.58651161640138
898,Combo G,2013,akeem richmond,115.6,59.6,61.71,11.5,2.40816,119.245,7.25803,1.1,2,1.33294,49.59927079305388
905,Scoring PG,2014,akeem williams,94.5,44.9,50.12,31.3,1.96536,105.887,1.66521,3.4444,1,2.0259,36.60198979140276
916,Scoring PG,2018,ako adams,98.1,47.7,52.97,23.4,1.34737,100.868,-0.813218,3.1935,3,1.81467,41.236981762653095
918,Combo G,2019,ako adams,102.2,53.5,57.73,19.6,1.58005,104.527,0.130224,2.625,2,1.46601,40.706247199945345
919,Scoring PG,2020,ako adams,111.5,53.5,57.85,17.9,2.54322,111.943,2.63811,2.3548,1,1.55799,39.835580650030394
941,Combo G,2021,al amir dawes,101.9,54.2,56.04,16.0,1.97989,107.711,2.26543,1.875,3,3.08536,43.327301104762924
942,Combo G,2020,al amir dawes,88.9,48.0,51.46,16.9,0.784132,92.9976,-1.73047,2.4516,4,3.35751,43.19325000530221
943,Combo G,2022,al amir dawes,107.2,54.8,57.76,14.8,2.5395,110.228,2.79534,2.2727,2,2.83435,42.95023232199502
944,Combo G,2020,al durham,108.3,52.6,59.15,18.1,2.47337,112.408,1.4362,2.5,2,2.93823,44.76207421644626
966,Combo G,2012,alan jones,104.1,48.6,50.13,6.2,1.6286,107.305,2.48909,0.6296,2,0.947662,36.35336017674031
980,Scoring PG,2020,alani moore ii,104.8,52.1,54.85,16.0,1.54823,99.4955,0.0781291,2.6129,1,3.34539,34.91460246479651
982,Combo G,2017,alani moore ii,114.5,56.1,59.25,12.5,1.75547,107.668,1.29081,1.75,4,1.98908,46.56410235851085
1007,Scoring PG,2014,albert thomas,82.9,39.7,43.04,19.1,-1.29631,73.7768,-4.24277,2.2692,1,1.10892,27.82639180276027
1008,Pure PG,2013,albert thomas,101.4,52.6,57.51,28.7,0.927534,96.9983,-2.18695,2.8929,2,0.964618,37.75499355903885
1037,Pure PG,2014,alec wintering,103.9,40.4,51.89,28.7,1.32619,102.469,-0.995882,4.5185,4,2.45647,49.768309230783316
1038,Pure PG,2017,alec wintering,95.8,45.5,51.77,40.3,3.0731,111.428,0.192528,5.6111,1,2.90242,34.408716617314425
1039,Pure PG,2015,alec wintering,114.7,49.4,57.83,36.1,3.70651,120.168,3.19909,5.6667,3,2.5684,49.0103205506295
1040,Pure PG,2016,alec wintering,108.9,49.9,57.11,30.6,3.83729,122.9,3.66684,4.7419,2,2.11372,45.3648407123144
1046,Scoring PG,2010,aleek pauline,83.4,42.6,47.74,20.5,-0.864626,78.1404,-3.42228,3.9167,2,2.0268,37.515875282548635
1047,Scoring PG,2011,aleek pauline,91.9,45.8,51.36,27.9,0.0803941,86.9115,-2.40569,5.3226,1,1.75554,35.550786582254936
1064,Scoring PG,2018,aleksa jugovic,112.3,56.6,60.97,22.0,2.2519,109.119,1.31004,3.087,1,2.24825,39.62615307298803
1065,Combo G,2017,aleksa jugovic,109.2,50.1,56.4,12.8,2.30251,106.635,1.62042,2.125,2,2.116,44.87309725733396
1066,Scoring PG,2016,aleksa jugovic,114.7,56.3,60.59,17.2,2.40371,109.18,2.00846,2.8276,3,1.71787,47.0605024641124
1073,Combo G,2015,aleksa nikolic,66.8,30.6,32.83,26.2,-1.7917,67.7586,-6.38922,3.4688,4,2.32509,27.685420030775774
1092,Pure PG,2012,alex abreu,110.5,55.2,60.82,29.1,2.46337,109.017,2.73059,4.7667,3,3.1063,50.40781180307735
1094,Pure PG,2013,alex abreu,108.3,50.9,55.96,37.0,2.67317,110.894,3.21895,5.9286,2,2.84168,43.32916671036605
1098,Combo G,2015,alex anderson,125.3,64.1,66.45,10.9,3.44967,115.572,3.52811,1.9412,2,1.78105,46.049438331430885
1099,Combo G,2016,alex anderson,110.4,49.7,53.55,12.5,1.89092,104.777,1.74458,2.0303,1,1.70198,36.76568213892227
1109,Scoring PG,2021,alex barcello,123.3,60.5,64.69,25.7,5.21619,132.343,6.71602,4.3333,1,3.81077,45.84017883460187
1110,Combo G,2020,alex barcello,118.3,61.2,63.18,9.0,2.67678,111.171,2.06402,1.6875,2,3.28897,42.426515485859696
1111,Combo G,2022,alex barcello,118.2,54.9,59.76,19.6,4.81918,128.354,5.7822,3.2571,1,3.26302,43.59193586902445
1121,Scoring PG,2020,alex caldwell,95.4,46.7,50.34,21.9,1.10182,95.5036,-0.46151,3.0645,3,1.45194,39.98459699401591
1124,Pure PG,2014,alex caruso,102.3,51.3,55.29,36.7,1.85564,106.588,0.990315,5.0,3,4.05352,41.59348385225625
1125,Pure PG,2016,alex caruso,111.6,56.6,59.75,31.1,2.42652,112.497,2.58753,5.0,1,4.04549,38.307812603808145
