,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,test_score
4916,Combo G,2011,brendan mckillop,116.4,54.8,55.82,15.0,2.08251,106.142,2.72734,2.2812,1,2.24357,35.02491425869454
4917,Scoring PG,2010,brendan mckillop,113.9,52.8,54.34,23.7,2.5573,107.795,2.09726,3.931,2,2.41715,36.07822668816206
4925,Scoring PG,2016,brendan westendorf,97.7,47.4,50.93,31.5,1.70204,102.697,1.25321,4.4,2,3.07302,37.63188474086632
4926,Scoring PG,2017,brendan westendorf,96.7,48.8,52.96,27.7,1.68264,102.626,0.505427,3.7,1,2.98009,35.75875630729551
4929,Combo G,2022,brenden tucker,100.8,50.5,52.65,10.3,1.51167,104.591,-0.00382367,1.2188,2,1.87342,34.88207454997874
4931,Combo G,2021,brenden tucker,94.0,43.1,50.07,10.0,1.07695,97.6239,-2.26079,1.2632,3,1.5172,41.11094493940554
4935,Pure PG,2021,brendon brooks,95.4,42.7,48.5,27.3,0.176635,87.5294,-2.72919,3.2353,1,1.11746,31.975734792393474
4958,Combo G,2015,brent arrington,104.3,45.5,51.77,16.4,1.8132,105.771,1.97918,2.2647,2,2.93723,42.65167570379077
4959,Combo G,2014,brent arrington,107.2,50.3,55.56,16.8,1.76565,106.673,0.487361,2.1875,2,2.79332,40.06828934982488
4960,Scoring PG,2016,brent arrington,95.3,38.8,43.77,20.8,0.885605,96.5765,-0.952796,3.2286,1,2.82064,29.517063386941544
4971,Pure PG,2012,brent jones,83.9,38.4,44.08,36.6,0.252374,88.9856,-3.77699,3.9333,3,2.17143,33.37177655085037
4972,Pure PG,2015,brent jones,101.5,45.1,51.26,33.8,2.11354,105.533,1.60298,5.2571,1,2.97446,37.689176514271736
4973,Pure PG,2014,brent jones,109.1,49.1,54.26,44.7,1.57355,105.463,0.237576,6.0667,2,2.46747,36.07096972725844
4974,Pure PG,2013,brent jones,84.5,39.6,42.13,38.6,0.162467,87.498,-2.72101,4.2333,3,1.41938,30.02078744628124
4975,Scoring PG,2017,brent wrapp,100.9,46.4,52.19,26.8,0.468775,93.4129,-1.31042,3.5882,2,3.08178,38.20111414977697
4976,Scoring PG,2016,brent wrapp,103.1,44.2,50.93,23.2,0.41248,92.0967,-1.6681,3.9,3,2.99928,41.41715511891109
4977,Pure PG,2018,brent wrapp,91.9,34.8,43.88,31.2,-0.460151,83.069,-4.01929,5.1034,1,2.63816,31.991087721314784
4978,Pure PG,2015,brent wrapp,105.4,46.3,54.85,34.2,0.745534,97.9692,-1.88511,3.3636,4,1.65461,45.94839449033376
4979,Combo G,2010,brenton butler,96.2,40.3,46.53,16.6,2.32718,105.284,1.45941,2.4286,1,1.94139,36.54543773353209
4980,Scoring PG,2011,brenton butler,99.4,43.9,49.06,21.2,2.24437,104.396,0.670424,3.3704,1,1.72648,34.65276448714178
4981,Combo G,2021,brenton mills,98.4,49.0,51.12,13.7,1.95541,103.173,0.716601,1.875,3,1.24215,39.23620325069899
4986,Combo G,2017,brenton scott,94.6,45.1,48.56,17.6,1.94082,105.817,2.16277,2.3871,2,3.20277,38.56692015109164
4987,Combo G,2015,brenton scott,99.9,54.3,57.6,14.0,1.62952,104.038,1.79248,1.6452,4,2.52696,50.006060449203915
4988,Combo G,2014,brenton williams,128.2,55.8,62.15,10.6,4.73077,133.356,6.78714,1.3529,1,2.63964,46.63939365923082
4989,Combo G,2013,brenton williams,119.8,54.6,60.04,15.7,3.04352,127.62,6.24567,1.3548,2,1.54449,47.45142730758607
5007,Pure PG,2013,brett comer,91.0,42.4,45.78,44.5,1.06984,96.374,-0.702499,6.6286,3,2.73083,34.535297632612526
5008,Pure PG,2014,brett comer,100.8,49.5,52.01,34.1,1.78469,105.01,0.683415,5.1212,2,2.92988,34.52139069691016
5009,Pure PG,2015,brett comer,109.9,48.3,51.79,45.8,2.90175,113.452,3.44097,7.1515,1,2.93758,33.88183486858489
5010,Pure PG,2012,brett comer,90.5,45.1,49.94,37.7,1.02466,96.1869,-1.61516,5.6129,4,1.94789,41.40954453820393
5015,Combo G,2017,brett frantz,92.6,42.5,47.19,9.5,-0.40331,82.8842,-3.8282,1.3939,1,1.02601,30.462282243995315
5017,Combo G,2010,brett harvey,106.1,45.1,52.97,16.0,2.38734,108.988,1.91317,2.08,1,1.95437,41.49164003952047
5027,Combo G,2012,brett olson,108.2,65.1,66.8,12.3,1.2391,96.8376,0.810463,2.0,4,2.57504,53.28286073106349
5028,Combo G,2013,brett olson,115.0,62.2,64.84,15.2,2.93904,110.346,3.33281,2.375,3,3.30942,50.6831622304456
5029,Combo G,2015,brett olson,114.9,59.9,63.46,20.7,3.51627,116.384,3.91237,3.0,1,2.14261,43.92318537493083
5030,Combo G,2014,brett olson,117.3,58.1,63.46,21.4,3.92416,119.439,3.12356,3.4333,2,2.67165,46.75621076547068
5043,Combo G,2020,brevin galloway,109.0,55.0,55.97,12.6,2.34272,107.771,2.53514,1.7742,2,2.91643,38.89329322076778
5051,Scoring PG,2011,brian barbour,119.5,49.8,59.46,17.1,3.26266,113.403,1.49204,3.037,3,2.44125,50.89971846936913
5053,Pure PG,2013,brian barbour,111.7,41.9,51.94,29.4,3.40659,114.815,2.99653,4.12,1,2.70347,42.70181154503488
5054,Scoring PG,2012,brian barbour,108.8,44.6,53.63,28.6,4.05104,117.566,3.5854,4.3929,2,2.79069,47.10553756821807
5055,Pure PG,2018,brian beard jr,96.9,44.7,49.55,33.6,2.26151,106.038,0.669761,5.7419,2,3.80184,36.75304543260929
5056,Pure PG,2019,brian beard jr,96.4,43.0,49.32,33.2,2.3929,108.397,1.57841,5.9118,1,2.84415,36.860373130313775
5064,Combo G,2015,brian bernardi,117.9,57.6,60.16,9.1,2.15055,105.641,1.93233,1.7059,3,2.45008,45.3108258297142
5065,Combo G,2016,brian bernardi,110.1,52.8,56.18,7.5,1.88923,103.207,0.468344,1.4848,2,2.43972,39.50332655928566
5066,Combo G,2017,brian bernardi,107.9,46.4,51.37,9.7,1.78178,102.99,0.582259,1.8387,1,1.49419,35.51301825115918
5070,Combo G,2014,brian brown,115.7,53.0,54.72,9.1,0.976807,99.4905,-0.7846,1.5333,2,0.971014,33.03989292804928
5071,Combo G,2015,brian brown,103.2,54.1,55.42,12.2,0.891067,96.7728,0.132032,1.8214,1,1.4657,34.46247213817433
5072,Combo G,2013,brian brown,109.8,51.4,53.0,6.0,0.998781,96.1111,0.0844281,0.8929,3,0.531593,38.84005654231693
5087,Combo G,2014,brian darden,102.8,46.0,51.59,10.7,0.945787,100.246,-0.227934,1.1667,3,2.05589,41.99074310222806
5088,Combo G,2015,brian darden,107.1,48.9,55.17,9.0,1.33367,103.58,0.756208,0.9714,2,1.60022,43.02554840010566
5089,Combo G,2016,brian darden,106.1,46.3,51.17,11.9,1.58709,102.68,0.115539,1.871,1,1.75592,34.30885130952658
5094,Combo G,2010,brian fisher,86.8,42.2,46.68,19.7,0.251434,88.1449,-1.9637,2.4167,1,1.68053,32.505297220572935
5103,Combo G,2011,brian green,126.9,61.7,63.32,14.3,3.11015,121.91,5.26653,1.697,1,2.93414,40.35234973798007
5111,Combo G,2014,brian holmes,105.7,49.8,54.28,14.8,0.943281,97.1976,-1.26169,2.2857,1,1.69775,34.31012541004653
5122,Combo G,2011,brian morris,99.7,45.4,50.94,20.7,0.74371,93.7309,-0.576179,3.1333,1,1.01014,36.25329466038747
5125,Combo G,2013,brian neller,103.3,53.0,52.96,7.1,1.32818,98.3915,1.89147,0.9333,1,1.50281,34.61707826114087
5126,Combo G,2012,brian neller,103.1,48.0,49.47,8.0,1.2879,97.9548,1.423,1.0667,2,0.89225,36.35421160945893
5134,Scoring PG,2019,brian parker,96.7,50.7,53.15,30.9,2.05308,108.398,0.448598,3.4839,1,1.79597,31.489231261498915
5136,Combo G,2016,brian parker,104.4,53.0,57.8,22.2,2.74626,113.492,1.90636,2.8966,4,1.36201,48.74870431843909
5147,Combo G,2015,brian richardson,99.2,46.3,50.36,14.7,0.547903,93.8108,-1.34424,1.9375,1,1.63173,32.604294224757226
5152,Scoring PG,2010,brian rudolph,96.0,42.0,50.76,28.4,0.921316,95.5362,-1.42573,3.6897,2,1.95326,41.26882064722068
5153,Scoring PG,2011,brian rudolph,94.3,38.6,44.16,28.8,0.458173,90.6813,-1.82524,4.4,1,1.96233,29.875972922615553
5154,Combo G,2011,brian stafford,110.9,61.3,66.13,17.2,2.8196,110.848,2.20352,2.1667,2,2.52272,49.33758717830618
5155,Combo G,2012,brian stafford,122.3,62.6,65.88,14.3,4.14556,121.916,4.9641,2.0968,1,2.64401,45.38342269096435
5156,Combo G,2010,brian stafford,107.8,59.1,62.56,15.8,2.52304,107.798,2.30354,2.1875,3,1.8869,49.691745744610756
5157,Combo G,2017,brian starr,98.2,46.5,48.88,13.7,0.123441,89.2585,-2.33214,1.8182,2,2.16695,31.745381878849294
5158,Combo G,2018,brian starr,101.4,48.6,54.55,14.2,0.531437,92.7699,-1.77156,2.6,1,2.3642,37.44734356985182
5161,Combo G,2016,brian sullivan,111.3,51.6,54.6,16.5,3.08829,111.988,2.81377,3.4138,1,2.69595,36.81335544557491
5162,Scoring PG,2015,brian sullivan,114.3,52.7,55.18,19.7,3.40645,116.613,3.35706,3.875,2,2.61568,38.73959507016352
5163,Combo G,2014,brian sullivan,111.9,51.4,54.02,13.0,2.36571,110.444,2.5806,2.125,3,1.8744,41.63325814730661
5164,Combo G,2012,brian sullivan,104.4,58.1,59.0,11.2,1.89326,105.045,1.17058,1.2759,4,1.93917,45.80254666927995
5171,Combo G,2020,brian tolefree,82.8,44.3,50.61,8.8,-0.766795,76.7114,-4.64176,1.3125,3,1.63302,43.12350750132241
5178,Scoring PG,2019,brian warren,102.8,45.8,50.26,30.6,2.75643,114.231,1.87543,3.6061,2,2.91004,35.80652928246844
5179,Scoring PG,2020,brian warren,94.9,42.6,48.35,25.6,1.70355,103.03,-0.712307,3.6562,1,2.54167,32.50661942052881
5181,Scoring PG,2020,brian white,103.8,54.3,59.91,25.0,1.07045,98.9466,-0.16907,3.0741,3,1.44157,47.24253615939946
5183,Pure PG,2022,brian white,98.8,53.6,55.02,25.8,0.538605,91.931,-1.84584,3.5161,2,0.855644,34.208884180679
5188,Combo G,2012,brian williams,100.5,46.3,47.98,21.4,1.69157,99.4311,1.62092,3.1667,3,2.90931,38.27292235922729
5190,Combo G,2014,brian williams,95.1,40.4,43.98,24.3,0.633993,93.8882,-0.824665,3.4286,1,1.67324,28.402491867560695
5191,Scoring PG,2013,brian williams,98.5,47.8,49.03,27.6,1.91426,100.618,1.27019,4.1154,2,2.2598,34.216995809918906
5202,Scoring PG,2013,briante weber,109.9,45.0,51.09,21.5,1.53081,106.539,1.151,2.7222,3,3.21795,41.437851127692255
5203,Scoring PG,2014,briante weber,109.1,46.9,53.22,25.1,2.24614,111.039,0.927792,3.8857,2,4.67659,38.7752858062091
5219,Scoring PG,2010,brigham waginger,107.7,53.5,53.78,22.6,1.62267,98.998,0.805395,4.4839,1,3.26937,31.67442378408557
5233,Combo G,2014,brison white,105.5,48.9,51.39,14.6,1.56023,105.831,0.804078,2.1034,1,1.69152,31.519587411602025
5259,Pure PG,2011,brock young,95.4,39.9,48.37,37.9,1.57306,103.176,0.696153,4.4074,1,2.30005,37.625678821663925
5260,Pure PG,2010,brock young,96.3,42.4,51.3,34.8,2.9766,110.391,0.925273,5.25,2,2.1522,42.970495513941984
5264,Scoring PG,2018,brocke stepteau,114.3,60.6,64.4,19.3,1.88304,106.857,0.288484,2.6786,2,2.37899,42.67250685164463
5265,Scoring PG,2017,brocke stepteau,97.9,42.0,52.21,21.8,0.399658,92.2832,-2.82784,3.0,3,1.74934,45.4455414348414
5266,Scoring PG,2019,brocke stepteau,116.8,55.1,62.1,24.0,2.51238,113.997,1.11838,3.3226,1,1.92589,41.289594824108846
5267,Scoring PG,2011,brockeith pane,103.7,47.1,55.6,24.7,2.45599,111.271,0.908485,3.3333,2,3.50861,44.32083430131012
5268,Scoring PG,2012,brockeith pane,96.0,43.9,49.1,28.3,1.92981,102.961,-0.341083,4.2778,1,2.58089,32.87769203879474
5269,Scoring PG,2010,broderick gilchrest,105.2,54.8,57.4,20.8,3.06651,110.829,2.38103,3.36,2,1.40728,41.41133000040924
5270,Combo G,2011,broderick gilchrest,95.8,46.3,49.4,15.6,1.65137,99.9033,0.162758,2.1481,1,1.54578,33.07447750788895
5274,Combo G,2017,broderick robinson,99.7,50.8,53.29,12.8,0.168884,89.8789,-1.07588,1.7429,2,1.84312,37.32750563386727
5284,Combo G,2017,bronson koenig,116.1,53.8,56.5,13.2,3.81279,123.252,4.69104,2.0278,1,3.59939,37.83013537625532
5285,Combo G,2016,bronson koenig,109.6,50.0,53.24,15.1,3.17244,114.293,2.2001,2.4,2,3.61003,37.55904562017756
5286,Scoring PG,2015,bronson koenig,120.7,52.5,55.99,16.1,3.54422,123.06,4.46471,2.45,3,3.01516,43.1296604249354
5303,Combo G,2013,bruce ellington,84.6,38.4,42.33,17.9,0.605819,90.7229,-2.14242,2.6957,2,2.6586,31.451041160959157
5304,Scoring PG,2011,bruce ellington,88.6,39.8,41.91,22.8,1.3392,98.946,-0.758925,3.2333,4,3.0091,34.53459313011357
5305,Scoring PG,2012,bruce ellington,95.0,42.7,44.74,25.9,2.17958,107.442,1.55089,3.0833,3,2.28213,34.51715084782762
5310,Scoring PG,2013,bruce massey,102.3,44.1,50.11,26.7,1.37926,102.391,1.50174,3.2647,1,3.0779,37.16542294500328
5311,Scoring PG,2012,bruce massey,101.0,48.4,51.43,25.9,0.9708,95.9343,0.155621,3.9697,2,3.31877,36.66099606313585
5330,Combo G,2018,bryan alberts,105.8,49.4,50.52,6.9,1.55881,104.067,0.977552,1.0,2,1.56136,33.63799148569678
5337,Combo G,2011,bryan bynes,99.7,42.4,47.32,12.0,0.526535,92.4434,-2.35388,1.4516,3,2.08348,36.235192204780105
5342,Combo G,2010,bryan cohen,92.1,43.4,48.57,19.3,0.387945,89.5675,-2.31075,2.7097,3,1.79759,39.14457071489946
5344,Combo G,2011,bryan dougher,96.1,44.9,48.96,15.6,1.20024,97.092,0.223631,2.0323,2,2.96011,37.79291547361737
5345,Combo G,2010,bryan dougher,117.7,55.7,58.29,12.6,3.23066,114.965,4.70565,1.8065,3,2.28045,47.16287880166648
5346,Combo G,2012,bryan dougher,110.6,46.9,50.04,11.9,2.65611,111.374,2.85352,1.5806,1,2.44831,33.92707088204596
5353,Scoring PG,2022,bryan greenlee,104.3,51.5,54.1,19.6,1.69938,101.772,-0.081508,3.2424,3,2.43171,39.26985386404391
5358,Combo G,2012,bryan hammond,88.0,42.0,44.13,21.1,-0.0675129,85.0277,-1.51248,2.8571,3,0.298373,35.134536264520385
5360,Combo G,2022,bryan hart,97.8,44.9,49.24,8.5,0.761702,92.8396,-1.07952,1.2692,1,2.11462,33.96673235815689
5373,Combo G,2010,bryan sherrer,109.4,49.5,57.5,12.7,1.78196,102.198,-0.811834,1.8846,1,1.77547,40.80672317358743
5374,Combo G,2015,bryan smith,98.5,44.1,48.37,18.0,0.861681,97.9846,-0.862104,2.0645,1,1.93368,31.117282136502915
5377,Combo G,2012,bryan smith,88.5,40.0,41.91,12.8,0.328934,88.8822,-2.04932,1.7857,4,2.21608,34.92176649933217
5380,Combo G,2021,bryan trimble jr,115.4,57.5,58.88,2.6,2.45205,109.872,2.78531,0.4348,2,2.29851,41.21045861723323
5384,Pure PG,2019,bryan urrutia,85.6,42.4,46.75,38.3,-0.403825,83.8851,-4.45027,5.4333,2,1.7074,30.02945255541774
5386,Combo G,2013,bryant allen,99.5,46.0,47.63,12.2,1.13453,96.8575,-0.0700829,1.875,2,2.47708,32.739963410534465
5389,Scoring PG,2017,bryant crawford,116.3,50.8,57.09,32.2,4.65231,129.969,5.95363,5.5152,3,3.01281,48.96129656506763
5390,Scoring PG,2016,bryant crawford,94.8,47.4,50.68,28.5,1.87193,105.062,1.03512,4.4333,4,3.03484,43.12393553636295
