,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
348,bradley beal,bealbr01,2018,6513,3193,2.399596997,0.101514987,2.501111984,1.447161969,1.914229887,3.361391856,2.320585402,0.487220545,2.807805947,9.068290745,9.351198944,-0.282908199,2.713719821,0.414111438,3.127831259,0.247760559,1.0,0.594173787733359,0.6061980483482822,0.45925220710348735,56.5
349,bradley beal,bealbr01,2019,6485,3028,4.020054457,-0.402697351,3.617357107,4.209930448,-3.102561612,1.107368835,4.314753213,-0.940657602,3.374095611,9.580186206,9.580186206,0.0,4.347520966,-0.622754217,3.724766749,1.283572698,1.0,0.6289963284552822,0.637851816093213,0.47847192853625375,59.47
350,bradley beal,bealbr01,2020,4433,2053,5.214251295,-2.909489957,2.304761338,4.334498775,-6.380189776,-2.045691001,5.38658058,-3.746706287,1.639874293,4.65647246,4.65647246,0.0,5.366934167,-3.679494695,1.687439472,1.295470035,1.0,0.5101477874392045,0.5409144317331839,0.2936052637138381,46.75
351,bradley beal,bealbr01,2021,5128,2342,4.634488115,-0.99730101,3.637187105,5.9104993,-5.133109344,0.777389956,5.245688458,-1.905976032,3.339712426,7.381822409,6.683198926,0.698623483,4.759260116,-1.928038709,2.831221407,1.146488601,1.0,0.6922450782264095,0.7631158881929959,0.4751181069309914,66.45
352,bradley beal,bealbr01,2022,2979,1439,1.655043081,-0.23284485,1.422198231,-1.803144923,3.705917655,1.902772732,1.065695723,0.602301211,1.667996934,3.264921883,3.264921883,0.0,1.27911118,0.151084599,1.430195779,0.657518082,1.0,0.5446554778335188,0.5967350364354806,0.2654936338816335,49.44
356,malik beasley,beaslma01,2020,2604,1209,-0.791189067,-1.153053387,-1.944242454,0.878905039,-1.844967703,-0.966062663,-0.491727821,-1.360738208,-1.852466029,0.569906807,0.569906807,0.0,-0.104417672,-1.343617973,-1.448035645,0.110310705,1.0,0.32723822388768986,0.345703859359317,0.14017031566031113,28.74
357,malik beasley,beaslma01,2021,2582,1214,0.868200511,-2.53366861,-1.665468099,-0.433353421,-1.321962447,-1.755315869,0.709071229,-2.412757395,-1.703686167,0.647867725,0.647867725,0.0,0.747606417,-1.729499975,-0.981893558,-0.031328379,1.0,0.3544308637603163,0.35402017430599214,0.14309745067275215,30.14
358,malik beasley,beaslma01,2022,4517,2095,0.923707904,-2.584682751,-1.660974847,-1.380454357,0.783891583,-0.596562773,0.466771665,-2.031229155,-1.56445749,1.270844473,1.380227531,-0.109383058,0.678559855,-2.499728112,-1.821168257,0.241995747,1.0,0.30547133987138253,0.36180260878318576,0.16648785060374655,29.18
453,eric bledsoe,bledser01,2014,2880,1416,2.449994667,1.559683642,4.00967831,-2.551535996,4.248617534,1.697081538,1.505533513,2.20863189,3.714165403,4.69933706,4.69933706,0.0,1.141160407,2.286048927,3.427209334,0.602698247,1.0,0.6116381626659644,0.6568606218287789,0.29521466589473966,54.95
454,eric bledsoe,bledser01,2015,5710,2800,1.682818129,0.786930923,2.469749052,1.338989922,2.322159472,3.661149394,1.725593553,1.16173159,2.887325143,8.142139031,8.142139031,0.0,1.766942918,2.004757495,3.771700413,1.058364496,1.0,0.6317342280327878,0.6106429152096481,0.4244787439577393,57.2
455,eric bledsoe,bledser01,2016,2223,1059,2.363161887,2.041555952,4.404717839,0.843031466,0.854579933,1.6976114,2.287222334,1.945745581,4.232967915,3.820122751,3.820122751,0.0,1.557100729,2.206365408,3.763466137,1.222695214,1.0,0.6312538772811085,0.6858600107710687,0.26220352321793,55.95
456,eric bledsoe,bledser01,2017,4604,2176,3.373122892,-2.609503789,0.763619103,1.325073131,-0.976538382,0.348534749,3.215428645,-2.385989094,0.829439551,3.997104898,3.997104898,0.0,2.542698065,-1.200995322,1.341702743,0.573364838,1.0,0.48997905643501,0.49561374071493686,0.26884852756563005,43.68
457,eric bledsoe,bledser01,2018,5196,2547,2.336185361,2.047938032,4.384123392,2.990755164,0.239361371,3.230116535,2.607641284,1.820971572,4.428612856,9.498613612,8.666610752,0.83200286,3.151801024,2.064886644,5.216687668,0.804809964,1.0,0.7160283073308666,0.6967959326438803,0.4754091888702965,64.87
458,eric bledsoe,bledser01,2019,5852,2695,2.788786878,2.602301898,5.391088777,2.963503463,1.142891347,4.10639481,2.939216053,2.384481652,5.323697705,11.21312726,9.811466617,1.401660639,2.996092189,2.365967917,5.362060106,0.708518298,1.0,0.7245086837315062,0.7468282919176183,0.5397826346571819,68.67
459,eric bledsoe,bledser01,2020,4272,1913,1.280025583,1.41291811,2.692943693,1.142255614,0.931404044,2.073659658,1.299260017,1.311891359,2.611151375,5.334553546,4.416973339,0.917580207,0.852515268,1.119440757,1.971956025,1.281570526,1.0,0.5267452077951356,0.5952056913554009,0.3190646212871372,50.05
460,eric bledsoe,bledser01,2021,4471,2111,-0.709390076,-1.185442936,-1.894833012,0.927891839,-3.839917677,-2.912025839,-0.428698331,-1.79519079,-2.223889122,0.569102093,0.569102093,0.0,-0.298968309,-1.526290151,-1.82525846,0.439043565,1.0,0.3052327357627067,0.32494250511195105,0.1401401017199827,27.14
461,eric bledsoe,bledser01,2022,2830,1361,-1.886695056,2.000671907,0.113976851,-3.055082207,1.685533561,-1.369548646,-2.223354894,2.034542558,-0.188812336,1.785719487,1.785719487,0.0,-1.714817418,1.990534904,0.275717486,0.409154037,1.0,0.4277942548229425,0.4386967408366988,0.18581944288323293,37.14
509,devin booker,bookede01,2018,4028,1865,2.616364645,-3.415527031,-0.799162386,0.697036371,-1.318145413,-0.621109042,2.522065089,-3.135958545,-0.613893457,2.073368145,2.073368145,0.0,2.158316347,-2.957577155,-0.799260808,1.991861171,1.0,0.36508483974360356,0.41493607569962715,0.19661955247293117,34.17
510,devin booker,bookede01,2019,4772,2242,3.290666922,-2.644805557,0.645861365,3.061182196,-3.774747794,-0.713565598,3.582046596,-2.997282622,0.584763974,3.865201213,3.865201213,0.0,3.075762574,-2.860810965,0.214951609,1.353761164,1.0,0.42424944594194286,0.4819371642566829,0.2638960474699814,40.58
511,devin booker,bookede01,2020,5357,2512,3.865049603,-2.616631698,1.248417905,7.248879284,-3.373194438,3.875684846,4.79789968,-2.927840279,1.870059401,5.991121581,5.991121581,0.0,4.348798513,-2.561869851,1.786928662,1.206210348,1.0,0.5159515408232865,0.553781037659747,0.3437162458780394,48.71
512,devin booker,bookede01,2021,6444,3159,2.696165241,-0.411207979,2.284957261,5.22035012,-0.48511605,4.73523407,3.233477434,-0.488562258,2.744915176,9.051053932,5.255858686,3.795195245,3.533305627,-0.427983454,3.105322173,0.608637696,1.0,0.5928607085531477,0.6026826568709381,0.45860503054208257,56.3
513,devin booker,bookede01,2022,5659,2711,4.060074135,0.353134572,4.413208707,3.621238265,-1.3207165,2.300521764,4.1251606,-0.019035263,4.106125337,9.531978641,9.068928828,0.463049812,3.934825138,0.540527668,4.475352806,1.031086001,1.0,0.6727821545169732,0.6787699193224276,0.4766619184055877,62.6
514,trevor booker,booketr01,2014,3317,1699,-0.119060938,-1.591787385,-1.710848323,1.922493105,-6.530009872,-4.607516767,0.31168118,-2.755943059,-2.444261879,0.268132946,0.198525394,0.069607552,0.017349446,-2.609258256,-2.59190881,-0.940825876,1.0,0.2605097908556252,0.31262437799284465,0.12883985859241698,24.71
515,trevor booker,booketr01,2015,3015,1564,-0.322173334,1.009756418,0.687583083,0.409944339,0.158093639,0.568037978,-0.183210579,0.874997517,0.691786938,2.725141242,2.725141242,0.0,-0.120049622,0.538973842,0.418924221,-0.741709514,1.0,0.5233779525819968,0.5855032837650942,0.26530937452431813,48.22
516,trevor booker,booketr01,2016,3203,1632,-0.673131977,1.132442838,0.459310861,-1.716291282,3.27839995,1.562108668,-0.912939581,1.60947518,0.696535599,2.854236456,2.854236456,0.0,-1.265731608,1.575357139,0.309625531,-0.528052508,1.0,0.47274952799289,0.537003321787061,0.2485319959784203,44.08
517,trevor booker,booketr01,2017,3739,1754,-1.761641503,1.226295654,-0.535345849,-2.64121451,0.375805145,-2.265409365,-1.996946455,1.154952732,-0.841993723,1.708639976,1.708639976,0.0,-1.957374281,0.429660413,-1.527713867,0.067944965,1.0,0.32259015357401927,0.4021860057239178,0.18292540134064955,31.75
518,trevor booker,booketr01,2018,2570,1222,-0.570972924,-1.299960476,-1.8709334,-0.322735043,-0.16879616,-0.491531203,-0.547100808,-1.175193131,-1.722293939,0.624769023,0.678215514,-0.053446491,-0.845399932,-1.265510784,-2.110910716,-0.323160331,1.0,0.2885690635845468,0.35298005980173264,0.14223018254532782,27.61
534,avery bradley,bradlav01,2014,3695,1855,-1.355111211,0.366529376,-0.988581835,0.779924513,2.81985008,3.599774593,-0.927011853,0.923869525,-0.003142328,2.609026324,2.609026324,0.0,-0.672180353,0.949178132,0.276997779,0.344691433,1.0,0.42786894137764625,0.44907509609206053,0.216731473300381,38.3
535,avery bradley,bradlav01,2015,5230,2561,-1.504851759,-1.165156918,-2.670008677,-1.686870674,1.25930477,-0.427565904,-1.620150567,-0.736556857,-2.356707424,0.534511248,0.241094866,0.293416381,-0.912186312,-0.153916828,-1.06610314,1.022348084,1.0,0.349518454216077,0.31751838994430415,0.13884134747097013,28.48
536,avery bradley,bradlav01,2016,5330,2569,0.225698571,-0.122477137,0.103221433,5.233904078,-2.159017503,3.074886575,1.280066123,-0.579495103,0.70057102,4.55025849,4.425867809,0.124390681,1.477949503,0.303707916,1.781657419,0.527789085,1.0,0.5156440401350251,0.48841040502081334,0.2896173343978011,44.89
537,avery bradley,bradlav01,2017,5015,2480,-0.301092932,0.156234866,-0.144858066,0.422193388,-2.614851826,-2.192658439,-0.193555839,-0.400217775,-0.593773614,2.692490511,3.054218499,-0.361727988,0.39552952,-0.189783588,0.205745933,0.197101479,1.0,0.42371242806856624,0.4160607101011946,0.2198652350661497,36.99
538,avery bradley,bradlav01,2018,2918,1433,-2.531864916,0.502051127,-2.029813788,-1.574864356,-0.655239283,-2.230103639,-2.47231324,0.279783675,-2.192529565,0.412716422,0.412716422,0.0,-1.705833164,0.555837381,-1.149995783,0.732534197,1.0,0.344624533472418,0.32669540331399544,0.13426841646060458,28.53
539,avery bradley,bradlav01,2019,4013,1905,-2.51302056,0.805074207,-1.707946353,-1.903206883,-0.040131579,-1.943338462,-2.552819263,0.684727527,-1.868091736,0.860110834,0.860110834,0.0,-2.951932586,0.629651713,-2.322280873,-0.041474624,1.0,0.27623867609237107,0.34483043268093716,0.15106636960599562,27.07
540,avery bradley,bradlav01,2020,2547,1186,-1.86369594,0.247295734,-1.616400207,0.494570329,2.685459837,3.180030166,-1.514310946,0.714423212,-0.799887734,1.18394564,1.18394564,0.0,-1.360575183,1.449922509,0.089347326,0.340763182,1.0,0.41692225509320396,0.4045395948518956,0.16322513098550695,34.89
541,avery bradley,bradlav01,2021,1284,602,-3.865017095,-1.957887251,-5.822904347,-1.684148669,-1.713925024,-3.398073693,-3.621544097,-2.005913977,-5.627458074,-0.887558884,-0.887558884,0.0,-3.545072324,-1.806946684,-5.352019008,0.451850663,1.0,0.09949733410447681,0.13469396631738562,0.0854480398969899,10.92
542,avery bradley,bradlav01,2022,2958,1406,-2.597720448,-1.362437907,-3.960158356,-2.965726692,0.747358035,-2.218368658,-2.816716114,-0.97931697,-3.796033084,-0.748355186,-0.748355186,0.0,-3.02515478,-0.747569895,-3.772724674,-0.267537227,1.0,0.19162628635963191,0.23706472277131618,0.09067460762772223,18.34
547,tony bradley,bradlto01,2022,1184,557,-3.193761795,3.126733661,-0.067028134,1.325676055,4.431185883,5.756861938,-2.437017194,3.627789268,1.190772074,1.097633544,0.948746624,0.14888692,-2.67391135,1.163973173,-1.509938176,-0.380866569,1.0,0.32362710770738434,0.5158110646091124,0.15998444110293308,35.48
566,mikal bridges,bridgmi01,2021,6236,3055,1.122357037,1.441264141,2.563621179,2.618661146,0.828405709,3.447066855,1.479589632,1.368129479,2.847719112,8.749575128,6.91598118,1.833593948,1.488093884,1.52396288,3.012056764,-0.316669574,1.0,0.7049040271853918,0.7301148788154034,0.5367427820865045,67.23
