,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score
33187,Wing G,2021,nate robinson,96.8,45.4,50.39,18,0.612672,93.5646,103.382,-1.09212,0.1667,7.5,0.20004801,0.4516,-1.64586,45.20255863539445
33783,Wing G,2018,nickeil alexander walker,105.3,55.4,57.53,66,1.94488,110.068,97.6823,2.70234,1.4848,10.6667,0.94225158,0.5922,4.17913,28.18763326226013
33887,Wing G,2013,nik stauskas,121.9,59.6,63.05,58,3.955,122.565,95.9965,5.31687,1.3684,11.1316,1.18179463,0.6667,6.32081,21.080312722103773
34138,Wing G,2015,norman powell,104.9,49.7,53.99,175,3.40922,116.026,94.5606,2.76967,2.0833,16.4167,0.93749446,0.6083,5.46561,40.32693674484719
34139,Wing G,2013,norman powell,96.1,50.8,52.74,52,0.599056,93.1733,96.3437,-0.890556,1.0571,6.0571,0.97365757,0.6897,0.582363,40.32693674484719
34140,Wing G,2014,norman powell,119.5,56.8,61.08,133,3.08126,123.054,96.2664,3.12089,1.7027,11.4054,1.65793583,0.726,5.58536,40.32693674484719
34141,Wing G,2012,norman powell,96.8,45.6,46.58,32,0.50024,93.8512,97.1725,-0.34388,1.1562,4.5312,1.60851424,0.5135,0.551865,40.32693674484719
34693,Wing G,2013,pat connaughton,118.6,56.3,57.88,51,3.12815,114.144,97.364,3.7499,2.1429,8.8571,2.41944227,0.7143,5.2687,50.85998578535893
34694,Wing G,2014,pat connaughton,123.8,56.3,58.9,79,4.60474,124.691,101.654,6.18144,2.9688,13.7812,2.71420754,0.6389,7.4525,50.85998578535893
34695,Wing G,2012,pat connaughton,110.0,52.5,54.67,44,1.76785,107.136,94.7319,2.39116,0.8824,7.0294,1.25003536,0.6852,3.47187,50.85998578535893
35309,Wing G,2017,pj dozier,96.2,44.5,46.62,146,2.26481,110.859,85.1904,2.13985,2.8056,13.9167,1.29487242,0.6696,6.06301,
35310,Wing G,2016,pj dozier,78.9,40.3,42.35,78,-0.043858,87.2479,93.2253,-4.61277,2.0909,6.7576,0.78407771,0.5286,-3.47813,
35317,Wing G,2013,pj hairston,119.8,55.1,58.47,69,4.05969,134.116,92.4929,9.97979,1.2727,14.697,1.10525399,0.5932,11.7145,
36285,Wing G,2013,reggie bullock,126.5,59.8,61.7,80,4.78008,128.974,92.1141,8.0144,2.7941,13.8529,2.20929859,0.68,10.4947,43.38308457711444
36287,Wing G,2011,reggie bullock,103.4,45.3,46.13,33,1.09602,108.017,88.1859,2.75804,0.5926,6.1481,1.23073725,0.4545,5.40431,43.38308457711444
36759,Wing G,2019,rj barrett,108.0,50.6,53.19,246,5.37716,131.547,89.0179,5.86672,4.3158,22.6316,1.33335401,0.6412,7.17656,37.100213219616215
37210,Wing G,2010,rodney mcgruder,126.0,59.1,61.03,28,1.46629,120.59,90.7629,6.1391,0.5152,3.8788,1.13355342,0.7391,8.19751,29.22530206112296
37211,Wing G,2011,rodney mcgruder,117.8,55.1,56.97,58,3.22425,116.531,93.1356,4.94318,1.5758,10.9394,1.10644564,0.6111,6.37884,29.22530206112296
37212,Wing G,2012,rodney mcgruder,118.6,52.5,56.42,138,4.5351,125.903,91.7663,6.48142,1.3939,15.8485,0.91994457,0.7065,8.07281,29.22530206112296
37213,Wing G,2013,rodney mcgruder,110.9,49.7,52.68,150,4.15129,120.584,94.0363,6.02826,2.0294,15.7647,1.18963607,0.5983,6.86423,29.22530206112296
37541,Wing G,2015,royce o'neale,123.1,55.9,59.72,59,4.17945,125.155,91.7623,5.92689,3.4242,10.0909,2.05447894,0.6023,9.14124,64.42075337597727
