,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score
12901,Wing G,2016,donovan mitchell,113.7,48.9,52.75,66,1.99667,118.103,86.8733,2.00365,1.6774,7.3871,1.73338843,0.717,5.71414,69.35323383084577
12975,Wing G,2017,donte divincenzo,112.0,55.6,58.15,67,2.48345,115.827,91.7019,3.05664,1.6944,8.8333,1.17308225,0.625,5.5093,46.32551528073917
12976,Wing G,2018,donte divincenzo,119.5,59.0,60.77,103,4.29565,130.482,93.9887,5.81862,3.475,13.425,1.7594936,0.6486,8.09702,46.32551528073917
13448,Wing G,2017,dwayne bacon,108.4,51.0,54.37,164,3.47475,122.561,95.5726,4.33702,1.7429,17.2286,0.85916397,0.6267,4.75307,8.869936034115138
15624,Wing G,2019,garrison mathews,113.9,55.6,61.58,99,4.03519,126.444,97.8277,6.43014,1.8919,20.3243,0.85366837,0.567,6.59808,
15625,Wing G,2018,garrison mathews,115.7,55.3,61.56,105,3.81506,123.972,102.725,5.59181,1.7576,21.6667,0.81691841,0.6345,5.74128,
15626,Wing G,2016,garrison mathews,104.9,52.0,55.07,51,1.46725,108.443,109.717,2.41989,1.4839,11.2258,1.0,0.6053,0.528814,
15627,Wing G,2017,garrison mathews,113.8,56.0,59.88,111,3.67169,121.204,107.66,4.9084,2.2812,20.375,0.98646484,0.6735,3.2973,
15699,Wing G,2018,gary trent jr,122.3,52.8,56.65,80,4.20346,123.926,96.3665,3.98383,1.4054,14.4865,1.3684519,0.6349,5.84746,55.32338308457712
15878,Wing G,2014,georges niang,106.1,52.6,54.79,174,3.37845,121.199,97.7048,3.51554,3.6176,16.6765,1.49995858,0.6471,4.44477,43.21250888415068
16054,Wing G,2013,glenn robinson iii,128.0,60.9,62.41,139,4.78519,126.589,93.7873,5.18654,1.0789,11.0,1.32250547,0.7674,7.03255,24.06538734896944
16055,Wing G,2014,glenn robinson iii,113.7,53.2,56.59,149,3.82377,122.688,99.1859,3.80246,1.1892,13.0811,0.95656378,0.7667,4.43553,24.06538734896944
16195,Wing G,2015,grayson allen,118.3,50.9,58.32,27,1.26403,127.251,93.2819,2.79309,0.4,4.3714,0.9332711,0.6571,4.09822,47.26368159203981
16473,Wing G,2018,hamidou diallo,101.1,47.0,49.75,108,1.8012,108.791,95.8859,0.309039,1.2432,10.027,0.90191524,0.629,1.80476,42.35963041933192
16702,Wing G,2010,hollis thompson,112.1,56.6,57.64,27,1.40506,106.519,93.1615,1.83299,0.9706,4.7647,1.26925594,0.5667,4.51201,20.810234541577827
17016,Wing G,2019,immanuel quickley,107.5,47.3,54.09,25,1.14037,105.356,93.8494,0.396712,1.1892,5.2162,1.33333338,0.7368,2.78836,
17017,Wing G,2020,immanuel quickley,117.9,51.1,59.49,76,4.55608,125.623,94.1177,4.86227,1.9,16.0667,1.18749997,0.48,6.34707,
17108,Wing G,2020,isaac okoro,112.8,55.3,58.51,105,3.22455,115.701,95.294,3.26188,2.0357,12.8571,1.03634885,0.6779,5.29374,
18075,Wing G,2012,jae crowder,122.3,56.8,59.85,156,5.29599,132.03,81.1209,7.96643,2.0857,17.5429,1.65913615,0.7485,13.0841,61.17981520966597
18099,Wing G,2018,jae'sean tate,108.6,57.5,58.18,160,3.05122,117.845,91.3832,2.64456,2.8824,12.2941,1.30667759,0.6927,5.96677,
18100,Wing G,2016,jae'sean tate,106.6,54.8,54.78,121,2.35562,111.613,94.8578,1.75629,1.5,11.7143,0.93335822,0.7087,4.30378,
18101,Wing G,2017,jae'sean tate,106.0,55.9,56.65,174,3.09251,115.833,96.7325,2.36838,2.0,14.3125,0.88888889,0.7249,3.98354,
18102,Wing G,2015,jae'sean tate,109.3,59.6,58.68,123,2.00481,113.788,88.5857,1.29401,0.3429,8.8,0.28575,0.7047,3.10316,
18907,Wing G,2016,jamal murray,118.0,55.9,59.0,131,5.41928,132.758,96.6981,8.14081,2.1944,20.0,0.94047056,0.6937,8.97041,71.6133617626155
19096,Wing G,2010,james anderson,117.5,53.2,59.61,152,6.29412,139.179,93.2981,9.4241,2.4242,22.2727,1.02563887,0.6359,11.3054,21.03766879886283
20017,Wing G,2012,jason smith,74.7,37.2,43.53,23,-0.223691,79.1078,102.02,-4.52209,0.6429,3.25,0.5454777,0.4828,-6.57028,20.72494669509595
20441,Wing G,2019,jaylen nowell,108.6,56.1,59.15,167,3.80296,119.413,93.8527,2.9467,3.1111,16.1667,1.05661591,0.7165,4.10466,
20442,Wing G,2018,jaylen nowell,104.2,49.4,53.5,164,2.97982,114.489,101.321,1.42965,2.7059,16.0294,1.08235998,0.6357,1.30133,
21004,Wing G,2011,jeremy lamb,116.6,54.8,56.84,136,3.39066,122.047,92.2786,5.14917,1.6098,11.1463,1.26925799,0.7831,7.4625,54.186211798152094
21005,Wing G,2012,jeremy lamb,115.4,55.6,58.95,146,4.89767,124.025,96.2073,5.58128,1.7059,17.7353,0.85294998,0.7882,7.13317,54.186211798152094
21461,Wing G,2010,jimmy butler,129.2,55.9,63.18,132,5.74804,134.778,92.9059,6.73916,2.0,14.6765,1.7435272,0.6972,9.05711,97.58351101634685
21462,Wing G,2011,jimmy butler,122.0,51.6,58.67,167,5.15273,129.263,95.5339,6.89473,2.3243,15.7297,1.59253177,0.6709,8.54764,97.58351101634685
21661,Wing G,2012,joe harris,103.7,56.0,53.53,10,0.266286,93.3874,115.371,-0.505025,0.3333,3.1333,0.83324997,1.0,-3.67856,49.29637526652453
21662,Wing G,2012,joe harris,109.2,53.1,56.97,72,2.92388,113.636,88.0788,3.56301,1.7188,11.3125,1.19568692,0.5571,6.03284,49.29637526652453
21664,Wing G,2011,joe harris,105.3,54.5,56.96,42,2.36588,109.675,97.0835,2.95883,1.2581,10.4194,0.79596357,0.5532,4.20148,49.29637526652453
21665,Wing G,2013,joe harris,111.1,56.3,59.47,114,4.34684,123.876,90.68,6.33575,2.1714,16.2857,1.08570004,0.5481,8.52455,49.29637526652453
22083,Wing G,2018,john konchar,121.3,56.0,57.56,104,4.26126,120.854,100.593,5.3467,4.697,14.8485,2.87032515,0.6341,7.58471,
22084,Wing G,2019,john konchar,119.9,59.1,62.26,166,4.96926,128.715,103.497,6.40215,5.4242,19.4545,1.96700026,0.7017,8.17262,
22085,Wing G,2017,john konchar,137.3,69.9,70.39,134,4.96794,127.56,104.295,5.78646,3.8182,14.9091,2.47052735,0.7405,7.01152,
22086,Wing G,2016,john konchar,128.7,62.3,64.71,125,4.32635,122.703,102.855,4.32222,2.6875,13.125,1.79166667,0.6726,5.85753,
22585,Wing G,2012,jonathon simmons,102.1,55.8,59.04,116,2.54034,110.419,106.004,1.93329,2.1379,14.3448,0.63264583,0.7312,0.31773,24.30703624733476
22929,Wing G,2017,jordan hill,100.8,43.5,45.47,10,0.066734,89.7533,95.1333,-2.70117,0.4571,1.5143,1.77790754,0.75,-0.751973,35.280739161336186
22930,Wing G,2016,jordan hill,98.0,47.7,48.41,16,0.153136,90.7672,98.5117,-2.38154,0.8,2.9,1.26322439,0.7273,-1.10234,35.280739161336186
23103,Wing G,2018,jordan poole,108.0,53.5,57.55,34,1.24673,117.323,89.3059,3.22238,0.5641,5.9744,0.88003128,0.7297,6.39912,58.0952380952381
23643,Wing G,2017,josh hart,122.3,59.0,61.89,162,5.95049,139.495,88.5641,7.6631,2.9444,18.6944,1.49295204,0.7125,10.8788,58.57853589196873
23644,Wing G,2015,josh hart,125.3,62.2,63.57,72,3.6116,128.518,88.997,6.63831,1.4722,10.1389,1.39465704,0.7,9.40619,58.57853589196873
23780,Wing G,2017,josh okogie,103.4,48.1,54.55,163,2.95936,115.324,90.7576,2.22646,1.6486,16.1081,0.79217721,0.5023,4.90635,47.51954513148543
23781,Wing G,2018,josh okogie,107.9,47.5,55.04,95,4.48367,123.506,95.767,5.20362,2.4583,18.2083,0.9671874,0.5354,7.11086,47.51954513148543
23811,Wing G,2014,josh richardson,118.9,53.1,56.84,101,3.14981,118.169,96.3391,2.77055,1.5,10.3056,1.45942796,0.6163,5.55511,51.08742004264393
23812,Wing G,2012,josh richardson,82.8,40.3,43.23,26,-0.419763,77.8935,95.1624,-2.8798,0.6364,2.8788,0.70003299,0.5789,-0.16517,51.08742004264393
23813,Wing G,2013,josh richardson,101.2,49.1,52.61,90,1.4916,99.4603,95.5386,0.775931,1.5455,7.9091,0.92728148,0.6176,3.40858,51.08742004264393
24407,Wing G,2013,justin anderson,106.3,46.7,52.31,69,2.13559,110.949,87.2959,2.98188,2.3143,7.6,1.88368876,0.5802,6.84686,34.37100213219617
24408,Wing G,2015,justin anderson,120.5,57.2,60.97,56,3.97668,128.925,84.0094,7.23767,1.7308,12.1923,1.45164815,0.6667,11.5827,34.37100213219617
