,pos,year,player_name,twoPM,porpag,adjoe,adrtg,mp,oreb,dreb,ast,stl,blk,pts,season,dporpag,score
38734,Combo G,2012,seth curry,77,3.69796,121.276,96.4137,30.1765,0.7647,1.8529,2.4412,1.2647,0.2059,13.2059,2,3.11168,47.24946695095949
38735,Combo G,2013,seth curry,102,5.26531,132.243,93.7792,32.2857,0.5714,1.9714,1.5429,0.8571,0.1714,17.4857,1,3.59896,47.24946695095949
38801,Combo G,2016,shake milton,61,2.97578,114.173,99.2578,32.6667,0.3,2.6667,2.7333,0.8,0.2667,10.5,4,3.36656,41.80525941719972
39207,Combo G,2011,shelvin mack,107,3.83872,121.094,96.6054,32.1892,0.7297,3.7568,3.4865,0.7297,0.0811,15.9189,2,3.34166,36.75906183368871
40846,Combo G,2014,terry rozier,57,1.87007,116.836,86.7702,18.8919,0.7568,2.3243,1.8108,1.027,0.0541,7.0,4,2.81317,59.91471215351813
40847,Combo G,2015,terry rozier,166,4.03693,120.844,84.1254,35.0,1.1944,4.3611,3.0,2.0,0.1667,17.0833,3,5.21977,59.91471215351813
42854,Combo G,2017,ty jerome,23,1.19616,112.934,86.2789,13.9118,0.0294,1.5882,1.4706,0.4412,0.0588,4.3235,4,2.02926,
43035,Combo G,2011,tyler johnson,43,0.295492,91.3415,98.8585,16.8333,1.2667,1.6,2.0,1.1,0.3,4.1667,4,1.63273,38.86282871357499
43036,Combo G,2012,tyler johnson,82,1.69925,102.63,100.23,29.7419,1.5806,2.9032,2.4839,1.4194,0.2903,9.0968,3,2.62156,38.86282871357499
43372,Combo G,2019,tyrese haliburton,37,4.28763,124.676,95.6735,33.2,0.7429,2.6857,3.5714,1.5429,0.8571,6.8286,4,3.89215,
43383,Combo G,2020,tyrese maxey,117,3.0618,111.159,94.2306,34.4516,0.3871,3.9032,3.129,0.871,0.3871,13.9677,4,3.92659,
43452,Combo G,2016,tyrone wallace,126,3.17353,116.722,93.1342,32.1786,0.9643,4.3214,4.3929,0.9643,0.4286,15.25,1,3.94716,
43455,Combo G,2014,tyrone wallace,98,2.17995,108.698,98.926,31.1429,1.0,3.1429,2.7143,1.2571,0.4571,11.2857,3,3.2886,
