,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
137,Wing F,2014,aaron gordon,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,0.422,173,337,0.513,16,45,0.356,3.4,1.8,47.1,Fr,2.86228,115.064,3.0,99.6,83.3035,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,2.35011,4,1.36361758,0.6919,0.2571,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,51.76972281449894
158,Scoring PG,2016,aaron holiday,94.5,20.4,46.2,50.03,2.0,7.8,21.1,24.8,0.727,75,196,0.383,39,93,0.419,0.8,2.5,30.4,Fr,1.23495,99.2945,4.1,89.4,100.412,31.6562,-0.725836,1.40555,0.5938,2.4062,3.0,3.9688,1.4062,0.25,10.3438,5.10103,4,1.3804522,0.4789,0.328,106.87,3.09933,181.366,1.72579,0.364815,1.36097,0.679715,37.242359630419344
159,Scoring PG,2017,aaron holiday,113.1,23.2,57.1,60.96,1.5,9.5,24.4,21.3,0.793,97,180,0.539,53,129,0.411,0.6,2.2,35.9,So,3.0058,120.686,3.4,89.4,99.9203,26.3333,2.95371,0.777734,0.3333,2.5278,2.8611,4.3889,1.0833,0.1667,12.25,7.33543,3,1.81607151,0.6413,0.4318,103.97,2.65112,174.792,3.35938,3.56244,-0.203062,3.73144,37.242359630419344
160,Scoring PG,2018,aaron holiday,112.9,27.2,55.7,60.87,1.6,8.7,29.9,20.6,0.828,124,255,0.486,88,205,0.429,0.7,1.9,41.7,Jr,5.07293,127.461,2.8,89.4,103.391,37.697,4.87478,0.140775,0.5152,3.1515,3.6667,5.8182,1.2727,0.2424,20.3333,9.1917,2,1.53599624,0.5695,0.3654,106.928,3.3327,209.167,4.36451,4.73004,-0.365525,5.01555,37.242359630419344
194,Stretch 4,2019,aaron nesmith,104.4,19.8,49.3,53.65,4.2,17.3,10.8,16.0,0.825,55,116,0.474,59,175,0.337,2.1,1.4,27.5,Fr,2.13344,108.742,4.2,87.4,98.6876,29.0,1.56443,1.34993,1.0625,4.4688,5.5312,1.4062,0.7188,0.5625,11.0312,10.8853,4,0.88229395,0.6,0.2826,103.661,3.08441,175.414,2.17846,0.993082,1.18537,2.91436,
195,Wing G,2020,aaron nesmith,125.1,23.7,65.9,68.53,2.5,13.9,6.9,11.6,0.825,45,90,0.5,60,115,0.522,2.6,2.3,30.7,So,5.52929,130.755,3.1,87.4,105.008,35.7143,8.63458,0.281327,0.7857,4.0714,4.8571,0.9286,1.4286,0.8571,23.0,13.0856,3,0.54167882,0.5577,0.4211,105.59,2.71912,92.9536,6.21376,6.24541,-0.0316497,8.91591,
296,Wing G,2016,abdel nader,103.5,20.7,55.5,58.35,2.9,14.3,8.0,19.7,0.736,109,197,0.553,52,140,0.371,2.2,1.9,31.5,Sr,2.4854,111.208,3.6,51.6,97.815,31.0857,1.531,1.19284,0.7429,4.2286,4.9714,1.5429,1.0571,0.6857,12.9143,7.21419,1,0.68357622,0.6909,0.3793,103.21,3.32365,211.419,4.02682,2.35256,1.67426,2.72384,19.71570717839375
297,Wing F,2015,abdel nader,92.4,21.1,45.0,48.84,5.0,14.5,7.8,19.1,0.767,54,101,0.535,15,69,0.217,3.0,1.3,25.3,Jr,0.688912,99.4979,3.8,51.6,94.5695,16.375,-1.33233,0.67825,0.6875,2.2188,2.9062,0.7188,0.375,0.5,5.8125,7.53709,2,0.62169173,0.6557,0.35,99.388,1.86562,99.5242,0.381111,-0.743157,1.12427,-0.654083,19.71570717839375
298,Stretch 4,2013,abdel nader,80.2,36.7,38.6,42.6,6.3,22.0,13.0,21.8,0.772,63,170,0.371,26,94,0.277,3.1,3.3,21.6,So,0.775547,94.0947,4.5,51.6,95.1509,25.4211,-1.60017,-0.229039,1.4737,4.1579,5.6316,0.8947,1.3158,0.5263,13.0526,12.3202,3,0.27867933,0.4933,0.2737,94.3871,2.69501,102.957,-3.33467,-4.18276,0.848084,-1.82921,19.71570717839375
299,Stretch 4,2012,abdel nader,78.5,31.2,38.1,41.91,4.0,17.4,12.6,23.8,0.682,74,214,0.346,34,114,0.298,4.1,1.7,26.8,Fr,0.11054,87.0027,4.4,51.6,106.773,24.4667,-3.45139,-1.56146,0.8667,3.3,4.1667,1.0,0.6667,0.7333,10.3333,9.83555,4,0.34883316,0.4776,0.2857,105.971,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,19.71570717839375
946,PF/C,2010,al farouq aminu,101.8,27.8,47.1,52.4,14.6,20.5,9.1,20.6,0.698,149,308,0.484,18,66,0.273,4.5,2.6,53.2,So,3.38288,117.633,3.8,98.4,85.7956,31.2903,4.27468,2.15491,4.2903,6.4194,10.7097,1.3226,1.4194,1.4194,15.8387,3.81868,3,0.41415375,0.6474,0.2741,90.2827,4.31568,237.061,6.58999,2.7312,3.85879,6.42958,57.02914001421464
1023,Wing G,2010,alec burks,117.0,26.8,56.7,62.49,8.5,11.9,13.5,14.0,0.786,144,250,0.576,19,54,0.352,1.5,2.2,59.9,Fr,5.0314,133.419,3.5,61.4,103.123,30.5357,6.88621,-0.745175,2.0,3.0,5.0,1.75,1.1786,0.4286,17.4286,3.62556,4,0.875,0.6438,0.4556,107.773,2.46647,144.886,5.76966,6.04383,-0.274169,6.14104,44.264392324093826
1024,Wing G,2011,alec burks,116.2,32.1,49.8,57.71,9.1,14.7,19.8,15.0,0.822,215,421,0.511,28,95,0.295,1.0,2.0,57.8,So,5.61344,137.983,3.0,61.4,101.415,31.5946,7.64884,-0.411573,2.3514,4.1081,6.4595,2.973,1.0811,0.2973,20.5135,4.71429,3,1.13404034,0.6559,0.3957,105.007,2.76887,212.053,5.84106,6.3762,-0.535146,7.23727,44.264392324093826
1124,Pure PG,2014,alex caruso,102.3,21.1,51.3,55.29,1.7,11.9,36.7,24.4,0.685,79,152,0.52,24,72,0.333,3.3,4.3,49.6,So,1.85564,106.588,3.6,83.2,89.755,29.7941,0.990315,5.30713,0.4412,3.1471,3.5882,5.0,2.0294,0.8235,9.0,4.41571,3,2.02379998,0.625,0.2917,91.4274,4.05352,216.791,6.7114,1.41404,5.29736,6.29745,76.70220326936746
1125,Pure PG,2016,alex caruso,111.6,17.5,56.6,59.75,4.1,9.5,31.1,26.8,0.785,83,145,0.572,28,76,0.368,1.6,4.2,29.4,Sr,2.42652,112.497,3.4,83.2,87.9836,28.8378,2.58753,5.49811,1.0811,2.5405,3.6216,5.0,2.0811,0.3784,8.1351,4.11003,1,2.12639288,0.6931,0.2955,92.8983,4.04549,230.328,8.93768,3.87646,5.06121,8.08564,76.70220326936746
1126,Scoring PG,2013,alex caruso,87.7,20.4,41.3,45.13,3.9,12.4,27.9,29.2,0.6,49,117,0.419,13,49,0.265,2.3,4.9,45.2,Fr,0.504046,91.2602,4.6,83.2,90.3475,24.697,-1.46725,4.4019,0.7576,2.4848,3.2424,3.3939,1.8485,0.4545,5.5152,3.88495,4,1.49333384,0.5556,0.2,92.3065,2.97941,174.148,4.36197,-0.0689906,4.43096,2.93465,76.70220326936746
1127,Pure PG,2015,alex caruso,101.1,21.0,52.0,55.19,2.8,14.1,34.8,28.4,0.685,80,158,0.506,26,71,0.366,0.3,4.1,40.2,Jr,2.01441,105.969,2.6,83.2,89.9005,31.4545,1.90847,4.13692,0.7273,3.8182,4.5455,5.5152,2.0909,0.0606,9.1212,4.22812,2,1.82001792,0.6355,0.2353,92.8772,4.06248,219.985,6.47715,2.70848,3.76867,6.04538,76.70220326936746
1225,C,2012,alex len,98.6,16.8,55.3,56.54,8.8,20.0,6.0,24.9,0.587,52,93,0.559,0,1,0.0,10.0,0.5,48.9,Fr,0.92977,98.5661,4.6,,94.455,21.1818,-0.869039,3.13235,1.6364,3.7727,5.4091,0.5909,0.1818,2.1364,5.9545,0.126888,4,0.39393334,0.7451,0.3333,99.3619,2.30492,99.3874,3.97853,-1.12081,5.09934,2.26331,31.727078891258
1226,C,2013,alex len,112.7,22.6,53.5,56.97,13.2,19.3,7.8,15.6,0.686,172,316,0.544,1,8,0.125,8.0,0.5,47.2,So,3.0538,118.663,4.0,,88.507,26.4211,3.33837,2.79123,2.8684,4.9737,7.8421,0.9737,0.2105,2.0526,11.8947,0.469137,3,0.61669517,0.7299,0.3169,91.861,3.41733,214.642,6.95255,2.39556,4.557,6.1296,31.727078891258
1395,PF/C,2011,alfonzo mckinnie,83.9,20.3,51.8,52.67,11.6,25.0,3.4,30.7,0.531,29,56,0.518,0,0,0.0,2.7,2.3,57.1,Fr,-0.175606,81.9749,5.9,,97.8966,11.8696,-5.42044,-0.979406,1.1304,2.4783,3.6087,0.1739,0.4348,0.2609,3.2609,0.0,4,0.14813868,0.6857,0.2727,96.44,1.18922,60.238,-7.12748,-6.51412,-0.613358,-6.39985,
1396,PF/C,2012,alfonzo mckinnie,110.9,22.9,55.7,59.15,15.6,21.3,3.4,17.3,0.728,108,194,0.557,0,0,0.0,3.6,1.5,41.8,So,2.07778,111.036,5.3,,105.589,23.963,0.66763,-1.86338,3.037,4.1111,7.1481,0.3333,0.5556,0.7778,10.1852,0.0,3,0.21949292,0.6847,0.3855,102.092,1.70253,126.894,-2.06306,-0.305599,-1.75746,-1.19575,
1397,PF/C,2015,alfonzo mckinnie,94.8,21.8,49.3,50.02,11.2,18.7,1.9,18.6,0.524,83,163,0.509,16,54,0.296,2.3,1.4,29.0,Sr,0.676121,96.3318,6.1,,92.5848,21.6061,-2.69907,-0.494717,1.9697,3.3636,5.3333,0.1818,0.4848,0.4848,8.0,4.85051,1,0.13042542,0.6914,0.3291,93.9359,2.62791,124.294,-3.66957,-2.74065,-0.928924,-3.19379,
1457,Wing G,2013,allen crabbe,108.7,25.4,52.8,56.83,3.3,14.8,16.2,16.4,0.813,151,284,0.532,64,184,0.348,1.9,1.9,29.7,Jr,4.68127,122.641,2.3,87.0,92.3083,36.2121,5.72903,2.02144,1.0,5.0606,6.0606,2.6364,1.1212,0.697,18.3939,9.24179,2,1.04818706,0.6703,0.4663,96.3071,4.20554,221.672,6.67658,4.50198,2.17461,7.75047,31.89765458422175
1458,Wing F,2012,allen crabbe,112.5,21.4,53.1,56.42,3.5,16.5,12.2,12.9,0.843,96,207,0.464,83,208,0.399,1.8,0.9,21.4,So,3.7898,117.768,1.7,87.0,92.0698,34.0588,5.37925,1.62326,0.9412,4.7647,5.7059,2.0882,0.5294,0.5882,15.1765,10.8356,3,1.3396203,0.7091,0.375,94.2053,4.05122,211.572,5.99997,4.03295,1.96703,7.00251,31.89765458422175
1459,Wing G,2011,allen crabbe,112.6,18.3,54.5,58.2,2.4,15.9,12.2,14.0,0.804,77,157,0.49,62,155,0.4,1.5,1.6,29.5,Fr,3.26936,114.666,1.8,87.0,97.003,33.8387,4.55669,1.3861,0.6452,4.6774,5.3226,1.9677,0.9355,0.4516,13.3548,8.58841,4,1.3260328,0.7692,0.3983,103.271,3.44425,193.591,5.91986,4.14199,1.77788,5.94279,31.89765458422175
1716,Pure PG,2010,amir johnson,91.9,15.6,41.7,43.43,1.2,8.5,30.2,25.1,0.525,37,91,0.407,29,102,0.284,0.4,1.6,30.6,Sr,-0.243627,83.5944,3.0,2.0,102.837,33.4286,-3.30527,0.266853,0.3929,2.8571,3.25,5.7143,0.9643,0.1429,6.8571,6.07159,1,2.42429262,0.3929,0.4194,99.3184,2.7091,160.438,-2.74979,-1.90614,-0.843647,-3.03842,58.4221748400853
1803,C,2012,andre drummond,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16.0,0.295,157,290,0.541,0,2,0.0,9.9,1.8,30.1,Fr,2.01686,106.362,3.1,83.4,90.5331,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10.0,0.127848,4,0.28847914,0.7027,0.2571,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,58.73489694385218
1868,PF/C,2013,andre roberson,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,0.551,113,217,0.521,19,58,0.328,4.4,3.9,35.6,Jr,2.25599,105.013,3.0,69.6,79.4846,33.4194,2.92706,4.63046,2.9677,8.2258,11.1935,1.4194,2.1613,1.3226,10.871,3.39385,2,0.5946127,0.6069,0.3175,83.7071,5.29756,283.374,8.97574,1.61601,7.35973,7.55752,67.12153518123668
1869,PF/C,2012,andre roberson,108.3,21.8,54.9,56.83,12.4,29.2,9.2,17.0,0.606,123,227,0.542,18,46,0.391,6.8,2.7,56.8,So,3.00442,114.22,3.1,69.6,83.2999,30.4706,4.64925,3.8823,3.0588,7.9412,11.0,1.2059,1.3529,1.8824,11.5882,2.7003,3,0.6508176,0.675,0.2239,86.0431,4.535,276.426,9.16284,2.36161,6.80123,8.53155,67.12153518123668
1870,PF/C,2011,andre roberson,117.2,16.5,60.5,60.21,15.3,25.1,7.1,18.9,0.56,83,133,0.624,12,34,0.353,5.0,3.4,44.9,Fr,2.15498,114.568,5.4,69.6,92.0069,22.1622,3.07891,1.90349,2.7838,4.9189,7.7027,0.8919,1.2973,1.0811,6.5946,2.40767,4,0.74999997,0.6964,0.2381,95.2651,2.65851,211.866,8.41442,4.37194,4.04248,4.9824,67.12153518123668
2011,Scoring PG,2015,andrew harrison,111.6,21.8,44.6,53.13,1.7,8.1,26.0,18.4,0.792,65,173,0.376,36,94,0.383,0.9,2.5,59.6,So,2.83624,119.751,2.8,99.2,83.4197,25.4872,3.38184,3.70779,0.3333,1.8974,2.2308,3.5641,1.0256,0.2051,9.3333,5.90588,3,2.17190735,0.6034,0.2609,88.0517,3.85282,165.034,7.024,4.43846,2.58554,7.08963,
2012,Scoring PG,2014,andrew harrison,102.6,21.8,41.7,50.61,3.0,8.1,23.9,23.6,0.764,88,236,0.373,33,94,0.351,0.7,1.0,63.0,Fr,2.49087,111.184,3.8,99.2,98.7855,31.675,0.990468,0.268733,0.8,2.35,3.15,3.975,0.525,0.225,10.85,4.44141,4,1.45871561,0.4842,0.2958,105.004,3.36453,176.457,1.96769,1.8097,0.157996,1.2592,
2054,PF/C,2012,andrew nicholson,116.7,28.1,60.1,63.77,11.2,22.8,9.4,18.1,0.776,197,332,0.593,23,53,0.434,7.3,1.3,42.9,Sr,4.69023,131.189,3.7,10.6,91.5303,30.0625,7.33232,2.18607,2.5938,5.8125,8.4062,1.0312,0.6562,1.9688,18.4688,3.36402,1,0.41248002,0.7219,0.4862,93.7441,3.59007,207.66,8.05175,4.51105,3.54069,9.51839,27.377398720682304
2055,C,2010,andrew nicholson,112.5,24.0,56.1,59.67,9.1,17.9,3.7,14.8,0.76,189,337,0.561,0,0,0.0,6.6,0.4,37.1,So,3.72714,121.2,4.0,10.6,99.7134,30.2759,3.05449,0.0396227,2.3448,4.8276,7.1724,0.4828,0.2069,1.8966,16.3103,0.0,3,0.25927716,0.7425,0.3824,101.019,2.81462,169.169,1.74362,1.14214,0.601477,3.09411,27.377398720682304
2056,PF/C,2011,andrew nicholson,108.5,30.0,57.8,61.41,6.4,19.0,8.7,19.2,0.711,231,392,0.589,6,23,0.261,4.5,1.0,55.9,Jr,4.20821,123.546,3.5,10.6,99.7765,33.8387,4.09881,0.356402,1.6774,5.5806,7.2581,1.0323,0.5484,1.4516,20.8065,1.3406,2,0.32325035,0.773,0.4585,100.861,3.06446,199.395,1.33659,1.13703,0.199564,4.45521,27.377398720682304
2115,Wing F,2014,andrew wiggins,112.3,25.1,49.9,56.34,8.4,12.3,9.2,15.9,0.775,146,296,0.493,43,126,0.341,3.1,2.1,53.8,Fr,4.24085,125.836,3.3,100.0,94.4649,32.8,5.14855,1.8287,2.1714,3.6857,5.8571,1.5429,1.1714,0.9714,17.0571,6.31169,4,0.67502293,0.697,0.3354,101.712,3.98001,206.932,7.14569,4.66538,2.48031,6.97725,49.29637526652453
2241,Stretch 4,2013,anthony bennett,112.8,25.7,57.5,60.36,9.9,21.3,8.2,15.3,0.696,156,271,0.576,36,94,0.383,4.3,1.5,46.0,Fr,3.70621,124.606,3.4,99.0,85.8106,27.2353,5.93445,2.25506,2.3824,5.5882,7.9706,0.9118,0.7059,1.1765,15.7941,5.8596,4,0.49209348,0.7143,0.4341,89.4038,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,0.0
2295,C,2012,anthony davis,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10.0,0.709,207,317,0.653,3,20,0.15,13.7,2.5,60.2,Fr,5.9035,138.825,2.4,100.0,75.7599,32.025,9.09614,7.56117,2.975,7.4,10.375,1.25,1.35,4.65,14.175,0.931259,4,1.21951222,0.8736,0.3846,79.63,5.62176,360.572,17.668,7.54963,10.1184,16.6573,93.12011371712863
2317,Wing G,2020,anthony edwards,103.0,28.8,47.0,51.73,2.4,14.5,17.9,15.4,0.77,126,251,0.502,69,237,0.291,1.6,2.3,33.8,Fr,3.75333,118.582,2.7,99.8,98.2752,33.0312,4.38554,0.542943,0.75,4.4688,5.2188,2.8438,1.3438,0.5625,19.0625,12.7939,4,1.04597616,0.6899,0.3033,102.774,3.28191,198.311,3.96519,3.54189,0.423291,4.92848,
2813,Wing G,2013,archie goodwin,96.9,27.2,46.4,50.91,5.6,10.4,16.8,21.0,0.637,140,293,0.478,17,64,0.266,1.4,2.1,59.4,Fr,2.61308,109.137,3.7,97.2,94.5801,31.7576,0.684581,0.273842,1.4545,3.1515,4.6061,2.6667,1.0909,0.4545,14.1212,3.60856,4,0.8712997,0.6023,0.2931,97.7351,3.42587,179.703,0.778603,0.781192,-0.00258988,0.958423,16.10518834399432
2914,Wing G,2018,armoni brooks,126.9,17.7,58.5,59.78,4.8,15.4,4.6,6.5,0.815,27,61,0.443,83,198,0.419,2.0,2.2,10.4,So,2.66468,125.814,2.7,38.4,92.6068,20.2,7.09774,2.24721,0.8286,2.8286,3.6571,0.4857,0.7429,0.3429,9.2857,16.3306,3,1.21425001,0.5926,0.3235,94.2095,2.58233,141.481,7.78819,5.54934,2.23885,9.34496,
2915,Wing G,2019,armoni brooks,116.0,18.8,54.7,55.28,3.9,17.9,5.7,8.9,0.63,51,115,0.443,121,310,0.39,1.2,1.5,10.8,Jr,3.28187,118.263,2.1,38.4,89.6057,30.7027,5.69414,1.82616,1.0811,5.2432,6.3243,0.8919,0.7568,0.2973,13.3514,16.1775,2,1.03121749,0.5641,0.3867,91.4804,4.24583,218.875,6.19872,4.35252,1.8462,7.5203,
2916,Wing G,2017,armoni brooks,108.8,17.4,55.3,56.55,3.6,17.6,3.9,15.4,0.8,20,35,0.571,25,69,0.362,0.7,2.0,9.6,Fr,0.836718,107.679,2.9,38.4,95.2728,12.1724,1.54875,0.894202,0.3793,1.7931,2.1724,0.2414,0.3793,0.069,4.3448,12.2993,4,0.46674402,0.7,0.52,96.6095,1.41617,66.7636,1.40532,1.12867,0.276646,2.44295,
3275,Combo G,2012,austin rivers,104.8,24.0,50.5,53.84,2.2,9.2,13.0,17.0,0.658,116,243,0.477,58,159,0.365,0.1,1.7,45.8,Fr,3.41399,115.548,2.7,99.8,97.2284,33.2059,2.7958,0.279199,0.6176,2.7647,3.3824,2.0882,0.9706,0.0294,15.5,8.19759,4,0.89873044,0.5816,0.3333,102.8,3.33088,176.149,2.9406,2.9932,-0.0526018,3.075,31.357498223169866
3365,Combo G,2010,avery bradley,105.2,19.0,48.9,49.58,3.5,6.6,12.4,14.6,0.545,117,256,0.457,42,112,0.375,1.6,2.4,17.9,Fr,2.32709,108.707,3.2,99.4,92.5408,29.5,1.96455,2.09962,0.9706,1.9118,2.8824,2.0882,1.2941,0.5294,11.6471,6.00258,4,1.36537211,0.5281,0.4192,97.7023,3.43879,176.727,5.12429,3.17971,1.94458,4.06416,39.6588486140725
3691,Wing G,2013,ben mclemore,118.7,22.0,58.6,63.26,5.0,12.3,12.6,17.2,0.87,125,226,0.553,73,174,0.42,2.2,1.8,34.5,Fr,4.47541,125.989,2.3,92.4,87.3941,32.1892,6.59953,2.901,1.2703,3.9189,5.1892,1.973,1.0,0.6757,15.9189,8.57278,4,0.94805635,0.7143,0.35,92.3885,4.22994,216.163,8.47939,5.6772,2.80219,9.50053,24.05117270788913
3731,Wing F,2016,ben simmons,112.9,28.2,56.1,59.95,9.6,26.8,27.4,18.6,0.67,215,383,0.561,1,3,0.333,2.5,3.1,76.9,Fr,4.96514,129.255,3.2,100.0,93.3664,34.8788,6.65406,3.18062,3.1212,8.6364,11.7576,4.7879,1.9697,0.8182,19.1515,0.141684,4,1.4234451,0.7227,0.3416,97.3738,4.27519,290.86,10.2899,5.24639,5.04354,9.83468,80.05685856432126
4124,PF/C,2014,bobby portis,116.1,21.3,52.4,56.18,10.2,16.8,11.0,11.6,0.737,152,283,0.537,9,33,0.273,5.9,2.1,37.3,Fr,3.11085,122.001,2.6,96.8,91.4703,27.0,4.49478,2.50127,2.5294,4.2353,6.7647,1.4706,1.0294,1.5882,12.2941,1.98612,4,1.21950416,0.7581,0.3648,94.564,3.5283,203.379,7.05452,2.68809,4.36643,6.99605,41.26510305614784
4125,PF/C,2015,bobby portis,118.9,25.7,55.2,58.23,13.6,20.2,8.8,11.5,0.737,236,436,0.541,14,30,0.467,4.8,2.1,33.5,So,4.63646,132.388,2.9,96.8,92.078,29.8889,7.31961,1.08034,3.6944,5.2222,8.9167,1.1667,1.0833,1.3889,17.4722,1.58536,3,0.74999998,0.7304,0.3799,95.8038,3.6384,235.735,7.92782,5.11539,2.81243,8.39995,41.26510305614784
4243,Scoring PG,2011,brad wanamaker,114.2,23.5,47.5,53.9,5.4,14.1,32.4,19.7,0.76,117,248,0.472,16,49,0.327,1.3,3.0,51.9,Sr,4.01597,124.494,2.8,82.8,88.3453,30.3824,5.14738,4.37125,1.3529,3.8529,5.2059,5.1176,1.4412,0.3529,11.7353,2.94888,1,2.2597254,0.6275,0.363,92.9952,4.05265,205.273,9.93882,5.49612,4.4427,9.51862,
4244,Scoring PG,2010,brad wanamaker,106.7,24.3,48.0,54.0,6.3,14.0,31.3,21.6,0.72,108,233,0.464,25,70,0.357,0.9,2.4,57.8,Jr,3.41292,116.57,3.5,82.8,89.8047,32.5882,3.95635,3.08461,1.6765,4.0588,5.7353,4.7059,1.2059,0.2941,12.2647,3.98565,2,1.73912572,0.5656,0.3514,95.6187,4.06051,198.632,7.58642,4.41294,3.17347,7.04096,
4258,Wing G,2012,bradley beal,112.3,22.4,52.5,57.45,4.8,18.1,12.7,17.0,0.769,112,207,0.541,63,186,0.339,2.6,2.5,44.0,Fr,4.31343,122.37,2.4,99.4,92.1814,34.2432,5.27745,2.28623,1.3514,5.3784,6.7297,2.2432,1.3784,0.8378,14.7568,8.98698,4,1.05063003,0.6496,0.3286,95.4954,4.01915,257.355,8.02626,5.01541,3.01084,7.56367,66.04122245913292
4420,C,2019,brandon clarke,134.3,24.0,69.3,69.89,13.9,19.7,12.1,12.7,0.694,253,359,0.705,4,15,0.267,10.8,2.3,42.0,Jr,5.59328,144.86,3.0,,81.216,28.0811,9.47452,5.87777,3.0811,5.4865,8.5676,1.8649,1.1622,3.0,16.9459,0.806202,2,1.21058094,0.7967,0.5169,83.897,4.70079,276.59,16.5977,7.78475,8.81298,15.3523,79.53091684434969
4421,PF/C,2017,brandon clarke,114.5,25.1,58.5,58.72,10.1,22.2,17.2,11.8,0.573,206,352,0.585,1,3,0.333,8.2,2.0,36.9,So,4.03491,123.185,3.2,,97.635,31.9,5.35221,2.3647,2.9667,5.7333,8.7,2.3,1.1667,2.5,17.2667,0.181471,3,1.30186218,0.7015,0.4305,98.7062,3.56806,215.893,8.73787,3.48929,5.24857,7.71691,79.53091684434969
4422,C,2016,brandon clarke,117.1,17.6,62.5,61.93,9.8,16.7,13.6,14.5,0.568,96,150,0.64,1,6,0.167,5.9,1.8,56.4,Fr,2.12822,113.782,2.9,,100.88,23.8214,3.67813,2.1089,2.1429,3.5357,5.6786,1.3929,0.75,1.3214,8.75,0.510879,4,1.3000746,0.7708,0.4074,102.181,2.31056,137.088,5.52372,1.392,4.13173,5.78703,79.53091684434969
4490,Combo G,2018,brandon goodwin,111.3,28.1,51.9,56.14,4.3,14.1,24.4,16.5,0.743,169,302,0.56,41,142,0.289,0.3,2.2,40.3,Sr,3.65969,118.907,1.8,,102.6,33.4118,3.61488,0.0338622,1.1176,4.4118,5.5294,4.7647,1.3235,0.1176,18.5882,7.34876,1,1.63634181,0.6632,0.36,100.966,3.15848,205.101,2.60831,2.68612,-0.077802,3.64874,
4491,Combo G,2017,brandon goodwin,121.2,26.9,56.2,60.64,3.4,12.9,24.0,14.3,0.794,152,256,0.594,50,148,0.338,0.2,1.9,40.8,Jr,4.53426,128.062,2.8,,104.0,31.5882,6.11506,0.644073,0.8235,3.7059,4.5294,4.0882,1.2059,0.0588,18.5,8.5133,2,1.93058187,0.6667,0.4598,103.826,2.80735,176.821,5.14809,5.55079,-0.402695,6.75913,
4492,Scoring PG,2014,brandon goodwin,93.4,15.2,43.1,47.76,3.7,10.1,20.8,28.3,0.585,19,42,0.452,4,16,0.25,0.0,1.9,70.7,Fr,0.07775,89.8491,3.0,,108.721,14.6923,-2.45617,-0.854233,0.5,1.2692,1.7692,1.7308,0.4615,0.0,2.8462,2.44969,4,1.60720589,0.4865,0.1667,110.998,1.05851,55.3928,-2.96853,-1.66015,-1.30839,-3.3104,
4493,Scoring PG,2015,brandon goodwin,95.2,22.1,47.1,50.07,4.3,8.9,26.8,24.4,0.598,88,177,0.497,17,64,0.266,0.4,2.3,48.5,So,1.32226,98.8246,2.2,,111.63,33.7667,-0.262935,-1.78474,1.2,2.7,3.9,4.2333,1.2333,0.1333,10.2333,4.00544,3,1.44318692,0.5385,0.383,111.186,1.82132,146.845,-1.04963,0.365289,-1.41492,-2.04768,
4529,Stretch 4,2016,brandon ingram,112.1,24.6,52.5,55.25,6.1,15.4,11.3,13.7,0.682,134,289,0.464,80,195,0.41,3.6,1.9,35.1,Fr,4.30177,123.987,2.4,99.6,95.9335,34.6111,5.53645,1.26317,1.8611,4.9167,6.7778,1.9722,1.1111,1.3611,17.3333,9.11171,4,0.98610002,0.5897,0.3779,103.403,3.93885,237.974,6.30806,4.07465,2.23341,6.79962,47.78962331201137
4558,Combo G,2011,brandon knight,107.8,26.7,50.8,55.28,2.2,10.2,23.4,19.8,0.795,130,282,0.461,87,231,0.377,0.6,1.1,33.3,Fr,4.52621,122.747,2.4,99.2,94.5951,35.8684,4.36431,0.220269,0.6579,3.3684,4.0263,4.1842,0.6579,0.2105,17.2895,10.2095,4,1.32499436,0.5556,0.3939,100.305,4.01095,204.602,4.48048,4.60756,-0.127072,4.58458,33.617626154939586
4692,Combo G,2020,brandon rush,92.0,14.8,48.0,50.95,1.6,6.5,4.4,19.8,0.704,22,46,0.478,18,56,0.321,0.7,2.3,26.5,Fr,-0.130129,83.1206,2.0,,114.586,17.1786,-2.3426,-2.0249,0.25,0.9643,1.2143,0.4286,0.6786,0.1429,4.7857,7.11256,4,0.50005835,0.5455,0.3077,110.816,0.747491,71.709,-4.93966,-1.93837,-3.00129,-4.3675,24.449182658137886
