,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
26903,Stretch 4,2013,kj mcdaniels,102.4,22.9,49.6,52.5,7.8,14.0,6.5,16.0,0.684,77,156,0.494,32,96,0.333,8.3,2.7,31.3,So,2.13712,107.612,3.2,55.4,89.4221,27.5357,3.3683,3.44086,1.7857,3.2143,5.0,0.75,1.1429,2.0714,10.8571,7.98566,3,0.47728139,0.6778,0.2424,92.4557,3.48579,156.252,6.06723,1.02667,5.04056,6.80916,
26904,Wing F,2012,kj mcdaniels,105.7,22.3,49.0,50.85,13.4,8.9,5.2,12.1,0.579,37,72,0.514,7,25,0.28,7.5,2.1,39.2,Fr,0.924938,112.224,3.4,55.4,94.2514,10.1333,4.17822,1.36285,1.1333,0.7,1.8333,0.2333,0.3333,0.6667,3.9,5.17226,4,0.53842605,0.8,0.2432,95.2039,1.1193,54.1991,4.2341,1.8578,2.3763,5.54107,
26943,Combo G,2011,klay thompson,107.6,31.9,52.5,57.37,2.6,14.0,25.0,17.8,0.838,142,305,0.466,98,246,0.398,3.1,2.8,33.6,Jr,4.88233,127.285,3.4,91.8,90.4682,34.6765,6.69188,2.5696,0.7353,4.5,5.2353,3.7353,1.6471,0.9412,21.5588,12.1474,2,1.10433421,0.6,0.3897,94.8348,4.33914,247.877,8.20607,5.45202,2.75405,9.26148,68.45771144278608
26944,Wing G,2010,klay thompson,102.3,29.2,48.7,53.73,4.0,13.3,15.0,19.8,0.801,118,263,0.449,73,204,0.358,2.2,2.4,34.5,So,3.82694,117.516,2.7,91.8,100.12,35.2667,3.88801,-0.18377,1.1667,3.9,5.0667,2.2,1.4,0.7,19.4667,11.4471,3,0.64078293,0.6118,0.3593,103.367,3.17592,192.948,2.79355,2.55868,0.234873,3.70424,68.45771144278608
27137,Pure PG,2016,kris dunn,103.6,29.3,49.9,54.06,3.5,14.8,41.8,20.9,0.695,142,298,0.477,42,113,0.372,1.9,4.3,46.2,Jr,3.76517,121.205,3.4,97.0,88.3916,32.9697,4.58362,4.94557,1.0909,4.2424,5.3333,6.2424,2.4848,0.6061,16.4242,5.95801,2,1.77583078,0.6306,0.3043,93.8582,4.5888,255.725,9.73839,4.74338,4.99501,9.52919,48.95522388059702
27138,Pure PG,2015,kris dunn,103.1,30.0,50.9,54.59,2.9,16.1,50.0,24.8,0.686,158,313,0.505,27,77,0.351,1.1,4.9,44.1,So,4.03776,121.826,3.6,97.0,87.351,34.0303,4.81497,4.76617,0.8485,4.6061,5.4545,7.4848,2.7273,0.303,15.6061,4.15246,3,1.78985127,0.5808,0.4178,93.2564,4.69394,250.596,10.7218,6.00374,4.71809,9.58114,48.95522388059702
27139,Combo G,2013,kris dunn,96.0,16.2,41.5,47.16,6.6,13.2,22.8,25.8,0.69,45,109,0.413,4,14,0.286,1.1,2.6,47.2,Fr,1.09285,96.9394,4.5,97.0,91.2872,27.2,-0.986535,3.0332,1.64,3.16,4.8,3.16,1.16,0.28,5.68,1.24859,4,1.68085111,0.4918,0.3125,96.3197,3.2349,128.602,3.65985,0.56284,3.09701,2.04666,48.95522388059702
27293,Wing G,2014,kyle anderson,114.6,14.1,52.8,55.34,2.6,8.7,4.7,9.5,0.778,40,91,0.44,85,226,0.376,0.9,1.3,19.9,Jr,1.9469,104.516,3.0,,109.286,34.7429,1.16159,-0.626608,0.8571,2.8286,3.6857,0.9143,0.8286,0.3143,10.9714,10.3849,2,1.10342751,0.5238,0.3673,109.678,2.45029,185.092,1.74189,2.23371,-0.491819,0.534981,53.61762615493959
27294,Wing G,2013,kyle anderson,104.6,14.7,48.7,51.63,3.2,7.0,6.7,15.6,0.759,35,79,0.443,62,184,0.337,1.4,1.3,22.1,So,1.31779,96.8634,2.4,,106.592,33.1818,0.615714,-0.69082,0.9091,2.1818,3.0909,1.0909,0.7273,0.4545,9.0909,10.0442,3,0.85715407,0.5,0.4118,106.486,2.19043,155.799,0.920637,1.81005,-0.889412,-0.0751056,53.61762615493959
27295,Wing G,2012,kyle anderson,102.0,15.2,50.6,51.31,2.3,7.6,5.4,13.5,0.667,29,59,0.492,68,200,0.34,0.8,0.9,8.1,Fr,1.05713,95.853,3.0,,106.65,30.6129,0.561073,-1.09353,0.6129,2.2903,2.9032,0.7742,0.4839,0.2581,8.9032,12.4285,4,0.72728985,0.75,0.4255,104.818,2.05121,134.297,0.662083,1.91393,-1.25185,-0.53246,53.61762615493959
