,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
12248,2013,dewayne dedmon,96.5,19.0,50.0,52.44,11.7,24.2,5.8,22.2,88,173,0.509,0,3,0.0,10.0,2.9,26.7,Jr,1.14207,100.248,48.6,84.1827,22.2903,-0.0909662,4.94535,2.2581,4.7097,6.9677,0.6129,1.0968,2.129,6.7097,0.25813,0.6667,88.5165,3.1758,183.119,7.28103,-0.624662,7.90569,4.85438,38.85
12353,2017,dillon brooks,113.3,30.1,55.4,58.2,4.7,9.9,23.0,15.8,141,268,0.526,57,141,0.404,2.0,2.5,29.6,Jr,3.93831,132.463,88.4,92.5238,25.3143,5.82998,2.01293,1.0,2.2286,3.2286,2.7143,1.0857,0.4571,16.1143,9.47441,0.6589,97.4912,3.20991,158.623,6.51461,5.47655,1.03807,7.84291,51.26
13061,2015,dorian finney smith,107.9,25.9,55.7,56.35,11.3,16.3,14.0,16.9,88,175,0.503,49,115,0.426,3.6,2.6,25.9,Jr,3.34376,122.031,95.4,86.8288,27.9286,6.11344,3.11668,2.6071,3.6071,6.2143,1.5714,1.1429,0.8571,13.1071,9.32713,0.6701,92.6028,3.91462,152.022,10.015,5.16374,4.85124,9.23012,49.26
13106,2013,doug mcdermott,121.3,31.7,62.3,67.19,7.1,20.9,12.4,15.9,207,361,0.573,77,157,0.49,0.2,0.4,41.7,Jr,6.48425,144.359,69.2,94.353,31.6111,10.3787,-0.0455893,1.6111,6.0556,7.6667,1.5833,0.2222,0.0556,23.1667,8.49014,0.6802,97.5417,3.46083,202.421,6.33238,6.75132,-0.418947,10.3331,23.94
13156,2011,draymond green,107.7,25.8,47.8,51.92,9.6,23.4,31.1,18.0,107,238,0.45,36,99,0.364,4.1,3.5,40.9,Jr,3.7492,122.686,86.4,84.4545,30.0,5.85927,5.11413,2.4848,6.1212,8.6061,4.1515,1.7273,1.1515,12.6667,6.04172,0.5882,91.5449,4.37171,236.783,12.4099,5.84921,6.5607,10.9734,73.21
13532,2013,dwight powell,106.2,26.6,48.7,54.72,7.7,24.0,16.0,17.8,164,350,0.469,15,33,0.455,3.6,1.5,43.6,Jr,3.6922,120.429,93.4,89.062,30.3529,3.65068,2.53439,2.1176,6.2647,8.3824,2.1176,0.7647,1.1471,14.8824,1.88215,0.6,93.1085,3.86614,224.985,6.43964,2.60703,3.8326,6.18507,46.86
13930,2010,ekpe udoh,110.5,23.0,49.1,52.99,12.8,17.6,14.7,17.9,178,358,0.497,7,26,0.269,11.0,1.4,41.4,Jr,4.21518,120.227,47.4,88.0061,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,1.24524,0.7156,93.4571,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,23.32
14527,2018,eric paschall,122.5,17.6,60.0,63.69,7.7,12.8,11.6,18.3,108,169,0.639,36,101,0.356,2.2,1.8,35.6,Jr,3.77859,124.648,58.2,94.0474,29.8421,3.85738,2.60933,1.8421,3.4211,5.2632,2.1842,0.9211,0.6316,10.5789,5.10186,0.7016,100.513,3.62998,208.384,9.01533,5.50623,3.5091,6.46671,23.29
14788,2010,e'twaun moore,103.9,27.7,49.9,53.13,3.4,10.8,19.8,14.3,161,330,0.488,51,146,0.349,1.0,2.8,28.8,Jr,3.56931,118.479,95.0,86.9938,31.5143,4.75739,2.99876,0.9143,2.9143,3.8286,2.6571,1.4571,0.2857,16.4286,7.90072,0.6667,92.4751,4.30533,204.762,6.81518,3.93199,2.88319,7.75615,36.02
14936,2010,evan turner,108.9,34.5,54.0,58.15,7.4,23.5,37.5,21.7,217,402,0.54,20,55,0.364,2.9,3.0,39.8,Jr,6.02087,134.66,90.8,83.7767,35.7419,7.0185,4.32057,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,3.02877,0.7846,87.8032,5.25693,257.401,11.457,5.75189,5.7051,11.3391,31.55
