,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score,test_score,diff
10843,Wing G,2011,deandre liggins,106.5,49.2,52.25,76,2.09098,105.39,90.4115,1.1657,2.5263,8.6316,1.74540555,0.5753,4.90757,23.14143567874912,48.355704343083076,25.214268664333957
10844,Wing G,2010,deandre liggins,109.5,50.0,52.14,22,0.887274,102.53,88.2036,0.767033,0.8276,3.7586,1.41180485,0.6818,4.91085,23.14143567874912,42.91697204585402,19.7755363671049
11334,Wing G,2013,denzel valentine,94.6,49.3,51.61,51,0.970233,98.6875,85.9432,0.67855,2.4,5.0286,1.25372206,0.5962,3.76621,41.165600568585646,46.73615393170093,5.5705533631152875
11336,Wing G,2014,denzel valentine,106.9,48.9,51.2,65,2.19099,110.021,92.5243,1.95537,3.7895,7.9737,2.08695897,0.5862,4.61924,41.165600568585646,52.763510660969196,11.59791009238355
11337,Wing G,2015,denzel valentine,114.2,55.7,58.35,95,4.31272,125.883,91.1393,7.07675,4.2821,14.5385,1.81521842,0.6667,9.44623,41.165600568585646,53.63706713162565,12.471466563040003
11891,Wing G,2015,devin booker,121.0,57.1,60.02,77,3.01039,128.123,86.245,5.91621,1.1053,10.0263,1.13515453,0.7119,8.23184,61.90476190476191,42.91070753505831,-18.994054369703605
11933,Wing G,2015,devin harris,91.5,39.5,46.46,41,0.072293,88.3267,103.103,-3.08816,1.0,6.037,0.64283876,0.4531,-3.40353,59.9857853589197,46.57654086718604,-13.40924449173366
11934,Wing G,2014,devin harris,79.1,40.5,45.17,12,-0.422332,75.105,108.823,-3.92602,0.5882,2.2941,0.6665911,0.5556,-4.60653,59.9857853589197,44.775271804176995,-15.210513554742704
11936,Wing G,2017,devin harris,113.2,56.3,58.36,75,1.77742,104.682,111.531,0.217401,2.6957,10.913,1.47620609,0.6829,-0.414559,59.9857853589197,46.45276417301275,-13.533021185906946
12337,Wing G,2017,dillon brooks,113.3,55.4,58.2,141,3.93831,132.463,92.5238,5.82998,2.7143,16.1143,1.3194788,0.6589,7.84291,63.909026297086,45.35506653761341,-18.55395975947259
12338,Wing G,2016,dillon brooks,113.3,51.5,55.86,178,4.56732,127.908,97.3526,5.2745,3.1622,16.8108,1.32954922,0.6415,6.1096,63.909026297086,50.69857023742002,-13.21045605966598
12901,Wing G,2016,donovan mitchell,113.7,48.9,52.75,66,1.99667,118.103,86.8733,2.00365,1.6774,7.3871,1.73338843,0.717,5.71414,69.35323383084577,48.08677825427745,-21.26645557656832
12975,Wing G,2017,donte divincenzo,112.0,55.6,58.15,67,2.48345,115.827,91.7019,3.05664,1.6944,8.8333,1.17308225,0.625,5.5093,46.32551528073917,44.18275973310543,-2.1427555476337403
12976,Wing G,2018,donte divincenzo,119.5,59.0,60.77,103,4.29565,130.482,93.9887,5.81862,3.475,13.425,1.7594936,0.6486,8.09702,46.32551528073917,49.53430632713592,3.2087910463967546
13448,Wing G,2017,dwayne bacon,108.4,51.0,54.37,164,3.47475,122.561,95.5726,4.33702,1.7429,17.2286,0.85916397,0.6267,4.75307,8.869936034115138,41.14051064719543,32.270574613080285
15699,Wing G,2018,gary trent jr,122.3,52.8,56.65,80,4.20346,123.926,96.3665,3.98383,1.4054,14.4865,1.3684519,0.6349,5.84746,55.32338308457712,44.955289066136345,-10.368094018440772
15878,Wing G,2014,georges niang,106.1,52.6,54.79,174,3.37845,121.199,97.7048,3.51554,3.6176,16.6765,1.49995858,0.6471,4.44477,43.21250888415068,47.03035379898463,3.817844914833948
16054,Wing G,2013,glenn robinson iii,128.0,60.9,62.41,139,4.78519,126.589,93.7873,5.18654,1.0789,11.0,1.32250547,0.7674,7.03255,24.06538734896944,44.09933510790426,20.03394775893482
16055,Wing G,2014,glenn robinson iii,113.7,53.2,56.59,149,3.82377,122.688,99.1859,3.80246,1.1892,13.0811,0.95656378,0.7667,4.43553,24.06538734896944,44.40151524333515,20.336127894365706
16195,Wing G,2015,grayson allen,118.3,50.9,58.32,27,1.26403,127.251,93.2819,2.79309,0.4,4.3714,0.9332711,0.6571,4.09822,47.26368159203981,48.325701371413984,1.0620197793741752
16473,Wing G,2018,hamidou diallo,101.1,47.0,49.75,108,1.8012,108.791,95.8859,0.309039,1.2432,10.027,0.90191524,0.629,1.80476,42.35963041933192,41.327931355636366,-1.0316990636955552
16702,Wing G,2010,hollis thompson,112.1,56.6,57.64,27,1.40506,106.519,93.1615,1.83299,0.9706,4.7647,1.26925594,0.5667,4.51201,20.810234541577827,40.16186358752458,19.35162904594675
18075,Wing G,2012,jae crowder,122.3,56.8,59.85,156,5.29599,132.03,81.1209,7.96643,2.0857,17.5429,1.65913615,0.7485,13.0841,61.17981520966597,45.98649015607027,-15.1933250535957
18907,Wing G,2016,jamal murray,118.0,55.9,59.0,131,5.41928,132.758,96.6981,8.14081,2.1944,20.0,0.94047056,0.6937,8.97041,71.6133617626155,44.22419652639539,-27.38916523622011
