,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
352,bradley beal,bealbr01,2022,2979,1439,1.655043081,-0.23284485,1.422198231,-1.803144923,3.705917655,1.902772732,1.065695723,0.602301211,1.667996934,3.264921883,3.264921883,0.0,1.27911118,0.151084599,1.430195779,0.657518082,1.0,0.5328162927146317,0.5529651013064683,0.24135784898330315,46.75
356,malik beasley,beaslma01,2020,2604,1209,-0.791189067,-1.153053387,-1.944242454,0.878905039,-1.844967703,-0.966062663,-0.491727821,-1.360738208,-1.852466029,0.569906807,0.569906807,0.0,-0.104417672,-1.343617973,-1.448035645,0.110310705,1.0,0.4529314810121469,0.42365311570897407,0.16820437879237335,37.08
357,malik beasley,beaslma01,2021,2582,1214,0.868200511,-2.53366861,-1.665468099,-0.433353421,-1.321962447,-1.755315869,0.709071229,-2.412757395,-1.703686167,0.647867725,0.647867725,0.0,0.747606417,-1.729499975,-0.981893558,-0.031328379,1.0,0.44286692654665927,0.3976425278911898,0.15740719574002737,35.45
358,malik beasley,beaslma01,2022,4517,2095,0.923707904,-2.584682751,-1.660974847,-1.380454357,0.783891583,-0.596562773,0.466771665,-2.031229155,-1.56445749,1.270844473,1.380227531,-0.109383058,0.678559855,-2.499728112,-1.821168257,0.241995747,1.0,0.3573003650276174,0.3693997564265746,0.16648785060374655,31.41
381,deandre' bembry,bembrde01,2021,2047,972,-2.270789203,0.263672674,-2.007116529,-1.523676981,2.527074679,1.003397697,-2.27235528,0.764584654,-1.507770626,0.618162219,0.618162219,0.0,-2.455739584,0.401821012,-2.053918572,0.347949954,1.0,0.3447359806632854,0.3726189027393764,0.14198212226326784,30.45
382,deandre' bembry,bembrde01,2022,2155,1026,-1.011423978,1.150074516,0.138650538,0.197629995,-0.448849557,-0.251219562,-0.840679524,0.895844282,0.055164759,1.468029373,1.468029373,0.0,-0.760503016,1.1969737,0.436470685,-0.306716053,1.0,0.4791727819271256,0.4613752269870944,0.17389139124336145,39.62
388,anthony bennett,bennean01,2014,1356,663,-5.317443259,-2.591238074,-7.908681333,-3.377629075,-0.991664925,-4.369294,-5.20069247,-2.382186811,-7.582879281,-1.647621533,-1.647621533,0.0,-4.53620375,-3.357955045,-7.894158795,0.753294646,1.0,0.02946670619719477,0.027624273531913823,0.056910587432197415,3.56
389,anthony bennett,bennean01,2015,1831,894,-2.482243013,-3.293728528,-5.775971541,-2.326513947,-4.377680586,-6.704194532,-2.561891678,-3.625313269,-6.187204947,-1.569962416,-1.569962416,0.0,-2.82534422,-3.493484759,-6.31882898,0.133869261,1.0,0.11450654511750741,0.10688213980174804,0.059826390968604655,9.8
417,khem birch,birchkh01,2020,2112,1011,-1.660464074,1.279917403,-0.380546671,-4.25353443,1.148012965,-3.105521466,-2.319739306,1.322580942,-0.997158364,0.894859659,0.606990781,0.287868877,-2.963458549,0.965076993,-1.998381557,-0.728527239,1.0,0.34773399337449346,0.4016156660898541,0.15237105540123838,31.91
418,khem birch,birchkh01,2021,3176,1529,-1.792245,1.916677338,0.124432338,-0.497500908,1.002306366,0.504805458,-1.603007788,1.878863825,0.275856036,2.343423026,2.343423026,0.0,-2.116540047,1.338755877,-0.77778417,-0.714666486,1.0,0.41362457970674954,0.47390789259057675,0.20675908286501427,38.45
419,khem birch,birchkh01,2022,2131,1054,-2.332302741,0.329601107,-2.002701634,1.796373642,-2.838899336,-1.042525694,-1.638160599,-0.31851099,-1.956671589,0.426356354,0.37943563,0.046920724,-2.464074587,0.535278998,-1.928795589,-0.733674518,1.0,0.3514904000986524,0.3471266144403686,0.1347805438642931,29.57
443,tarik black,blackta01,2018,1173,555,-3.076070569,1.523090385,-1.552980184,-7.946237336,-0.122999342,-8.069236678,-4.382987059,1.231836725,-3.151150335,-0.111963642,0.019938725,-0.131902367,-2.584906472,1.172103478,-1.412802994,0.751167613,1.0,0.3793448384169382,0.2792942882262023,0.11456868196460743,27.56
453,eric bledsoe,bledser01,2014,2880,1416,2.449994667,1.559683642,4.00967831,-2.551535996,4.248617534,1.697081538,1.505533513,2.20863189,3.714165403,4.69933706,4.69933706,0.0,1.141160407,2.286048927,3.427209334,0.602698247,1.0,0.7687434795639979,0.8029960488241243,0.3542575990736876,67.8
454,eric bledsoe,bledser01,2015,5710,2800,1.682818129,0.786930923,2.469749052,1.338989922,2.322159472,3.661149394,1.725593553,1.16173159,2.887325143,8.142139031,8.142139031,0.0,1.766942918,2.004757495,3.771700413,1.058364496,1.0,0.725137564676523,0.6844294428223087,0.4669266183535133,64.53
455,eric bledsoe,bledser01,2016,2223,1059,2.363161887,2.041555952,4.404717839,0.843031466,0.854579933,1.6976114,2.287222334,1.945745581,4.232967915,3.820122751,3.820122751,0.0,1.557100729,2.206365408,3.763466137,1.222695214,1.0,0.6587714631891144,0.6986252471196128,0.26220352321793,57.46
456,eric bledsoe,bledser01,2017,4604,2176,3.373122892,-2.609503789,0.763619103,1.325073131,-0.976538382,0.348534749,3.215428645,-2.385989094,0.829439551,3.997104898,3.997104898,0.0,2.542698065,-1.200995322,1.341702743,0.573364838,1.0,0.5280392400267732,0.5053449170684194,0.26884852756563005,45.47
457,eric bledsoe,bledser01,2018,5196,2547,2.336185361,2.047938032,4.384123392,2.990755164,0.239361371,3.230116535,2.607641284,1.820971572,4.428612856,9.498613612,8.666610752,0.83200286,3.151801024,2.064886644,5.216687668,0.804809964,1.0,0.7372196228919574,0.7097355757918513,0.4754091888702965,66.15
458,eric bledsoe,bledser01,2019,5852,2695,2.788786878,2.602301898,5.391088777,2.963503463,1.142891347,4.10639481,2.939216053,2.384481652,5.323697705,11.21312726,9.811466617,1.401660639,2.996092189,2.365967917,5.362060106,0.708518298,1.0,0.7450671533539979,0.7605658544134233,0.5397826346571819,69.96
459,eric bledsoe,bledser01,2020,4272,1913,1.280025583,1.41291811,2.692943693,1.142255614,0.931404044,2.073659658,1.299260017,1.311891359,2.611151375,5.334553546,4.416973339,0.917580207,0.852515268,1.119440757,1.971956025,1.281570526,1.0,0.562061726664137,0.6065251666709562,0.3190646212871372,51.8
460,eric bledsoe,bledser01,2021,4471,2111,-0.709390076,-1.185442936,-1.894833012,0.927891839,-3.839917677,-2.912025839,-0.428698331,-1.79519079,-2.223889122,0.569102093,0.569102093,0.0,-0.298968309,-1.526290151,-1.82525846,0.439043565,1.0,0.3570795666900507,0.33195180540395836,0.1401401017199827,29.34
461,eric bledsoe,bledser01,2022,2830,1361,-1.886695056,2.000671907,0.113976851,-3.055082207,1.685533561,-1.369548646,-2.223354894,2.034542558,-0.188812336,1.785719487,1.785719487,0.0,-1.714817418,1.990534904,0.275717486,0.409154037,1.0,0.47049496346732267,0.4475202011423527,0.18581944288323293,39.07
509,devin booker,bookede01,2018,4028,1865,2.616364645,-3.415527031,-0.799162386,0.697036371,-1.318145413,-0.621109042,2.522065089,-3.135958545,-0.613893457,2.073368145,2.073368145,0.0,2.158316347,-2.957577155,-0.799260808,1.991861171,1.0,0.41246522258757395,0.42338059935896905,0.19661955247293117,36.26
510,devin booker,bookede01,2019,4772,2242,3.290666922,-2.644805557,0.645861365,3.061182196,-3.774747794,-0.713565598,3.582046596,-2.997282622,0.584763974,3.865201213,3.865201213,0.0,3.075762574,-2.860810965,0.214951609,1.353761164,1.0,0.46721468505023983,0.49145022567162217,0.2638960474699814,42.55
511,devin booker,bookede01,2020,5357,2512,3.865049603,-2.616631698,1.248417905,7.248879284,-3.373194438,3.875684846,4.79789968,-2.927840279,1.870059401,5.991121581,5.991121581,0.0,4.348798513,-2.561869851,1.786928662,1.206210348,1.0,0.5520735343532017,0.5644398698806956,0.3437162458780394,50.46
512,devin booker,bookede01,2021,6444,3159,2.696165241,-0.411207979,2.284957261,5.22035012,-0.48511605,4.73523407,3.233477434,-0.488562258,2.744915176,9.051053932,5.255858686,3.795195245,3.533305627,-0.427983454,3.105322173,0.608637696,1.0,0.6232433749424408,0.6141213753230261,0.45860503054208257,57.87
513,devin booker,bookede01,2022,5659,2711,4.060074135,0.353134572,4.413208707,3.621238265,-1.3207165,2.300521764,4.1251606,-0.019035263,4.106125337,9.531978641,9.068928828,0.463049812,3.934825138,0.540527668,4.475352806,1.031086001,1.0,0.6972007032662331,0.6914220824274369,0.4766619184055877,63.99
514,trevor booker,booketr01,2014,3317,1699,-0.119060938,-1.591787385,-1.710848323,1.922493105,-6.530009872,-4.607516767,0.31168118,-2.755943059,-2.444261879,0.268132946,0.198525394,0.069607552,0.017349446,-2.609258256,-2.59190881,-0.940825876,1.0,0.3156940602066345,0.319437227985484,0.12883985859241698,27.04
515,trevor booker,booketr01,2015,3015,1564,-0.322173334,1.009756418,0.687583083,0.409944339,0.158093639,0.568037978,-0.183210579,0.874997517,0.691786938,2.725141242,2.725141242,0.0,-0.120049622,0.538973842,0.418924221,-0.741709514,1.0,0.4782255844209443,0.49752786969062673,0.22109114543693179,42.12
516,trevor booker,booketr01,2016,3203,1632,-0.673131977,1.132442838,0.459310861,-1.716291282,3.27839995,1.562108668,-0.912939581,1.60947518,0.696535599,2.854236456,2.854236456,0.0,-1.265731608,1.575357139,0.309625531,-0.528052508,1.0,0.47232539583611693,0.49779753771369634,0.22593817816220024,42.03
517,trevor booker,booketr01,2017,3739,1754,-1.761641503,1.226295654,-0.535345849,-2.64121451,0.375805145,-2.265409365,-1.996946455,1.154952732,-0.841993723,1.708639976,1.708639976,0.0,-1.957374281,0.429660413,-1.527713867,0.067944965,1.0,0.37314169159837024,0.4104271904308791,0.18292540134064955,33.96
518,trevor booker,booketr01,2018,2570,1222,-0.570972924,-1.299960476,-1.8709334,-0.322735043,-0.16879616,-0.491531203,-0.547100808,-1.175193131,-1.722293939,0.624769023,0.678215514,-0.053446491,-0.845399932,-1.265510784,-2.110910716,-0.323160331,1.0,0.341659416822917,0.3604365048552037,0.14223018254532782,29.88
529,chris boucher,bouchch01,2022,3690,1820,-0.232044228,-0.014730141,-0.246774369,1.328453771,4.479290254,5.807744025,0.064329243,0.911790225,0.976119468,3.476779178,2.983113226,0.493665953,0.483653284,0.613558405,1.097211688,-0.280194915,1.0,0.5148410641675438,0.5136746090050316,0.24931228207291287,44.8
534,avery bradley,bradlav01,2014,3695,1855,-1.355111211,0.366529376,-0.988581835,0.779924513,2.81985008,3.599774593,-0.927011853,0.923869525,-0.003142328,2.609026324,2.609026324,0.0,-0.672180353,0.949178132,0.276997779,0.344691433,1.0,0.47056407655681926,0.45806407108814984,0.216731473300381,40.24
535,avery bradley,bradlav01,2015,5230,2561,-1.504851759,-1.165156918,-2.670008677,-1.686870674,1.25930477,-0.427565904,-1.620150567,-0.736556857,-2.356707424,0.534511248,0.241094866,0.293416381,-0.912186312,-0.153916828,-1.06610314,1.022348084,1.0,0.47767256955959997,0.3892911479527126,0.16660961696516416,36.68
536,avery bradley,bradlav01,2016,5330,2569,0.225698571,-0.122477137,0.103221433,5.233904078,-2.159017503,3.074886575,1.280066123,-0.579495103,0.70057102,4.55025849,4.425867809,0.124390681,1.477949503,0.303707916,1.781657419,0.527789085,1.0,0.6069678789084145,0.5478293723145158,0.3185790678375812,51.27
