,pos,year,player_name,usg,DRB_per,twoPM,blk_per,adrtg,dgbpm,season,rimmade/(rimmade+rimmiss),dporpag,obpm,score
33011,Wing F,2018,naji marshall,18.3,16.1,81,1.4,96.9183,1.94541,4,0.5789,2.43784,3.07223,
33012,Wing F,2019,naji marshall,25.6,19.9,118,0.7,97.8876,0.962428,3,0.598,3.87841,0.176129,
33051,Wing F,2019,nassir little,24.0,16.9,117,3.3,90.2613,1.69912,4,0.6825,2.46613,1.85473,52.50888415067519
34213,Wing F,2020,obi toppin,26.2,22.0,213,4.1,87.4529,3.34245,3,0.8267,4.32772,5.97507,
34214,Wing F,2019,obi toppin,23.9,17.1,190,3.7,95.7812,2.43461,4,0.8,3.06724,4.12113,
34249,Wing F,2016,og anunoby,17.6,11.7,53,5.6,92.4393,3.60479,4,0.6622,1.73042,3.58777,64.10803127221038
34250,Wing F,2017,og anunoby,20.5,16.1,54,5.5,95.1539,3.0147,3,0.7778,2.89972,4.65725,64.10803127221038
34509,Wing F,2018,oshae brissett,22.6,19.4,107,2.7,89.8229,1.76571,4,0.4149,5.17361,0.219312,
34850,Wing F,2020,patrick williams,21.9,13.9,79,5.6,89.3239,2.72161,4,0.6235,2.93606,0.906578,
34886,Wing F,2010,paul george,27.3,18.6,92,3.0,92.7156,2.32799,3,0.6604,3.89014,3.41633,94.88272921108744
35363,Wing F,2018,pj washington,21.3,14.8,129,3.5,93.9672,2.5152,4,0.66,3.35611,2.25743,40.89552238805971
36286,Wing F,2012,reggie bullock,14.9,13.3,53,0.8,90.6043,2.30126,3,0.5833,3.13945,5.49046,43.38308457711444
37198,Wing F,2014,rodney hood,22.3,11.7,120,0.8,100.347,0.524428,3,0.6351,3.33286,5.83042,33.46126510305615
37199,Wing F,2012,rodney hood,16.1,13.3,80,1.3,101.833,0.120008,4,0.6667,2.72746,3.30626,33.46126510305615
37412,Wing F,2015,rondae hollis jefferson,20.9,20.1,132,3.4,82.7697,4.38219,3,0.7165,4.42793,3.75175,53.48969438521678
37583,Wing F,2019,rui hachimura,26.4,17.0,260,2.4,88.1291,2.48868,2,0.7198,4.33338,4.02255,19.20398009950249
37584,Wing F,2018,rui hachimura,23.9,18.0,154,2.7,93.5567,1.95802,3,0.6805,2.54398,1.66526,19.20398009950249
37642,Wing F,2014,ryan anderson,26.8,18.6,140,2.1,107.634,-1.3593,2,0.6266,2.35891,2.24158,56.38948116560057
37643,Wing F,2013,ryan anderson,28.6,20.6,179,1.7,99.5109,-1.38092,3,0.6443,2.88506,1.25021,56.38948116560057
38028,Wing F,2019,saddiq bey,14.4,12.2,60,1.4,98.518,1.46497,4,0.6875,3.13455,3.67883,
38029,Wing F,2020,saddiq bey,22.0,11.3,96,1.1,94.1336,1.49133,3,0.6286,3.89097,5.85342,
38082,Wing F,2014,sam dekker,22.4,17.5,126,1.9,94.1246,1.77191,3,0.66,3.67013,4.79227,23.681592039801
38083,Wing F,2015,sam dekker,22.4,14.8,163,1.5,92.4654,1.21532,2,0.7528,3.73184,8.08795,23.681592039801
38705,Wing F,2017,semi ojeleye,24.5,15.0,137,1.6,95.2416,0.587465,2,0.6364,3.99167,6.59566,31.954513148543
38782,Wing F,2013,shabazz muhammad,28.2,8.5,162,0.4,98.5396,-1.6276,4,0.6371,2.8948,3.93685,36.40369580668089
39442,Wing F,2012,solomon hill,22.4,19.1,114,1.6,90.1364,2.38114,2,0.7281,4.04239,3.41547,39.317697228145
39444,Wing F,2011,solomon hill,18.4,14.3,87,0.7,94.5551,1.78321,3,0.6867,2.79222,3.96832,39.317697228145
39582,Wing F,2015,stanley johnson,26.0,19.1,131,1.6,82.5525,3.85374,4,0.5378,4.41275,4.11077,31.656005685856435
39788,Wing F,2014,sterling brown,14.4,14.4,43,1.9,92.4842,2.68652,4,0.6,2.50837,0.857067,31.15849324804549
40389,Wing F,2015,taurean prince,26.1,16.3,103,3.9,86.646,3.55238,2,0.6698,3.70557,5.46339,36.26154939587776
40390,Wing F,2016,taurean prince,27.2,14.7,130,2.7,97.5834,0.820334,1,0.6341,3.31742,4.52221,36.26154939587776
40391,Wing F,2014,taurean prince,25.4,13.8,61,1.5,97.0134,1.12707,3,0.6111,1.56848,1.00966,36.26154939587776
40613,Wing F,2019,terance mann,18.4,14.3,117,1.2,93.3461,2.17272,1,0.6485,3.92302,5.12471,
40616,Wing F,2016,terance mann,15.4,16.0,69,1.3,97.3562,1.51693,4,0.7011,1.85412,2.60734,
40785,Wing F,2012,terrence ross,23.3,17.6,143,3.0,92.0641,2.32109,3,0.6897,3.67196,3.37502,47.03624733475481
40786,Wing F,2011,terrence ross,19.4,12.3,58,2.0,93.7937,1.47316,4,0.7333,1.99062,4.62625,47.03624733475481
41383,Wing F,2014,tj warren,33.6,12.8,311,1.8,98.2359,1.29514,3,0.7649,3.80547,7.04296,50.916844349680176
41384,Wing F,2013,tj warren,18.5,8.1,172,1.5,98.7874,1.28453,4,0.7535,2.52882,6.21468,50.916844349680176
42262,Wing F,2014,treveon graham,26.7,21.2,127,0.7,89.4938,1.91621,2,0.6466,3.88519,4.06135,21.051883439943143
42263,Wing F,2012,treveon graham,24.1,13.3,49,1.7,92.3947,0.693259,4,0.527,1.96313,1.77673,21.051883439943143
42264,Wing F,2013,treveon graham,26.1,13.9,134,0.6,92.9096,-0.177741,3,0.5615,3.14255,5.97719,21.051883439943143
42265,Wing F,2015,treveon graham,26.6,20.6,108,1.1,93.9481,0.163113,1,0.4854,3.34539,5.39074,21.051883439943143
42344,Wing F,2010,trevor booker,24.7,20.4,179,4.6,84.658,3.65793,1,0.724,4.46515,4.77296,40.27007818052594
44118,Wing F,2012,will barton,25.4,18.5,193,2.1,88.4891,2.29398,3,0.7074,4.59015,6.08935,43.18407960199006
44372,Wing F,2014,willie green,26.3,10.6,147,6.0,114.89,-1.14548,1,0.6689,1.31007,0.633614,23.52523098791756
45202,Wing F,2019,zion williamson,28.2,18.0,272,5.8,81.398,5.87104,4,0.7891,4.97916,10.1581,
