,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score
9576,2019,daniel gafford,112.3,25.2,65.9,65.11,11.2,22.7,6.0,18.2,0.591,213,323,0.659,0,0,0.0,8.4,1.8,59.8,3.78329,125.761,3.8,92.4,90.6895,28.6875,5.11414,2.16258,2.8438,5.8125,8.6562,0.7188,0.9062,1.9688,16.875,0.0,3,0.30265264,0.8125,0.3131,95.1262,3.82935,217.448,6.45392,2.10357,4.35035,7.27672,37.25,43.6442861887761
10845,2019,de'andre hunter,122.9,23.5,57.9,61.78,5.6,13.4,13.0,11.8,0.783,159,289,0.55,46,105,0.438,2.4,1.2,39.8,5.47025,136.483,2.5,82.0,89.824,32.4737,6.77482,2.63666,1.3684,3.7105,5.0789,1.9737,0.5789,0.5789,15.2368,5.60386,3,1.44234148,0.6917,0.4295,94.2741,4.42249,198.406,8.84325,6.23889,2.60435,9.41148,33.01,30.550584771371
23125,2019,jordan poole,108.4,20.0,53.8,57.32,0.8,9.4,13.0,14.1,0.833,86,166,0.518,75,203,0.369,0.7,2.0,24.4,3.22261,115.578,2.4,81.6,88.1995,33.027,2.46928,3.61508,0.2162,2.7568,2.973,2.1622,1.0811,0.2162,12.7568,10.217,3,1.42860919,0.7079,0.2987,92.5991,4.72841,204.665,7.31086,3.85039,3.46047,6.08437,47.22,40.68479293835917
27819,2020,lance thomas,97.0,15.9,48.3,50.22,6.3,11.2,4.7,17.1,0.682,28,55,0.509,19,62,0.306,7.6,1.6,18.8,0.468504,94.6993,5.8,76.2,86.3786,14.5517,-0.98934,3.74559,0.7931,1.6897,2.4828,0.3448,0.4138,1.069,4.4138,8.00925,3,0.47617732,0.5588,0.4286,88.7349,2.0507,89.7341,4.05975,-0.811293,4.87104,2.75625,18.86,32.91050222415543
33810,2019,nickeil alexander walker,109.8,26.4,54.6,58.59,1.8,13.1,24.6,19.6,0.778,132,246,0.537,58,155,0.374,2.3,3.4,35.9,4.35834,124.321,2.7,92.2,89.4234,34.3235,4.23851,3.69853,0.4706,3.6176,4.0882,3.9706,1.8824,0.5294,16.1765,8.2774,3,1.39177674,0.6067,0.4271,93.6096,4.73346,237.568,7.45115,3.8025,3.64865,7.93704,26.32,47.6316457751389
35390,2019,pj washington,116.1,25.4,56.7,59.19,10.2,19.9,13.1,15.8,0.663,157,286,0.549,33,78,0.423,4.8,1.7,48.9,4.36954,130.806,3.4,97.2,86.8161,29.2571,6.29404,3.70956,2.3429,5.2286,7.5714,1.8,0.8571,1.2286,15.1714,4.53879,3,0.91305668,0.6569,0.4497,92.7403,4.29843,220.01,10.1556,5.26992,4.88566,10.0036,42.24,40.07252661391686
